state,chamber,name,code
DC,upper,3,003
DC,upper,6,006
DC,upper,5,005
DC,upper,7,007
DC,upper,2,002
DC,upper,8,008
DC,upper,4,004
DC,upper,1,001
LA,lower,State House Districts not defined,ZZZ
LA,upper,State Senate Districts not defined,ZZZ
MD,lower,State House Districts not defined,ZZZ
MD,upper,State Senate Districts not defined,ZZZ
MA,lower,5th Hampden,106
MA,lower,3rd Worcester,205
MA,lower,5th Barnstable,156
MA,lower,6th Essex,088
MA,lower,31st Middlesex,148
MA,lower,"Barnstable, Dukes & Nantucket",064
MA,lower,State House Districts not defined,ZZZ
MA,lower,28th Middlesex,145
MA,lower,10th Essex,092
MA,lower,16th Worcester,218
MA,lower,3rd Barnstable,062
MA,lower,15th Norfolk,171
MA,lower,4th Worcester,206
MA,lower,10th Norfolk,166
MA,lower,12th Norfolk,168
MA,lower,2nd Berkshire,066
MA,lower,3rd Berkshire,067
MA,lower,3rd Middlesex,120
MA,lower,2nd Franklin,101
MA,lower,17th Worcester,219
MA,lower,4th Barnstable,063
MA,lower,1st Middlesex,118
MA,lower,5th Plymouth,176
MA,lower,9th Plymouth,180
MA,lower,9th Essex,091
MA,lower,6th Hampden,107
MA,lower,3rd Plymouth,174
MA,lower,5th Bristol,073
MA,lower,3rd Norfolk,159
MA,lower,23rd Middlesex,140
MA,lower,35th Middlesex,152
MA,lower,3rd Suffolk,186
MA,lower,37th Middlesex,154
MA,lower,4th Suffolk,187
MA,lower,1st Barnstable,060
MA,lower,15th Middlesex,132
MA,lower,5th Suffolk,188
MA,lower,10th Middlesex,127
MA,lower,2nd Plymouth,173
MA,lower,36th Middlesex,153
MA,lower,19th Middlesex,136
MA,lower,5th Middlesex,122
MA,lower,6th Norfolk,162
MA,lower,7th Bristol,075
MA,lower,11th Plymouth,182
MA,lower,10th Worcester,212
MA,lower,1st Worcester,203
MA,lower,8th Essex,090
MA,lower,7th Essex,089
MA,lower,30th Middlesex,147
MA,lower,9th Worcester,211
MA,lower,7th Norfolk,163
