state,chamber,name,code
DC,upper,3,11003-upper
DC,upper,6,11006-upper
DC,upper,5,11005-upper
DC,upper,7,11007-upper
DC,upper,2,11002-upper
DC,upper,8,11008-upper
DC,upper,4,11004-upper
DC,upper,1,11001-upper
LA,lower,State House Districts not defined,22ZZZ-lower
LA,upper,State Senate Districts not defined,22ZZZ-upper
MD,lower,State House Districts not defined,24ZZZ-lower
MD,upper,State Senate Districts not defined,24ZZZ-upper
MA,lower,5th Hampden,25106-lower
MA,lower,3rd Worcester,25205-lower
MA,lower,5th Barnstable,25156-lower
MA,lower,6th Essex,25088-lower
MA,lower,31st Middlesex,25148-lower
MA,lower,"Barnstable, Dukes & Nantucket",25064-lower
MA,lower,State House Districts not defined,25ZZZ-lower
MA,lower,28th Middlesex,25145-lower
MA,lower,10th Essex,25092-lower
MA,lower,16th Worcester,25218-lower
MA,lower,3rd Barnstable,25062-lower
MA,lower,15th Norfolk,25171-lower
MA,lower,4th Worcester,25206-lower
MA,lower,10th Norfolk,25166-lower
MA,lower,12th Norfolk,25168-lower
MA,lower,2nd Berkshire,25066-lower
MA,lower,3rd Berkshire,25067-lower
MA,lower,3rd Middlesex,25120-lower
MA,lower,2nd Franklin,25101-lower
MA,lower,17th Worcester,25219-lower
MA,lower,4th Barnstable,25063-lower
MA,lower,1st Middlesex,25118-lower
MA,lower,5th Plymouth,25176-lower
MA,lower,9th Plymouth,25180-lower
MA,lower,9th Essex,25091-lower
MA,lower,6th Hampden,25107-lower
MA,lower,3rd Plymouth,25174-lower
MA,lower,5th Bristol,25073-lower
MA,lower,3rd Norfolk,25159-lower
MA,lower,23rd Middlesex,25140-lower
MA,lower,35th Middlesex,25152-lower
MA,lower,3rd Suffolk,25186-lower
MA,lower,37th Middlesex,25154-lower
MA,lower,4th Suffolk,25187-lower
MA,lower,1st Barnstable,25060-lower
MA,lower,15th Middlesex,25132-lower
MA,lower,5th Suffolk,25188-lower
MA,lower,10th Middlesex,25127-lower
MA,lower,2nd Plymouth,25173-lower
MA,lower,36th Middlesex,25153-lower
MA,lower,19th Middlesex,25136-lower
MA,lower,5th Middlesex,25122-lower
MA,lower,6th Norfolk,25162-lower
MA,lower,7th Bristol,25075-lower
MA,lower,11th Plymouth,25182-lower
MA,lower,10th Worcester,25212-lower
MA,lower,1st Worcester,25203-lower
MA,lower,8th Essex,25090-lower
MA,lower,7th Essex,25089-lower
MA,lower,30th Middlesex,25147-lower
MA,lower,9th Worcester,25211-lower
MA,lower,7th Norfolk,25163-lower
MA,lower,3rd Bristol,25071-lower
MA,lower,33rd Middlesex,25150-lower
MA,lower,3rd Hampshire,25117-lower
MA,lower,17th Suffolk,25200-lower
MA,lower,15th Essex,25097-lower
MA,lower,16th Essex,25098-lower
MA,lower,2nd Essex,25084-lower
MA,lower,29th Middlesex,25146-lower
MA,lower,11th Suffolk,25194-lower
MA,lower,8th Middlesex,25125-lower
MA,lower,11th Norfolk,25167-lower
MA,lower,15th Suffolk,25198-lower
MA,lower,11th Worcester,25213-lower
MA,lower,9th Bristol,25077-lower
MA,lower,13th Bristol,25081-lower
MA,lower,22nd Middlesex,25139-lower
MA,lower,12th Essex,25094-lower
MA,lower,13th Essex,25095-lower
MA,lower,14th Bristol,25082-lower
MA,lower,10th Plymouth,25181-lower
MA,lower,1st Norfolk,25157-lower
MA,lower,8th Bristol,25076-lower
MA,lower,2nd Bristol,25070-lower
MA,lower,2nd Middlesex,25119-lower
MA,lower,2nd Worcester,25204-lower
MA,lower,7th Plymouth,25178-lower
MA,lower,8th Hampden,25109-lower
MA,lower,7th Suffolk,25190-lower
MA,lower,15th Worcester,25217-lower
MA,lower,11th Middlesex,25128-lower
MA,lower,8th Worcester,25210-lower
MA,lower,1st Bristol,25069-lower
MA,lower,34th Middlesex,25151-lower
MA,lower,9th Middlesex,25126-lower
MA,lower,1st Essex,25083-lower
MA,lower,27th Middlesex,25144-lower
MA,lower,18th Worcester,25155-lower
MA,lower,1st Plymouth,25172-lower
MA,lower,4th Bristol,25072-lower
MA,lower,11th Bristol,25079-lower
MA,lower,26th Middlesex,25143-lower
MA,lower,1st Berkshire,25065-lower
MA,lower,18th Middlesex,25135-lower
MA,lower,18th Suffolk,25201-lower
MA,lower,21st Middlesex,25138-lower
MA,lower,8th Plymouth,25179-lower
MA,lower,1st Hampshire,25115-lower
MA,lower,6th Middlesex,25123-lower
MA,lower,4th Essex,25086-lower
MA,lower,25th Middlesex,25142-lower
MA,lower,1st Hampden,25102-lower
MA,lower,13th Middlesex,25130-lower
MA,lower,24th Middlesex,25141-lower
MA,lower,13th Suffolk,25196-lower
MA,lower,9th Suffolk,25192-lower
MA,lower,9th Norfolk,25165-lower
MA,lower,6th Worcester,25208-lower
MA,lower,16th Middlesex,25133-lower
MA,lower,18th Essex,25114-lower
MA,lower,9th Hampden,25110-lower
MA,lower,6th Suffolk,25189-lower
MA,lower,10th Suffolk,25193-lower
MA,lower,5th Norfolk,25161-lower
MA,lower,11th Essex,25093-lower
MA,lower,5th Essex,25087-lower
MA,lower,4th Middlesex,25121-lower
MA,lower,4th Plymouth,25175-lower
MA,lower,14th Essex,25096-lower
MA,lower,3rd Hampden,25104-lower
MA,lower,12th Hampden,25113-lower
MA,lower,5th Worcester,25207-lower
MA,lower,1st Suffolk,25184-lower
MA,lower,8th Suffolk,25191-lower
MA,lower,14th Middlesex,25131-lower
MA,lower,12th Worcester,25214-lower
MA,lower,10th Bristol,25078-lower
MA,lower,8th Norfolk,25164-lower
MA,lower,4th Hampden,25105-lower
MA,lower,12th Middlesex,25129-lower
MA,lower,20th Middlesex,25137-lower
MA,lower,2nd Norfolk,25158-lower
MA,lower,32nd Middlesex,25149-lower
MA,lower,11th Hampden,25112-lower
MA,lower,17th Essex,25099-lower
MA,lower,17th Middlesex,25134-lower
MA,lower,19th Suffolk,25202-lower
MA,lower,3rd Essex,25085-lower
MA,lower,14th Suffolk,25197-lower
MA,lower,4th Berkshire,25068-lower
MA,lower,7th Middlesex,25124-lower
MA,lower,14th Worcester,25216-lower
MA,lower,2nd Barnstable,25061-lower
MA,lower,2nd Hampshire,25116-lower
MA,lower,2nd Suffolk,25185-lower
MA,lower,10th Hampden,25111-lower
MA,lower,16th Suffolk,25199-lower
MA,lower,4th Norfolk,25160-lower
MA,lower,6th Plymouth,25177-lower
MA,lower,2nd Hampden,25103-lower
MA,lower,14th Norfolk,25170-lower
MA,lower,12th Plymouth,25183-lower
MA,lower,7th Hampden,25108-lower
MA,lower,12th Bristol,25080-lower
MA,lower,1st Franklin,25100-lower
MA,lower,13th Worcester,25215-lower
MA,lower,7th Worcester,25209-lower
MA,lower,6th Bristol,25074-lower
MA,lower,13th Norfolk,25169-lower
MA,lower,12th Suffolk,25195-lower
MA,upper,First Essex & Middlesex,25020-upper
MA,upper,Plymouth & Barnstable,25039-upper
MA,upper,"Hampshire, Franklin & Worcester",25006-upper
MA,upper,"Norfolk, Bristol & Plymouth",25032-upper
MA,upper,"Norfolk, Bristol & Middlesex",25017-upper
MA,upper,Bristol & Norfolk,25031-upper
MA,upper,Cape & Islands,25040-upper
MA,upper,Norfolk & Suffolk,25030-upper
MA,upper,Worcester & Norfolk,25012-upper
MA,upper,First Hampden & Hampshire,25007-upper
MA,upper,"Worcester, Hampden, Hampshire & Middlesex",25008-upper
MA,upper,First Plymouth & Bristol,25036-upper
MA,upper,Middlesex & Suffolk,25026-upper
MA,upper,Worcester & Middlesex,25009-upper
MA,upper,Plymouth & Norfolk,25034-upper
MA,upper,First Bristol & Plymouth,25037-upper
MA,upper,Norfolk & Plymouth,25033-upper
MA,upper,"Berkshire, Hampshire, Franklin & Hampden",25004-upper
MA,upper,First Middlesex & Norfolk,25029-upper
MA,upper,Second Suffolk & Middlesex,25028-upper
MA,upper,Middlesex & Worcester,25014-upper
MA,upper,Second Plymouth & Bristol,25035-upper
MA,upper,Second Bristol & Plymouth,25038-upper
MA,upper,First Suffolk & Middlesex,25027-upper
MA,upper,Second Hampden & Hampshire,25005-upper
MA,upper,Second Essex & Middlesex,25018-upper
MA,upper,Second Middlesex & Norfolk,25015-upper
MI,lower,State House Districts not defined,26ZZZ-lower
MN,lower,08B,2708B-lower
MN,lower,03A,2703A-lower
MN,lower,01B,2701B-lower
MN,lower,01A,2701A-lower
MN,lower,02A,2702A-lower
MN,lower,04B,2704B-lower
MN,lower,09A,2709A-lower
MN,lower,03B,2703B-lower
MN,lower,09B,2709B-lower
MN,lower,05A,2705A-lower
MN,lower,05B,2705B-lower
MN,lower,06B,2706B-lower
MN,lower,07B,2707B-lower
MN,lower,02B,2702B-lower
MN,lower,06A,2706A-lower
MN,lower,08A,2708A-lower
MN,lower,07A,2707A-lower
MN,lower,04A,2704A-lower
MN,upper,01,27001-upper
MN,upper,09,27009-upper
MN,upper,08,27008-upper
MN,upper,05,27005-upper
MN,upper,02,27002-upper
MN,upper,04,27004-upper
MN,upper,03,27003-upper
MN,upper,07,27007-upper
MN,upper,06,27006-upper
NH,lower,Hillsborough County No. 16,33516-lower
NH,lower,Cheshire County No. 2,33202-lower
NH,lower,Hillsborough County No. 23,33523-lower
NH,lower,Grafton County No. 11,33411-lower
NH,lower,Rockingham County No. 26,33726-lower
NH,lower,Rockingham County No. 17,33717-lower
NH,lower,Coos County No. 1,33301-lower
NH,lower,Hillsborough County No. 28,33528-lower
NH,lower,Rockingham County No. 11,33711-lower
