id,qr_code_uid,qr_code_name
T000464-capitol,2017/03/19/9eeu20risv_T000464_capitol.png,T000464-capitol.png
C000567-capitol,2017/03/19/55p5ijhcyo_C000567_capitol.png,C000567-capitol.png
M000355-capitol,2017/03/19/7b4bka2yg6_M000355_capitol.png,M000355-capitol.png
B001230-capitol,2017/03/19/6age1bzxd4_B001230_capitol.png,B001230-capitol.png
R000584-capitol,2017/03/19/6xs7c2nxuw_R000584_capitol.png,R000584-capitol.png
C001070-capitol,2017/03/19/5jylomvun7_C001070_capitol.png,C001070-capitol.png
A000055-capitol,2017/03/19/9afwdzgaew_A000055_capitol.png,A000055-capitol.png
K000367-capitol,2017/03/19/4wqni6tlim_K000367_capitol.png,K000367-capitol.png
M000639-capitol,2017/03/19/539s2dlno_M000639_capitol.png,M000639-capitol.png
S000770-capitol,2017/03/19/1r7r0n3r2v_S000770_capitol.png,S000770-capitol.png
W000802-capitol,2017/03/19/8lsq1a8e6c_W000802_capitol.png,W000802-capitol.png
B001261-capitol,2017/03/19/2xw4dcf7r9_B001261_capitol.png,B001261-capitol.png
C001035-capitol,2017/03/19/27er7povus_C001035_capitol.png,C001035-capitol.png
C001056-capitol,2017/03/19/4xkqqy51w1_C001056_capitol.png,C001056-capitol.png
I000024-capitol,2017/03/19/8kdb320ojv_I000024_capitol.png,I000024-capitol.png
M001176-capitol,2017/03/19/6je4r6vqo2_M001176_capitol.png,M001176-capitol.png
S001181-capitol,2017/03/19/7v9c8edu8y_S001181_capitol.png,S001181-capitol.png
F000457-capitol,2017/03/19/9knax316d7_F000457_capitol.png,F000457-capitol.png
M001183-capitol,2017/03/19/6mmryvjdsm_M001183_capitol.png,M001183-capitol.png
A000367-capitol,2017/03/19/nx346grjg_A000367_capitol.png,A000367-capitol.png
B000944-capitol,2017/03/19/8ur7n0xxn9_B000944_capitol.png,B000944-capitol.png
C001071-capitol,2017/03/19/3g4hd19d9q_C001071_capitol.png,C001071-capitol.png
C000174-capitol,2017/03/19/11hial8us9_C000174_capitol.png,C000174-capitol.png
S000033-capitol,2017/03/19/80q6adp2q0_S000033_capitol.png,S000033-capitol.png
R000122-capitol,2017/03/19/3i2cevy5ue_R000122_capitol.png,R000122-capitol.png
C000127-capitol,2017/03/19/2xlylhvnog_C000127_capitol.png,C000127-capitol.png
B001270-capitol,2017/03/19/1g8a1oapfr_B001270_capitol.png,B001270-capitol.png
B001257-capitol,2017/03/19/3k9bh49k5u_B001257_capitol.png,B001257-capitol.png
G000555-capitol,2017/03/19/9i281ryahc_G000555_capitol.png,G000555-capitol.png
B001274-capitol,2017/03/19/2gw3h5e8n7_B001274_capitol.png,B001274-capitol.png
B001135-capitol,2017/03/19/9rqok9h2o4_B001135_capitol.png,B001135-capitol.png
C001037-capitol,2017/03/19/uwtofrc3j_C001037_capitol.png,C001037-capitol.png
C001075-capitol,2017/03/19/525axlnrxi_C001075_capitol.png,C001075-capitol.png
C001066-capitol,2017/03/19/281h5vd49r_C001066_capitol.png,C001066-capitol.png
C000266-capitol,2017/03/19/4njf9zv5ew_C000266_capitol.png,C000266-capitol.png
C001076-capitol,2017/03/19/80qkalvbvu_C001076_capitol.png,C001076-capitol.png
C001080-capitol,2017/03/19/3g0fs3g46j_C001080_capitol.png,C001080-capitol.png
C001084-capitol,2017/03/19/17tsn55jl5_C001084_capitol.png,C001084-capitol.png
C001061-capitol,2017/03/19/97rgasopub_C001061_capitol.png,C001061-capitol.png
C000537-capitol,2017/03/19/22urqvfl6w_C000537_capitol.png,C000537-capitol.png
C001077-capitol,2017/03/19/6pdwr0vyrs_C001077_capitol.png,C001077-capitol.png
C001068-capitol,2017/03/19/1tlsx500yj_C001068_capitol.png,C001068-capitol.png
C001053-capitol,2017/03/19/97c0lfk2uc_C001053_capitol.png,C001053-capitol.png
C001059-capitol,2017/03/19/2cvhod0xld_C001059_capitol.png,C001059-capitol.png
D000598-capitol,2017/03/19/5qx7bi5m41_D000598_capitol.png,D000598-capitol.png
C001078-capitol,2017/03/19/3f6hvcidza_C001078_capitol.png,C001078-capitol.png
C000714-capitol,2017/03/19/10s3an0p31_C000714_capitol.png,C000714-capitol.png
C000880-capitol,2017/03/19/1req473ib9_C000880_capitol.png,C000880-capitol.png
D000096-capitol,2017/03/19/85h3renn3n_D000096_capitol.png,D000096-capitol.png
M001170-capitol,2017/03/19/3wmf7pb8lg_M001170_capitol.png,M001170-capitol.png
B001277-capitol,2017/03/19/76k14c4yel_B001277_capitol.png,B001277-capitol.png
B000574-capitol,2017/03/19/9eyiyduf7l_B000574_capitol.png,B000574-capitol.png
B001243-capitol,2017/03/19/94epmcqahy_B001243_capitol.png,B001243-capitol.png
B000575-capitol,2017/03/19/6z82fno2z7_B000575_capitol.png,B000575-capitol.png
B001236-capitol,2017/03/19/4zdax7ji9e_B001236_capitol.png,B001236-capitol.png
B001227-capitol,2017/03/19/4xhr1haenp_B001227_capitol.png,B001227-capitol.png
E000215-capitol,2017/03/19/oyfo358y0_E000215_capitol.png,E000215-capitol.png
F000460-capitol,2017/03/19/8e2d07a1p6_F000460_capitol.png,F000460-capitol.png
F000444-capitol,2017/03/19/2nnspl33g5_F000444_capitol.png,F000444-capitol.png
F000459-capitol,2017/03/19/6b927k9jcz_F000459_capitol.png,F000459-capitol.png
F000450-capitol,2017/03/19/4kda2jalaj_F000450_capitol.png,F000450-capitol.png
F000448-capitol,2017/03/19/5jiv95u8kx_F000448_capitol.png,F000448-capitol.png
G000559-capitol,2017/03/19/1gorrgkuk4_G000559_capitol.png,G000559-capitol.png
G000562-capitol,2017/03/19/74wq4ds7s3_G000562_capitol.png,G000562-capitol.png
G000552-capitol,2017/03/19/1lnizlh8mi_G000552_capitol.png,G000552-capitol.png
G000289-capitol,2017/03/19/3jh7ujmsky_G000289_capitol.png,G000289-capitol.png
G000565-capitol,2017/03/19/55czl7mb8r_G000565_capitol.png,G000565-capitol.png
G000546-capitol,2017/03/19/4aardt13au_G000546_capitol.png,G000546-capitol.png
G000560-capitol,2017/03/19/32n7uelzd6_G000560_capitol.png,G000560-capitol.png
G000553-capitol,2017/03/19/3ca0qba0pn_G000553_capitol.png,G000553-capitol.png
G000551-capitol,2017/03/19/4lu9h8btis_G000551_capitol.png,G000551-capitol.png
G000568-capitol,2017/03/19/2v3b7s3oo_G000568_capitol.png,G000568-capitol.png
G000558-capitol,2017/03/19/7mp321dvdw_G000558_capitol.png,G000558-capitol.png
H001052-capitol,2017/03/19/4trodbt4vx_H001052_capitol.png,H001052-capitol.png
H001056-capitol,2017/03/19/8ucnfdtpje_H001056_capitol.png,H001056-capitol.png
F000449-capitol,2017/03/19/imp8bzk30_F000449_capitol.png,F000449-capitol.png
H001038-capitol,2017/03/19/1hdhzm5yf_H001038_capitol.png,H001038-capitol.png
D000607-capitol,2017/03/19/lgm8p1bei_D000607_capitol.png,D000607-capitol.png
D000482-capitol,2017/03/19/t8ded3afr_D000482_capitol.png,D000482-capitol.png
W000805-capitol,2017/03/19/72dyeziam1_W000805_capitol.png,W000805-capitol.png
D000610-capitol,2017/03/19/3qlqkypzfj_D000610_capitol.png,D000610-capitol.png
D000614-capitol,2017/03/19/7nwx0771hy_D000614_capitol.png,D000614-capitol.png
D000615-capitol,2017/03/19/2ap6vrl687_D000615_capitol.png,D000615-capitol.png
E000288-capitol,2017/03/19/4vq3zmag3c_E000288_capitol.png,E000288-capitol.png
J000126-capitol,2017/03/19/6z99166ru4_J000126_capitol.png,J000126-capitol.png
J000288-capitol,2017/03/19/35tiwzfztm_J000288_capitol.png,J000288-capitol.png
J000293-capitol,2017/03/19/5evw4nf7f2_J000293_capitol.png,J000293-capitol.png
J000255-capitol,2017/03/19/oxsxss7k4_J000255_capitol.png,J000255-capitol.png
J000289-capitol,2017/03/19/9tqrv1meeg_J000289_capitol.png,J000289-capitol.png
K000188-capitol,2017/03/19/3po3cvkxel_K000188_capitol.png,K000188-capitol.png
K000210-capitol,2017/03/19/6cejvwdgw1_K000210_capitol.png,K000210-capitol.png
K000378-capitol,2017/03/19/4m1ejhuq5s_K000378_capitol.png,K000378-capitol.png
L000564-capitol,2017/03/19/735wa905ns_L000564_capitol.png,L000564-capitol.png
L000567-capitol,2017/03/19/7vj253mmbq_L000567_capitol.png,L000567-capitol.png
L000575-capitol,2017/03/19/34o0tvbwax_L000575_capitol.png,L000575-capitol.png
L000557-capitol,2017/03/19/8lc5uzkwu8_L000557_capitol.png,L000557-capitol.png
L000566-capitol,2017/03/19/vy6igpaek_L000566_capitol.png,L000566-capitol.png
L000577-capitol,2017/03/19/3une34zyn3_L000577_capitol.png,L000577-capitol.png
L000576-capitol,2017/03/19/4azlxnlgsl_L000576_capitol.png,L000576-capitol.png
L000174-capitol,2017/03/19/4gxtjsue5a_L000174_capitol.png,L000174-capitol.png
L000263-capitol,2017/03/19/1jpprjytj4_L000263_capitol.png,L000263-capitol.png
L000565-capitol,2017/03/19/12ljc4t92l_L000565_capitol.png,L000565-capitol.png
L000491-capitol,2017/03/19/5vyvapk4ey_L000491_capitol.png,L000491-capitol.png
H000874-capitol,2017/03/19/3btmi081lt_H000874_capitol.png,H000874-capitol.png
H001061-capitol,2017/03/19/8mc4dhpdv6_H001061_capitol.png,H001061-capitol.png
L000562-capitol,2017/03/19/23x7gux2mg_L000562_capitol.png,L000562-capitol.png
