code,state_code,full_code,name,chamber,type,level,open_states_name
010,01,01010-lower,10,lower,StateDistrict,state,10
013,01,01013-lower,13,lower,StateDistrict,state,13
105,01,01105-lower,105,lower,StateDistrict,state,105
011,01,01011-lower,11,lower,StateDistrict,state,11
014,01,01014-lower,14,lower,StateDistrict,state,14
015,01,01015-lower,15,lower,StateDistrict,state,15
016,01,01016-lower,16,lower,StateDistrict,state,16
018,01,01018-lower,18,lower,StateDistrict,state,18
019,01,01019-lower,19,lower,StateDistrict,state,19
021,01,01021-lower,21,lower,StateDistrict,state,21
002,01,01002-lower,2,lower,StateDistrict,state,2
023,01,01023-lower,23,lower,StateDistrict,state,23
024,01,01024-lower,24,lower,StateDistrict,state,24
025,01,01025-lower,25,lower,StateDistrict,state,25
026,01,01026-lower,26,lower,StateDistrict,state,26
027,01,01027-lower,27,lower,StateDistrict,state,27
029,01,01029-lower,29,lower,StateDistrict,state,29
030,01,01030-lower,30,lower,StateDistrict,state,30
031,01,01031-lower,31,lower,StateDistrict,state,31
003,01,01003-lower,3,lower,StateDistrict,state,3
033,01,01033-lower,33,lower,StateDistrict,state,33
034,01,01034-lower,34,lower,StateDistrict,state,34
035,01,01035-lower,35,lower,StateDistrict,state,35
036,01,01036-lower,36,lower,StateDistrict,state,36
055,01,01055-lower,55,lower,StateDistrict,state,55
062,01,01062-lower,62,lower,StateDistrict,state,62
038,01,01038-lower,38,lower,StateDistrict,state,38
039,01,01039-lower,39,lower,StateDistrict,state,39
040,01,01040-lower,40,lower,StateDistrict,state,40
041,01,01041-lower,41,lower,StateDistrict,state,41
042,01,01042-lower,42,lower,StateDistrict,state,42
044,01,01044-lower,44,lower,StateDistrict,state,44
045,01,01045-lower,45,lower,StateDistrict,state,45
046,01,01046-lower,46,lower,StateDistrict,state,46
049,01,01049-lower,49,lower,StateDistrict,state,49
050,01,01050-lower,50,lower,StateDistrict,state,50
051,01,01051-lower,51,lower,StateDistrict,state,51
005,01,01005-lower,5,lower,StateDistrict,state,5
073,01,01073-lower,73,lower,StateDistrict,state,73
057,01,01057-lower,57,lower,StateDistrict,state,57
058,01,01058-lower,58,lower,StateDistrict,state,58
059,01,01059-lower,59,lower,StateDistrict,state,59
060,01,01060-lower,60,lower,StateDistrict,state,60
006,01,01006-lower,6,lower,StateDistrict,state,6
092,01,01092-lower,92,lower,StateDistrict,state,92
063,01,01063-lower,63,lower,StateDistrict,state,63
065,01,01065-lower,65,lower,StateDistrict,state,65
067,01,01067-lower,67,lower,StateDistrict,state,67
068,01,01068-lower,68,lower,StateDistrict,state,68
069,01,01069-lower,69,lower,StateDistrict,state,69
070,01,01070-lower,70,lower,StateDistrict,state,70
007,01,01007-lower,7,lower,StateDistrict,state,7
101,01,01101-lower,101,lower,StateDistrict,state,101
075,01,01075-lower,75,lower,StateDistrict,state,75
076,01,01076-lower,76,lower,StateDistrict,state,76
079,01,01079-lower,79,lower,StateDistrict,state,79
081,01,01081-lower,81,lower,StateDistrict,state,81
082,01,01082-lower,82,lower,StateDistrict,state,82
083,01,01083-lower,83,lower,StateDistrict,state,83
084,01,01084-lower,84,lower,StateDistrict,state,84
086,01,01086-lower,86,lower,StateDistrict,state,86
088,01,01088-lower,88,lower,StateDistrict,state,88
089,01,01089-lower,89,lower,StateDistrict,state,89
090,01,01090-lower,90,lower,StateDistrict,state,90
009,01,01009-lower,9,lower,StateDistrict,state,9
103,01,01103-lower,103,lower,StateDistrict,state,103
093,01,01093-lower,93,lower,StateDistrict,state,93
094,01,01094-lower,94,lower,StateDistrict,state,94
098,01,01098-lower,98,lower,StateDistrict,state,98
099,01,01099-lower,99,lower,StateDistrict,state,99
001,01,01001-lower,1,lower,StateDistrict,state,1
043,01,01043-lower,43,lower,StateDistrict,state,43
052,01,01052-lower,52,lower,StateDistrict,state,52
053,01,01053-lower,53,lower,StateDistrict,state,53
056,01,01056-lower,56,lower,StateDistrict,state,56
064,01,01064-lower,64,lower,StateDistrict,state,64
074,01,01074-lower,74,lower,StateDistrict,state,74
077,01,01077-lower,77,lower,StateDistrict,state,77
080,01,01080-lower,80,lower,StateDistrict,state,80
008,01,01008-lower,8,lower,StateDistrict,state,8
095,01,01095-lower,95,lower,StateDistrict,state,95
097,01,01097-lower,97,lower,StateDistrict,state,97
020,01,01020-lower,20,lower,StateDistrict,state,20
102,01,01102-lower,102,lower,StateDistrict,state,102
104,01,01104-lower,104,lower,StateDistrict,state,104
012,01,01012-lower,12,lower,StateDistrict,state,12
017,01,01017-lower,17,lower,StateDistrict,state,17
022,01,01022-lower,22,lower,StateDistrict,state,22
028,01,01028-lower,28,lower,StateDistrict,state,28
032,01,01032-lower,32,lower,StateDistrict,state,32
037,01,01037-lower,37,lower,StateDistrict,state,37
004,01,01004-lower,4,lower,StateDistrict,state,4
047,01,01047-lower,47,lower,StateDistrict,state,47
048,01,01048-lower,48,lower,StateDistrict,state,48
054,01,01054-lower,54,lower,StateDistrict,state,54
061,01,01061-lower,61,lower,StateDistrict,state,61
066,01,01066-lower,66,lower,StateDistrict,state,66
071,01,01071-lower,71,lower,StateDistrict,state,71
072,01,01072-lower,72,lower,StateDistrict,state,72
078,01,01078-lower,78,lower,StateDistrict,state,78
085,01,01085-lower,85,lower,StateDistrict,state,85
087,01,01087-lower,87,lower,StateDistrict,state,87
091,01,01091-lower,91,lower,StateDistrict,state,91
096,01,01096-lower,96,lower,StateDistrict,state,96
100,01,01100-lower,100,lower,StateDistrict,state,100
