code,state_code,full_code,name,chamber,type,level,open_states_name
011,01,01011-upper,11,upper,StateDistrict,state,11
013,01,01013-upper,13,upper,StateDistrict,state,13
018,01,01018-upper,18,upper,StateDistrict,state,18
023,01,01023-upper,23,upper,StateDistrict,state,23
029,01,01029-upper,29,upper,StateDistrict,state,29
034,01,01034-upper,34,upper,StateDistrict,state,34
005,01,01005-upper,5,upper,StateDistrict,state,5
001,01,01001-upper,1,upper,StateDistrict,state,1
012,01,01012-upper,12,upper,StateDistrict,state,12
014,01,01014-upper,14,upper,StateDistrict,state,14
016,01,01016-upper,16,upper,StateDistrict,state,16
017,01,01017-upper,17,upper,StateDistrict,state,17
019,01,01019-upper,19,upper,StateDistrict,state,19
021,01,01021-upper,21,upper,StateDistrict,state,21
022,01,01022-upper,22,upper,StateDistrict,state,22
024,01,01024-upper,24,upper,StateDistrict,state,24
025,01,01025-upper,25,upper,StateDistrict,state,25
026,01,01026-upper,26,upper,StateDistrict,state,26
028,01,01028-upper,28,upper,StateDistrict,state,28
030,01,01030-upper,30,upper,StateDistrict,state,30
031,01,01031-upper,31,upper,StateDistrict,state,31
003,01,01003-upper,3,upper,StateDistrict,state,3
032,01,01032-upper,32,upper,StateDistrict,state,32
035,01,01035-upper,35,upper,StateDistrict,state,35
004,01,01004-upper,4,upper,StateDistrict,state,4
006,01,01006-upper,6,upper,StateDistrict,state,6
009,01,01009-upper,9,upper,StateDistrict,state,9
020,01,01020-upper,20,upper,StateDistrict,state,20
008,01,01008-upper,8,upper,StateDistrict,state,8
010,01,01010-upper,10,upper,StateDistrict,state,10
015,01,01015-upper,15,upper,StateDistrict,state,15
002,01,01002-upper,2,upper,StateDistrict,state,2
027,01,01027-upper,27,upper,StateDistrict,state,27
033,01,01033-upper,33,upper,StateDistrict,state,33
007,01,01007-upper,7,upper,StateDistrict,state,7
