code,state_code,full_code,name,chamber,type,level,open_states_name
002,02,02002-lower,2,lower,StateDistrict,state,2
003,02,02003-lower,3,lower,StateDistrict,state,3
005,02,02005-lower,5,lower,StateDistrict,state,5
006,02,02006-lower,6,lower,StateDistrict,state,6
007,02,02007-lower,7,lower,StateDistrict,state,7
009,02,02009-lower,9,lower,StateDistrict,state,9
010,02,02010-lower,10,lower,StateDistrict,state,10
011,02,02011-lower,11,lower,StateDistrict,state,11
012,02,02012-lower,12,lower,StateDistrict,state,12
014,02,02014-lower,14,lower,StateDistrict,state,14
015,02,02015-lower,15,lower,StateDistrict,state,15
016,02,02016-lower,16,lower,StateDistrict,state,16
017,02,02017-lower,17,lower,StateDistrict,state,17
019,02,02019-lower,19,lower,StateDistrict,state,19
020,02,02020-lower,20,lower,StateDistrict,state,20
021,02,02021-lower,21,lower,StateDistrict,state,21
022,02,02022-lower,22,lower,StateDistrict,state,22
025,02,02025-lower,25,lower,StateDistrict,state,25
026,02,02026-lower,26,lower,StateDistrict,state,26
027,02,02027-lower,27,lower,StateDistrict,state,27
028,02,02028-lower,28,lower,StateDistrict,state,28
029,02,02029-lower,29,lower,StateDistrict,state,29
031,02,02031-lower,31,lower,StateDistrict,state,31
032,02,02032-lower,32,lower,StateDistrict,state,32
033,02,02033-lower,33,lower,StateDistrict,state,33
034,02,02034-lower,34,lower,StateDistrict,state,34
036,02,02036-lower,36,lower,StateDistrict,state,36
037,02,02037-lower,37,lower,StateDistrict,state,37
038,02,02038-lower,38,lower,StateDistrict,state,38
039,02,02039-lower,39,lower,StateDistrict,state,39
040,02,02040-lower,40,lower,StateDistrict,state,40
001,02,02001-lower,1,lower,StateDistrict,state,1
004,02,02004-lower,4,lower,StateDistrict,state,4
008,02,02008-lower,8,lower,StateDistrict,state,8
013,02,02013-lower,13,lower,StateDistrict,state,13
018,02,02018-lower,18,lower,StateDistrict,state,18
023,02,02023-lower,23,lower,StateDistrict,state,23
024,02,02024-lower,24,lower,StateDistrict,state,24
030,02,02030-lower,30,lower,StateDistrict,state,30
035,02,02035-lower,35,lower,StateDistrict,state,35
