code,state_code,full_code,name,chamber,type,level,open_states_name
00C,02,0200C-upper,C,upper,StateDistrict,state,C
00D,02,0200D-upper,D,upper,StateDistrict,state,D
00E,02,0200E-upper,E,upper,StateDistrict,state,E
00G,02,0200G-upper,G,upper,StateDistrict,state,G
00H,02,0200H-upper,H,upper,StateDistrict,state,H
00J,02,0200J-upper,J,upper,StateDistrict,state,J
00K,02,0200K-upper,K,upper,StateDistrict,state,K
00L,02,0200L-upper,L,upper,StateDistrict,state,L
00N,02,0200N-upper,N,upper,StateDistrict,state,N
00O,02,0200O-upper,O,upper,StateDistrict,state,O
00P,02,0200P-upper,P,upper,StateDistrict,state,P
00R,02,0200R-upper,R,upper,StateDistrict,state,R
00S,02,0200S-upper,S,upper,StateDistrict,state,S
00T,02,0200T-upper,T,upper,StateDistrict,state,T
00A,02,0200A-upper,A,upper,StateDistrict,state,A
00B,02,0200B-upper,B,upper,StateDistrict,state,B
00F,02,0200F-upper,F,upper,StateDistrict,state,F
00I,02,0200I-upper,I,upper,StateDistrict,state,I
00M,02,0200M-upper,M,upper,StateDistrict,state,M
00Q,02,0200Q-upper,Q,upper,StateDistrict,state,Q
