code,state_code,full_code,name,chamber,type,level,open_states_name
011,04,04011-lower,11,lower,StateDistrict,state,11
001,04,04001-lower,1,lower,StateDistrict,state,1
012,04,04012-lower,12,lower,StateDistrict,state,12
013,04,04013-lower,13,lower,StateDistrict,state,13
015,04,04015-lower,15,lower,StateDistrict,state,15
016,04,04016-lower,16,lower,StateDistrict,state,16
017,04,04017-lower,17,lower,StateDistrict,state,17
018,04,04018-lower,18,lower,StateDistrict,state,18
020,04,04020-lower,20,lower,StateDistrict,state,20
021,04,04021-lower,21,lower,StateDistrict,state,21
002,04,04002-lower,2,lower,StateDistrict,state,2
022,04,04022-lower,22,lower,StateDistrict,state,22
024,04,04024-lower,24,lower,StateDistrict,state,24
025,04,04025-lower,25,lower,StateDistrict,state,25
026,04,04026-lower,26,lower,StateDistrict,state,26
027,04,04027-lower,27,lower,StateDistrict,state,27
028,04,04028-lower,28,lower,StateDistrict,state,28
030,04,04030-lower,30,lower,StateDistrict,state,30
003,04,04003-lower,3,lower,StateDistrict,state,3
004,04,04004-lower,4,lower,StateDistrict,state,4
006,04,04006-lower,6,lower,StateDistrict,state,6
007,04,04007-lower,7,lower,StateDistrict,state,7
008,04,04008-lower,8,lower,StateDistrict,state,8
010,04,04010-lower,10,lower,StateDistrict,state,10
014,04,04014-lower,14,lower,StateDistrict,state,14
019,04,04019-lower,19,lower,StateDistrict,state,19
023,04,04023-lower,23,lower,StateDistrict,state,23
029,04,04029-lower,29,lower,StateDistrict,state,29
005,04,04005-lower,5,lower,StateDistrict,state,5
009,04,04009-lower,9,lower,StateDistrict,state,9
