code,state_code,full_code,name,chamber,type,level,open_states_name
010,04,04010-upper,10,upper,StateDistrict,state,10
011,04,04011-upper,11,upper,StateDistrict,state,11
001,04,04001-upper,1,upper,StateDistrict,state,1
012,04,04012-upper,12,upper,StateDistrict,state,12
014,04,04014-upper,14,upper,StateDistrict,state,14
015,04,04015-upper,15,upper,StateDistrict,state,15
016,04,04016-upper,16,upper,StateDistrict,state,16
017,04,04017-upper,17,upper,StateDistrict,state,17
019,04,04019-upper,19,upper,StateDistrict,state,19
020,04,04020-upper,20,upper,StateDistrict,state,20
021,04,04021-upper,21,upper,StateDistrict,state,21
002,04,04002-upper,2,upper,StateDistrict,state,2
023,04,04023-upper,23,upper,StateDistrict,state,23
024,04,04024-upper,24,upper,StateDistrict,state,24
025,04,04025-upper,25,upper,StateDistrict,state,25
026,04,04026-upper,26,upper,StateDistrict,state,26
028,04,04028-upper,28,upper,StateDistrict,state,28
029,04,04029-upper,29,upper,StateDistrict,state,29
030,04,04030-upper,30,upper,StateDistrict,state,30
003,04,04003-upper,3,upper,StateDistrict,state,3
005,04,04005-upper,5,upper,StateDistrict,state,5
006,04,04006-upper,6,upper,StateDistrict,state,6
007,04,04007-upper,7,upper,StateDistrict,state,7
009,04,04009-upper,9,upper,StateDistrict,state,9
013,04,04013-upper,13,upper,StateDistrict,state,13
018,04,04018-upper,18,upper,StateDistrict,state,18
022,04,04022-upper,22,upper,StateDistrict,state,22
027,04,04027-upper,27,upper,StateDistrict,state,27
004,04,04004-upper,4,upper,StateDistrict,state,4
008,04,04008-upper,8,upper,StateDistrict,state,8
