code,state_code,full_code,name,chamber,type,level,open_states_name
012,05,05012-lower,12,lower,StateDistrict,state,12
040,05,05040-lower,40,lower,StateDistrict,state,40
052,05,05052-lower,52,lower,StateDistrict,state,52
096,05,05096-lower,96,lower,StateDistrict,state,96
004,05,05004-lower,4,lower,StateDistrict,state,4
061,05,05061-lower,61,lower,StateDistrict,state,61
007,05,05007-lower,7,lower,StateDistrict,state,7
016,05,05016-lower,16,lower,StateDistrict,state,16
020,05,05020-lower,20,lower,StateDistrict,state,20
014,05,05014-lower,14,lower,StateDistrict,state,14
015,05,05015-lower,15,lower,StateDistrict,state,15
018,05,05018-lower,18,lower,StateDistrict,state,18
019,05,05019-lower,19,lower,StateDistrict,state,19
021,05,05021-lower,21,lower,StateDistrict,state,21
002,05,05002-lower,2,lower,StateDistrict,state,2
024,05,05024-lower,24,lower,StateDistrict,state,24
025,05,05025-lower,25,lower,StateDistrict,state,25
026,05,05026-lower,26,lower,StateDistrict,state,26
027,05,05027-lower,27,lower,StateDistrict,state,27
028,05,05028-lower,28,lower,StateDistrict,state,28
030,05,05030-lower,30,lower,StateDistrict,state,30
031,05,05031-lower,31,lower,StateDistrict,state,31
003,05,05003-lower,3,lower,StateDistrict,state,3
032,05,05032-lower,32,lower,StateDistrict,state,32
034,05,05034-lower,34,lower,StateDistrict,state,34
035,05,05035-lower,35,lower,StateDistrict,state,35
036,05,05036-lower,36,lower,StateDistrict,state,36
053,05,05053-lower,53,lower,StateDistrict,state,53
062,05,05062-lower,62,lower,StateDistrict,state,62
037,05,05037-lower,37,lower,StateDistrict,state,37
039,05,05039-lower,39,lower,StateDistrict,state,39
041,05,05041-lower,41,lower,StateDistrict,state,41
042,05,05042-lower,42,lower,StateDistrict,state,42
043,05,05043-lower,43,lower,StateDistrict,state,43
044,05,05044-lower,44,lower,StateDistrict,state,44
046,05,05046-lower,46,lower,StateDistrict,state,46
047,05,05047-lower,47,lower,StateDistrict,state,47
048,05,05048-lower,48,lower,StateDistrict,state,48
049,05,05049-lower,49,lower,StateDistrict,state,49
051,05,05051-lower,51,lower,StateDistrict,state,51
005,05,05005-lower,5,lower,StateDistrict,state,5
083,05,05083-lower,83,lower,StateDistrict,state,83
054,05,05054-lower,54,lower,StateDistrict,state,54
056,05,05056-lower,56,lower,StateDistrict,state,56
057,05,05057-lower,57,lower,StateDistrict,state,57
058,05,05058-lower,58,lower,StateDistrict,state,58
059,05,05059-lower,59,lower,StateDistrict,state,59
006,05,05006-lower,6,lower,StateDistrict,state,6
010,05,05010-lower,10,lower,StateDistrict,state,10
063,05,05063-lower,63,lower,StateDistrict,state,63
064,05,05064-lower,64,lower,StateDistrict,state,64
067,05,05067-lower,67,lower,StateDistrict,state,67
068,05,05068-lower,68,lower,StateDistrict,state,68
069,05,05069-lower,69,lower,StateDistrict,state,69
070,05,05070-lower,70,lower,StateDistrict,state,70
071,05,05071-lower,71,lower,StateDistrict,state,71
073,05,05073-lower,73,lower,StateDistrict,state,73
074,05,05074-lower,74,lower,StateDistrict,state,74
075,05,05075-lower,75,lower,StateDistrict,state,75
076,05,05076-lower,76,lower,StateDistrict,state,76
078,05,05078-lower,78,lower,StateDistrict,state,78
079,05,05079-lower,79,lower,StateDistrict,state,79
080,05,05080-lower,80,lower,StateDistrict,state,80
081,05,05081-lower,81,lower,StateDistrict,state,81
008,05,05008-lower,8,lower,StateDistrict,state,8
001,05,05001-lower,1,lower,StateDistrict,state,1
084,05,05084-lower,84,lower,StateDistrict,state,84
085,05,05085-lower,85,lower,StateDistrict,state,85
086,05,05086-lower,86,lower,StateDistrict,state,86
088,05,05088-lower,88,lower,StateDistrict,state,88
089,05,05089-lower,89,lower,StateDistrict,state,89
090,05,05090-lower,90,lower,StateDistrict,state,90
091,05,05091-lower,91,lower,StateDistrict,state,91
092,05,05092-lower,92,lower,StateDistrict,state,92
093,05,05093-lower,93,lower,StateDistrict,state,93
094,05,05094-lower,94,lower,StateDistrict,state,94
095,05,05095-lower,95,lower,StateDistrict,state,95
098,05,05098-lower,98,lower,StateDistrict,state,98
099,05,05099-lower,99,lower,StateDistrict,state,99
013,05,05013-lower,13,lower,StateDistrict,state,13
100,05,05100-lower,100,lower,StateDistrict,state,100
011,05,05011-lower,11,lower,StateDistrict,state,11
017,05,05017-lower,17,lower,StateDistrict,state,17
022,05,05022-lower,22,lower,StateDistrict,state,22
023,05,05023-lower,23,lower,StateDistrict,state,23
029,05,05029-lower,29,lower,StateDistrict,state,29
033,05,05033-lower,33,lower,StateDistrict,state,33
045,05,05045-lower,45,lower,StateDistrict,state,45
050,05,05050-lower,50,lower,StateDistrict,state,50
055,05,05055-lower,55,lower,StateDistrict,state,55
060,05,05060-lower,60,lower,StateDistrict,state,60
065,05,05065-lower,65,lower,StateDistrict,state,65
066,05,05066-lower,66,lower,StateDistrict,state,66
072,05,05072-lower,72,lower,StateDistrict,state,72
077,05,05077-lower,77,lower,StateDistrict,state,77
082,05,05082-lower,82,lower,StateDistrict,state,82
087,05,05087-lower,87,lower,StateDistrict,state,87
009,05,05009-lower,9,lower,StateDistrict,state,9
097,05,05097-lower,97,lower,StateDistrict,state,97
038,05,05038-lower,38,lower,StateDistrict,state,38
