code,state_code,full_code,name,chamber,type,level,open_states_name
018,05,05018-upper,18,upper,StateDistrict,state,18
024,05,05024-upper,24,upper,StateDistrict,state,24
030,05,05030-upper,30,upper,StateDistrict,state,30
035,05,05035-upper,35,upper,StateDistrict,state,35
010,05,05010-upper,10,upper,StateDistrict,state,10
012,05,05012-upper,12,upper,StateDistrict,state,12
013,05,05013-upper,13,upper,StateDistrict,state,13
014,05,05014-upper,14,upper,StateDistrict,state,14
015,05,05015-upper,15,upper,StateDistrict,state,15
017,05,05017-upper,17,upper,StateDistrict,state,17
019,05,05019-upper,19,upper,StateDistrict,state,19
020,05,05020-upper,20,upper,StateDistrict,state,20
021,05,05021-upper,21,upper,StateDistrict,state,21
023,05,05023-upper,23,upper,StateDistrict,state,23
025,05,05025-upper,25,upper,StateDistrict,state,25
026,05,05026-upper,26,upper,StateDistrict,state,26
027,05,05027-upper,27,upper,StateDistrict,state,27
029,05,05029-upper,29,upper,StateDistrict,state,29
031,05,05031-upper,31,upper,StateDistrict,state,31
003,05,05003-upper,3,upper,StateDistrict,state,3
032,05,05032-upper,32,upper,StateDistrict,state,32
033,05,05033-upper,33,upper,StateDistrict,state,33
004,05,05004-upper,4,upper,StateDistrict,state,4
005,05,05005-upper,5,upper,StateDistrict,state,5
006,05,05006-upper,6,upper,StateDistrict,state,6
008,05,05008-upper,8,upper,StateDistrict,state,8
009,05,05009-upper,9,upper,StateDistrict,state,9
011,05,05011-upper,11,upper,StateDistrict,state,11
022,05,05022-upper,22,upper,StateDistrict,state,22
001,05,05001-upper,1,upper,StateDistrict,state,1
016,05,05016-upper,16,upper,StateDistrict,state,16
002,05,05002-upper,2,upper,StateDistrict,state,2
028,05,05028-upper,28,upper,StateDistrict,state,28
034,05,05034-upper,34,upper,StateDistrict,state,34
007,05,05007-upper,7,upper,StateDistrict,state,7
