code,state_code,full_code,name,chamber,type,level,open_states_name
011,06,06011-lower,11,lower,StateDistrict,state,11
013,06,06013-lower,13,lower,StateDistrict,state,13
015,06,06015-lower,15,lower,StateDistrict,state,15
016,06,06016-lower,16,lower,StateDistrict,state,16
018,06,06018-lower,18,lower,StateDistrict,state,18
020,06,06020-lower,20,lower,StateDistrict,state,20
023,06,06023-lower,23,lower,StateDistrict,state,23
024,06,06024-lower,24,lower,StateDistrict,state,24
026,06,06026-lower,26,lower,StateDistrict,state,26
028,06,06028-lower,28,lower,StateDistrict,state,28
029,06,06029-lower,29,lower,StateDistrict,state,29
031,06,06031-lower,31,lower,StateDistrict,state,31
003,06,06003-lower,3,lower,StateDistrict,state,3
032,06,06032-lower,32,lower,StateDistrict,state,32
034,06,06034-lower,34,lower,StateDistrict,state,34
036,06,06036-lower,36,lower,StateDistrict,state,36
038,06,06038-lower,38,lower,StateDistrict,state,38
039,06,06039-lower,39,lower,StateDistrict,state,39
040,06,06040-lower,40,lower,StateDistrict,state,40
004,06,06004-lower,4,lower,StateDistrict,state,4
042,06,06042-lower,42,lower,StateDistrict,state,42
052,06,06052-lower,52,lower,StateDistrict,state,52
067,06,06067-lower,67,lower,StateDistrict,state,67
043,06,06043-lower,43,lower,StateDistrict,state,43
044,06,06044-lower,44,lower,StateDistrict,state,44
049,06,06049-lower,49,lower,StateDistrict,state,49
050,06,06050-lower,50,lower,StateDistrict,state,50
005,06,06005-lower,5,lower,StateDistrict,state,5
009,06,06009-lower,9,lower,StateDistrict,state,9
057,06,06057-lower,57,lower,StateDistrict,state,57
058,06,06058-lower,58,lower,StateDistrict,state,58
061,06,06061-lower,61,lower,StateDistrict,state,61
006,06,06006-lower,6,lower,StateDistrict,state,6
068,06,06068-lower,68,lower,StateDistrict,state,68
070,06,06070-lower,70,lower,StateDistrict,state,70
071,06,06071-lower,71,lower,StateDistrict,state,71
074,06,06074-lower,74,lower,StateDistrict,state,74
076,06,06076-lower,76,lower,StateDistrict,state,76
077,06,06077-lower,77,lower,StateDistrict,state,77
078,06,06078-lower,78,lower,StateDistrict,state,78
080,06,06080-lower,80,lower,StateDistrict,state,80
008,06,06008-lower,8,lower,StateDistrict,state,8
012,06,06012-lower,12,lower,StateDistrict,state,12
001,06,06001-lower,1,lower,StateDistrict,state,1
021,06,06021-lower,21,lower,StateDistrict,state,21
002,06,06002-lower,2,lower,StateDistrict,state,2
027,06,06027-lower,27,lower,StateDistrict,state,27
033,06,06033-lower,33,lower,StateDistrict,state,33
037,06,06037-lower,37,lower,StateDistrict,state,37
045,06,06045-lower,45,lower,StateDistrict,state,45
047,06,06047-lower,47,lower,StateDistrict,state,47
051,06,06051-lower,51,lower,StateDistrict,state,51
053,06,06053-lower,53,lower,StateDistrict,state,53
054,06,06054-lower,54,lower,StateDistrict,state,54
059,06,06059-lower,59,lower,StateDistrict,state,59
060,06,06060-lower,60,lower,StateDistrict,state,60
062,06,06062-lower,62,lower,StateDistrict,state,62
063,06,06063-lower,63,lower,StateDistrict,state,63
065,06,06065-lower,65,lower,StateDistrict,state,65
069,06,06069-lower,69,lower,StateDistrict,state,69
072,06,06072-lower,72,lower,StateDistrict,state,72
073,06,06073-lower,73,lower,StateDistrict,state,73
075,06,06075-lower,75,lower,StateDistrict,state,75
019,06,06019-lower,19,lower,StateDistrict,state,19
010,06,06010-lower,10,lower,StateDistrict,state,10
014,06,06014-lower,14,lower,StateDistrict,state,14
017,06,06017-lower,17,lower,StateDistrict,state,17
022,06,06022-lower,22,lower,StateDistrict,state,22
025,06,06025-lower,25,lower,StateDistrict,state,25
030,06,06030-lower,30,lower,StateDistrict,state,30
035,06,06035-lower,35,lower,StateDistrict,state,35
041,06,06041-lower,41,lower,StateDistrict,state,41
046,06,06046-lower,46,lower,StateDistrict,state,46
048,06,06048-lower,48,lower,StateDistrict,state,48
055,06,06055-lower,55,lower,StateDistrict,state,55
056,06,06056-lower,56,lower,StateDistrict,state,56
064,06,06064-lower,64,lower,StateDistrict,state,64
066,06,06066-lower,66,lower,StateDistrict,state,66
007,06,06007-lower,7,lower,StateDistrict,state,7
079,06,06079-lower,79,lower,StateDistrict,state,79
