code,state_code,full_code,name,chamber,type,level,open_states_name
011,06,06011-upper,11,upper,StateDistrict,state,11
016,06,06016-upper,16,upper,StateDistrict,state,16
018,06,06018-upper,18,upper,StateDistrict,state,18
020,06,06020-upper,20,upper,StateDistrict,state,20
022,06,06022-upper,22,upper,StateDistrict,state,22
023,06,06023-upper,23,upper,StateDistrict,state,23
026,06,06026-upper,26,upper,StateDistrict,state,26
028,06,06028-upper,28,upper,StateDistrict,state,28
031,06,06031-upper,31,upper,StateDistrict,state,31
036,06,06036-upper,36,upper,StateDistrict,state,36
038,06,06038-upper,38,upper,StateDistrict,state,38
009,06,06009-upper,9,upper,StateDistrict,state,9
001,06,06001-upper,1,upper,StateDistrict,state,1
012,06,06012-upper,12,upper,StateDistrict,state,12
013,06,06013-upper,13,upper,StateDistrict,state,13
014,06,06014-upper,14,upper,StateDistrict,state,14
017,06,06017-upper,17,upper,StateDistrict,state,17
019,06,06019-upper,19,upper,StateDistrict,state,19
021,06,06021-upper,21,upper,StateDistrict,state,21
025,06,06025-upper,25,upper,StateDistrict,state,25
027,06,06027-upper,27,upper,StateDistrict,state,27
029,06,06029-upper,29,upper,StateDistrict,state,29
030,06,06030-upper,30,upper,StateDistrict,state,30
003,06,06003-upper,3,upper,StateDistrict,state,3
034,06,06034-upper,34,upper,StateDistrict,state,34
035,06,06035-upper,35,upper,StateDistrict,state,35
037,06,06037-upper,37,upper,StateDistrict,state,37
039,06,06039-upper,39,upper,StateDistrict,state,39
004,06,06004-upper,4,upper,StateDistrict,state,4
005,06,06005-upper,5,upper,StateDistrict,state,5
006,06,06006-upper,6,upper,StateDistrict,state,6
007,06,06007-upper,7,upper,StateDistrict,state,7
010,06,06010-upper,10,upper,StateDistrict,state,10
002,06,06002-upper,2,upper,StateDistrict,state,2
033,06,06033-upper,33,upper,StateDistrict,state,33
015,06,06015-upper,15,upper,StateDistrict,state,15
024,06,06024-upper,24,upper,StateDistrict,state,24
032,06,06032-upper,32,upper,StateDistrict,state,32
040,06,06040-upper,40,upper,StateDistrict,state,40
008,06,06008-upper,8,upper,StateDistrict,state,8
