code,state_code,full_code,name,chamber,type,level,open_states_name
024,08,08024-lower,24,lower,StateDistrict,state,24
025,08,08025-lower,25,lower,StateDistrict,state,25
026,08,08026-lower,26,lower,StateDistrict,state,26
033,08,08033-lower,33,lower,StateDistrict,state,33
039,08,08039-lower,39,lower,StateDistrict,state,39
045,08,08045-lower,45,lower,StateDistrict,state,45
047,08,08047-lower,47,lower,StateDistrict,state,47
054,08,08054-lower,54,lower,StateDistrict,state,54
055,08,08055-lower,55,lower,StateDistrict,state,55
056,08,08056-lower,56,lower,StateDistrict,state,56
058,08,08058-lower,58,lower,StateDistrict,state,58
060,08,08060-lower,60,lower,StateDistrict,state,60
061,08,08061-lower,61,lower,StateDistrict,state,61
062,08,08062-lower,62,lower,StateDistrict,state,62
063,08,08063-lower,63,lower,StateDistrict,state,63
064,08,08064-lower,64,lower,StateDistrict,state,64
020,08,08020-lower,20,lower,StateDistrict,state,20
013,08,08013-lower,13,lower,StateDistrict,state,13
019,08,08019-lower,19,lower,StateDistrict,state,19
001,08,08001-lower,1,lower,StateDistrict,state,1
014,08,08014-lower,14,lower,StateDistrict,state,14
015,08,08015-lower,15,lower,StateDistrict,state,15
016,08,08016-lower,16,lower,StateDistrict,state,16
017,08,08017-lower,17,lower,StateDistrict,state,17
002,08,08002-lower,2,lower,StateDistrict,state,2
022,08,08022-lower,22,lower,StateDistrict,state,22
023,08,08023-lower,23,lower,StateDistrict,state,23
027,08,08027-lower,27,lower,StateDistrict,state,27
029,08,08029-lower,29,lower,StateDistrict,state,29
031,08,08031-lower,31,lower,StateDistrict,state,31
003,08,08003-lower,3,lower,StateDistrict,state,3
032,08,08032-lower,32,lower,StateDistrict,state,32
035,08,08035-lower,35,lower,StateDistrict,state,35
036,08,08036-lower,36,lower,StateDistrict,state,36
037,08,08037-lower,37,lower,StateDistrict,state,37
038,08,08038-lower,38,lower,StateDistrict,state,38
041,08,08041-lower,41,lower,StateDistrict,state,41
004,08,08004-lower,4,lower,StateDistrict,state,4
042,08,08042-lower,42,lower,StateDistrict,state,42
043,08,08043-lower,43,lower,StateDistrict,state,43
046,08,08046-lower,46,lower,StateDistrict,state,46
049,08,08049-lower,49,lower,StateDistrict,state,49
050,08,08050-lower,50,lower,StateDistrict,state,50
051,08,08051-lower,51,lower,StateDistrict,state,51
005,08,08005-lower,5,lower,StateDistrict,state,5
053,08,08053-lower,53,lower,StateDistrict,state,53
057,08,08057-lower,57,lower,StateDistrict,state,57
006,08,08006-lower,6,lower,StateDistrict,state,6
008,08,08008-lower,8,lower,StateDistrict,state,8
009,08,08009-lower,9,lower,StateDistrict,state,9
011,08,08011-lower,11,lower,StateDistrict,state,11
010,08,08010-lower,10,lower,StateDistrict,state,10
012,08,08012-lower,12,lower,StateDistrict,state,12
018,08,08018-lower,18,lower,StateDistrict,state,18
021,08,08021-lower,21,lower,StateDistrict,state,21
028,08,08028-lower,28,lower,StateDistrict,state,28
030,08,08030-lower,30,lower,StateDistrict,state,30
034,08,08034-lower,34,lower,StateDistrict,state,34
040,08,08040-lower,40,lower,StateDistrict,state,40
044,08,08044-lower,44,lower,StateDistrict,state,44
048,08,08048-lower,48,lower,StateDistrict,state,48
052,08,08052-lower,52,lower,StateDistrict,state,52
059,08,08059-lower,59,lower,StateDistrict,state,59
065,08,08065-lower,65,lower,StateDistrict,state,65
007,08,08007-lower,7,lower,StateDistrict,state,7
