code,state_code,full_code,name,chamber,type,level,open_states_name
010,08,08010-upper,10,upper,StateDistrict,state,10
011,08,08011-upper,11,upper,StateDistrict,state,11
012,08,08012-upper,12,upper,StateDistrict,state,12
013,08,08013-upper,13,upper,StateDistrict,state,13
015,08,08015-upper,15,upper,StateDistrict,state,15
016,08,08016-upper,16,upper,StateDistrict,state,16
018,08,08018-upper,18,upper,StateDistrict,state,18
019,08,08019-upper,19,upper,StateDistrict,state,19
002,08,08002-upper,2,upper,StateDistrict,state,2
022,08,08022-upper,22,upper,StateDistrict,state,22
024,08,08024-upper,24,upper,StateDistrict,state,24
028,08,08028-upper,28,upper,StateDistrict,state,28
029,08,08029-upper,29,upper,StateDistrict,state,29
030,08,08030-upper,30,upper,StateDistrict,state,30
003,08,08003-upper,3,upper,StateDistrict,state,3
032,08,08032-upper,32,upper,StateDistrict,state,32
033,08,08033-upper,33,upper,StateDistrict,state,33
035,08,08035-upper,35,upper,StateDistrict,state,35
005,08,08005-upper,5,upper,StateDistrict,state,5
006,08,08006-upper,6,upper,StateDistrict,state,6
007,08,08007-upper,7,upper,StateDistrict,state,7
009,08,08009-upper,9,upper,StateDistrict,state,9
014,08,08014-upper,14,upper,StateDistrict,state,14
020,08,08020-upper,20,upper,StateDistrict,state,20
021,08,08021-upper,21,upper,StateDistrict,state,21
026,08,08026-upper,26,upper,StateDistrict,state,26
027,08,08027-upper,27,upper,StateDistrict,state,27
034,08,08034-upper,34,upper,StateDistrict,state,34
001,08,08001-upper,1,upper,StateDistrict,state,1
017,08,08017-upper,17,upper,StateDistrict,state,17
023,08,08023-upper,23,upper,StateDistrict,state,23
031,08,08031-upper,31,upper,StateDistrict,state,31
004,08,08004-upper,4,upper,StateDistrict,state,4
008,08,08008-upper,8,upper,StateDistrict,state,8
025,08,08025-upper,25,upper,StateDistrict,state,25
