code,state_code,full_code,name,chamber,type,level,open_states_name
001,09,09001-upper,1,upper,StateDistrict,state,1
004,09,09004-upper,4,upper,StateDistrict,state,4
005,09,09005-upper,5,upper,StateDistrict,state,5
006,09,09006-upper,6,upper,StateDistrict,state,6
012,09,09012-upper,12,upper,StateDistrict,state,12
013,09,09013-upper,13,upper,StateDistrict,state,13
014,09,09014-upper,14,upper,StateDistrict,state,14
020,09,09020-upper,20,upper,StateDistrict,state,20
033,09,09033-upper,33,upper,StateDistrict,state,33
034,09,09034-upper,34,upper,StateDistrict,state,34
035,09,09035-upper,35,upper,StateDistrict,state,35
002,09,09002-upper,2,upper,StateDistrict,state,2
007,09,09007-upper,7,upper,StateDistrict,state,7
009,09,09009-upper,9,upper,StateDistrict,state,9
010,09,09010-upper,10,upper,StateDistrict,state,10
015,09,09015-upper,15,upper,StateDistrict,state,15
016,09,09016-upper,16,upper,StateDistrict,state,16
017,09,09017-upper,17,upper,StateDistrict,state,17
019,09,09019-upper,19,upper,StateDistrict,state,19
021,09,09021-upper,21,upper,StateDistrict,state,21
022,09,09022-upper,22,upper,StateDistrict,state,22
023,09,09023-upper,23,upper,StateDistrict,state,23
024,09,09024-upper,24,upper,StateDistrict,state,24
026,09,09026-upper,26,upper,StateDistrict,state,26
028,09,09028-upper,28,upper,StateDistrict,state,28
029,09,09029-upper,29,upper,StateDistrict,state,29
030,09,09030-upper,30,upper,StateDistrict,state,30
032,09,09032-upper,32,upper,StateDistrict,state,32
036,09,09036-upper,36,upper,StateDistrict,state,36
008,09,09008-upper,8,upper,StateDistrict,state,8
027,09,09027-upper,27,upper,StateDistrict,state,27
003,09,09003-upper,3,upper,StateDistrict,state,3
011,09,09011-upper,11,upper,StateDistrict,state,11
018,09,09018-upper,18,upper,StateDistrict,state,18
025,09,09025-upper,25,upper,StateDistrict,state,25
031,09,09031-upper,31,upper,StateDistrict,state,31
