code,state_code,full_code,name,chamber,type,level,open_states_name
003,10,10003-lower,3,lower,StateDistrict,state,3
036,10,10036-lower,36,lower,StateDistrict,state,36
001,10,10001-lower,1,lower,StateDistrict,state,1
026,10,10026-lower,26,lower,StateDistrict,state,26
013,10,10013-lower,13,lower,StateDistrict,state,13
014,10,10014-lower,14,lower,StateDistrict,state,14
015,10,10015-lower,15,lower,StateDistrict,state,15
016,10,10016-lower,16,lower,StateDistrict,state,16
018,10,10018-lower,18,lower,StateDistrict,state,18
019,10,10019-lower,19,lower,StateDistrict,state,19
020,10,10020-lower,20,lower,StateDistrict,state,20
021,10,10021-lower,21,lower,StateDistrict,state,21
022,10,10022-lower,22,lower,StateDistrict,state,22
023,10,10023-lower,23,lower,StateDistrict,state,23
025,10,10025-lower,25,lower,StateDistrict,state,25
027,10,10027-lower,27,lower,StateDistrict,state,27
029,10,10029-lower,29,lower,StateDistrict,state,29
030,10,10030-lower,30,lower,StateDistrict,state,30
031,10,10031-lower,31,lower,StateDistrict,state,31
032,10,10032-lower,32,lower,StateDistrict,state,32
033,10,10033-lower,33,lower,StateDistrict,state,33
035,10,10035-lower,35,lower,StateDistrict,state,35
037,10,10037-lower,37,lower,StateDistrict,state,37
038,10,10038-lower,38,lower,StateDistrict,state,38
039,10,10039-lower,39,lower,StateDistrict,state,39
041,10,10041-lower,41,lower,StateDistrict,state,41
004,10,10004-lower,4,lower,StateDistrict,state,4
005,10,10005-lower,5,lower,StateDistrict,state,5
006,10,10006-lower,6,lower,StateDistrict,state,6
008,10,10008-lower,8,lower,StateDistrict,state,8
009,10,10009-lower,9,lower,StateDistrict,state,9
011,10,10011-lower,11,lower,StateDistrict,state,11
010,10,10010-lower,10,lower,StateDistrict,state,10
012,10,10012-lower,12,lower,StateDistrict,state,12
017,10,10017-lower,17,lower,StateDistrict,state,17
002,10,10002-lower,2,lower,StateDistrict,state,2
024,10,10024-lower,24,lower,StateDistrict,state,24
028,10,10028-lower,28,lower,StateDistrict,state,28
034,10,10034-lower,34,lower,StateDistrict,state,34
040,10,10040-lower,40,lower,StateDistrict,state,40
007,10,10007-lower,7,lower,StateDistrict,state,7
