code,state_code,full_code,name,chamber,type,level,open_states_name
010,10,10010-upper,10,upper,StateDistrict,state,10
001,10,10001-upper,1,upper,StateDistrict,state,1
013,10,10013-upper,13,upper,StateDistrict,state,13
014,10,10014-upper,14,upper,StateDistrict,state,14
015,10,10015-upper,15,upper,StateDistrict,state,15
017,10,10017-upper,17,upper,StateDistrict,state,17
018,10,10018-upper,18,upper,StateDistrict,state,18
019,10,10019-upper,19,upper,StateDistrict,state,19
020,10,10020-upper,20,upper,StateDistrict,state,20
002,10,10002-upper,2,upper,StateDistrict,state,2
003,10,10003-upper,3,upper,StateDistrict,state,3
005,10,10005-upper,5,upper,StateDistrict,state,5
006,10,10006-upper,6,upper,StateDistrict,state,6
008,10,10008-upper,8,upper,StateDistrict,state,8
009,10,10009-upper,9,upper,StateDistrict,state,9
012,10,10012-upper,12,upper,StateDistrict,state,12
004,10,10004-upper,4,upper,StateDistrict,state,4
011,10,10011-upper,11,upper,StateDistrict,state,11
016,10,10016-upper,16,upper,StateDistrict,state,16
021,10,10021-upper,21,upper,StateDistrict,state,21
007,10,10007-upper,7,upper,StateDistrict,state,7
