code,state_code,full_code,name,chamber,type,level,open_states_name
107,12,12107-lower,107,lower,StateDistrict,state,107
120,12,12120-lower,120,lower,StateDistrict,state,120
023,12,12023-lower,23,lower,StateDistrict,state,23
014,12,12014-lower,14,lower,StateDistrict,state,14
024,12,12024-lower,24,lower,StateDistrict,state,24
025,12,12025-lower,25,lower,StateDistrict,state,25
026,12,12026-lower,26,lower,StateDistrict,state,26
028,12,12028-lower,28,lower,StateDistrict,state,28
031,12,12031-lower,31,lower,StateDistrict,state,31
003,12,12003-lower,3,lower,StateDistrict,state,3
033,12,12033-lower,33,lower,StateDistrict,state,33
035,12,12035-lower,35,lower,StateDistrict,state,35
039,12,12039-lower,39,lower,StateDistrict,state,39
042,12,12042-lower,42,lower,StateDistrict,state,42
070,12,12070-lower,70,lower,StateDistrict,state,70
009,12,12009-lower,9,lower,StateDistrict,state,9
005,12,12005-lower,5,lower,StateDistrict,state,5
071,12,12071-lower,71,lower,StateDistrict,state,71
008,12,12008-lower,8,lower,StateDistrict,state,8
020,12,12020-lower,20,lower,StateDistrict,state,20
103,12,12103-lower,103,lower,StateDistrict,state,103
104,12,12104-lower,104,lower,StateDistrict,state,104
105,12,12105-lower,105,lower,StateDistrict,state,105
106,12,12106-lower,106,lower,StateDistrict,state,106
109,12,12109-lower,109,lower,StateDistrict,state,109
110,12,12110-lower,110,lower,StateDistrict,state,110
111,12,12111-lower,111,lower,StateDistrict,state,111
112,12,12112-lower,112,lower,StateDistrict,state,112
114,12,12114-lower,114,lower,StateDistrict,state,114
115,12,12115-lower,115,lower,StateDistrict,state,115
116,12,12116-lower,116,lower,StateDistrict,state,116
117,12,12117-lower,117,lower,StateDistrict,state,117
119,12,12119-lower,119,lower,StateDistrict,state,119
001,12,12001-lower,1,lower,StateDistrict,state,1
016,12,12016-lower,16,lower,StateDistrict,state,16
017,12,12017-lower,17,lower,StateDistrict,state,17
018,12,12018-lower,18,lower,StateDistrict,state,18
019,12,12019-lower,19,lower,StateDistrict,state,19
002,12,12002-lower,2,lower,StateDistrict,state,2
029,12,12029-lower,29,lower,StateDistrict,state,29
032,12,12032-lower,32,lower,StateDistrict,state,32
037,12,12037-lower,37,lower,StateDistrict,state,37
038,12,12038-lower,38,lower,StateDistrict,state,38
041,12,12041-lower,41,lower,StateDistrict,state,41
043,12,12043-lower,43,lower,StateDistrict,state,43
072,12,12072-lower,72,lower,StateDistrict,state,72
004,12,12004-lower,4,lower,StateDistrict,state,4
102,12,12102-lower,102,lower,StateDistrict,state,102
044,12,12044-lower,44,lower,StateDistrict,state,44
046,12,12046-lower,46,lower,StateDistrict,state,46
047,12,12047-lower,47,lower,StateDistrict,state,47
048,12,12048-lower,48,lower,StateDistrict,state,48
049,12,12049-lower,49,lower,StateDistrict,state,49
051,12,12051-lower,51,lower,StateDistrict,state,51
052,12,12052-lower,52,lower,StateDistrict,state,52
053,12,12053-lower,53,lower,StateDistrict,state,53
054,12,12054-lower,54,lower,StateDistrict,state,54
055,12,12055-lower,55,lower,StateDistrict,state,55
057,12,12057-lower,57,lower,StateDistrict,state,57
058,12,12058-lower,58,lower,StateDistrict,state,58
059,12,12059-lower,59,lower,StateDistrict,state,59
061,12,12061-lower,61,lower,StateDistrict,state,61
063,12,12063-lower,63,lower,StateDistrict,state,63
064,12,12064-lower,64,lower,StateDistrict,state,64
065,12,12065-lower,65,lower,StateDistrict,state,65
066,12,12066-lower,66,lower,StateDistrict,state,66
069,12,12069-lower,69,lower,StateDistrict,state,69
007,12,12007-lower,7,lower,StateDistrict,state,7
012,12,12012-lower,12,lower,StateDistrict,state,12
073,12,12073-lower,73,lower,StateDistrict,state,73
075,12,12075-lower,75,lower,StateDistrict,state,75
076,12,12076-lower,76,lower,StateDistrict,state,76
077,12,12077-lower,77,lower,StateDistrict,state,77
078,12,12078-lower,78,lower,StateDistrict,state,78
079,12,12079-lower,79,lower,StateDistrict,state,79
081,12,12081-lower,81,lower,StateDistrict,state,81
082,12,12082-lower,82,lower,StateDistrict,state,82
083,12,12083-lower,83,lower,StateDistrict,state,83
085,12,12085-lower,85,lower,StateDistrict,state,85
087,12,12087-lower,87,lower,StateDistrict,state,87
088,12,12088-lower,88,lower,StateDistrict,state,88
089,12,12089-lower,89,lower,StateDistrict,state,89
090,12,12090-lower,90,lower,StateDistrict,state,90
091,12,12091-lower,91,lower,StateDistrict,state,91
093,12,12093-lower,93,lower,StateDistrict,state,93
094,12,12094-lower,94,lower,StateDistrict,state,94
095,12,12095-lower,95,lower,StateDistrict,state,95
096,12,12096-lower,96,lower,StateDistrict,state,96
098,12,12098-lower,98,lower,StateDistrict,state,98
099,12,12099-lower,99,lower,StateDistrict,state,99
013,12,12013-lower,13,lower,StateDistrict,state,13
067,12,12067-lower,67,lower,StateDistrict,state,67
084,12,12084-lower,84,lower,StateDistrict,state,84
006,12,12006-lower,6,lower,StateDistrict,state,6
100,12,12100-lower,100,lower,StateDistrict,state,100
101,12,12101-lower,101,lower,StateDistrict,state,101
010,12,12010-lower,10,lower,StateDistrict,state,10
108,12,12108-lower,108,lower,StateDistrict,state,108
113,12,12113-lower,113,lower,StateDistrict,state,113
118,12,12118-lower,118,lower,StateDistrict,state,118
015,12,12015-lower,15,lower,StateDistrict,state,15
021,12,12021-lower,21,lower,StateDistrict,state,21
022,12,12022-lower,22,lower,StateDistrict,state,22
027,12,12027-lower,27,lower,StateDistrict,state,27
030,12,12030-lower,30,lower,StateDistrict,state,30
034,12,12034-lower,34,lower,StateDistrict,state,34
036,12,12036-lower,36,lower,StateDistrict,state,36
040,12,12040-lower,40,lower,StateDistrict,state,40
045,12,12045-lower,45,lower,StateDistrict,state,45
050,12,12050-lower,50,lower,StateDistrict,state,50
056,12,12056-lower,56,lower,StateDistrict,state,56
060,12,12060-lower,60,lower,StateDistrict,state,60
