code,state_code,full_code,name,chamber,type,level,open_states_name
010,12,12010-upper,10,upper,StateDistrict,state,10
011,12,12011-upper,11,upper,StateDistrict,state,11
002,12,12002-upper,2,upper,StateDistrict,state,2
023,12,12023-upper,23,upper,StateDistrict,state,23
028,12,12028-upper,28,upper,StateDistrict,state,28
031,12,12031-upper,31,upper,StateDistrict,state,31
037,12,12037-upper,37,upper,StateDistrict,state,37
004,12,12004-upper,4,upper,StateDistrict,state,4
007,12,12007-upper,7,upper,StateDistrict,state,7
001,12,12001-upper,1,upper,StateDistrict,state,1
012,12,12012-upper,12,upper,StateDistrict,state,12
014,12,12014-upper,14,upper,StateDistrict,state,14
016,12,12016-upper,16,upper,StateDistrict,state,16
017,12,12017-upper,17,upper,StateDistrict,state,17
018,12,12018-upper,18,upper,StateDistrict,state,18
020,12,12020-upper,20,upper,StateDistrict,state,20
021,12,12021-upper,21,upper,StateDistrict,state,21
022,12,12022-upper,22,upper,StateDistrict,state,22
024,12,12024-upper,24,upper,StateDistrict,state,24
026,12,12026-upper,26,upper,StateDistrict,state,26
027,12,12027-upper,27,upper,StateDistrict,state,27
029,12,12029-upper,29,upper,StateDistrict,state,29
030,12,12030-upper,30,upper,StateDistrict,state,30
032,12,12032-upper,32,upper,StateDistrict,state,32
033,12,12033-upper,33,upper,StateDistrict,state,33
035,12,12035-upper,35,upper,StateDistrict,state,35
036,12,12036-upper,36,upper,StateDistrict,state,36
039,12,12039-upper,39,upper,StateDistrict,state,39
040,12,12040-upper,40,upper,StateDistrict,state,40
005,12,12005-upper,5,upper,StateDistrict,state,5
006,12,12006-upper,6,upper,StateDistrict,state,6
009,12,12009-upper,9,upper,StateDistrict,state,9
015,12,12015-upper,15,upper,StateDistrict,state,15
034,12,12034-upper,34,upper,StateDistrict,state,34
013,12,12013-upper,13,upper,StateDistrict,state,13
019,12,12019-upper,19,upper,StateDistrict,state,19
025,12,12025-upper,25,upper,StateDistrict,state,25
003,12,12003-upper,3,upper,StateDistrict,state,3
038,12,12038-upper,38,upper,StateDistrict,state,38
008,12,12008-upper,8,upper,StateDistrict,state,8
