code,state_code,full_code,name,chamber,type,level,open_states_name
114,13,13114-lower,114,lower,StateDistrict,state,114
119,13,13119-lower,119,lower,StateDistrict,state,119
120,13,13120-lower,120,lower,StateDistrict,state,120
121,13,13121-lower,121,lower,StateDistrict,state,121
125,13,13125-lower,125,lower,StateDistrict,state,125
128,13,13128-lower,128,lower,StateDistrict,state,128
129,13,13129-lower,129,lower,StateDistrict,state,129
131,13,13131-lower,131,lower,StateDistrict,state,131
133,13,13133-lower,133,lower,StateDistrict,state,133
140,13,13140-lower,140,lower,StateDistrict,state,140
014,13,13014-lower,14,lower,StateDistrict,state,14
005,13,13005-lower,5,lower,StateDistrict,state,5
148,13,13148-lower,148,lower,StateDistrict,state,148
152,13,13152-lower,152,lower,StateDistrict,state,152
154,13,13154-lower,154,lower,StateDistrict,state,154
156,13,13156-lower,156,lower,StateDistrict,state,156
157,13,13157-lower,157,lower,StateDistrict,state,157
159,13,13159-lower,159,lower,StateDistrict,state,159
162,13,13162-lower,162,lower,StateDistrict,state,162
164,13,13164-lower,164,lower,StateDistrict,state,164
167,13,13167-lower,167,lower,StateDistrict,state,167
168,13,13168-lower,168,lower,StateDistrict,state,168
170,13,13170-lower,170,lower,StateDistrict,state,170
171,13,13171-lower,171,lower,StateDistrict,state,171
174,13,13174-lower,174,lower,StateDistrict,state,174
176,13,13176-lower,176,lower,StateDistrict,state,176
179,13,13179-lower,179,lower,StateDistrict,state,179
023,13,13023-lower,23,lower,StateDistrict,state,23
069,13,13069-lower,69,lower,StateDistrict,state,69
072,13,13072-lower,72,lower,StateDistrict,state,72
007,13,13007-lower,7,lower,StateDistrict,state,7
073,13,13073-lower,73,lower,StateDistrict,state,73
009,13,13009-lower,9,lower,StateDistrict,state,9
032,13,13032-lower,32,lower,StateDistrict,state,32
111,13,13111-lower,111,lower,StateDistrict,state,111
144,13,13144-lower,144,lower,StateDistrict,state,144
106,13,13106-lower,106,lower,StateDistrict,state,106
107,13,13107-lower,107,lower,StateDistrict,state,107
108,13,13108-lower,108,lower,StateDistrict,state,108
109,13,13109-lower,109,lower,StateDistrict,state,109
112,13,13112-lower,112,lower,StateDistrict,state,112
115,13,13115-lower,115,lower,StateDistrict,state,115
116,13,13116-lower,116,lower,StateDistrict,state,116
117,13,13117-lower,117,lower,StateDistrict,state,117
126,13,13126-lower,126,lower,StateDistrict,state,126
127,13,13127-lower,127,lower,StateDistrict,state,127
130,13,13130-lower,130,lower,StateDistrict,state,130
013,13,13013-lower,13,lower,StateDistrict,state,13
173,13,13173-lower,173,lower,StateDistrict,state,173
135,13,13135-lower,135,lower,StateDistrict,state,135
138,13,13138-lower,138,lower,StateDistrict,state,138
139,13,13139-lower,139,lower,StateDistrict,state,139
141,13,13141-lower,141,lower,StateDistrict,state,141
146,13,13146-lower,146,lower,StateDistrict,state,146
147,13,13147-lower,147,lower,StateDistrict,state,147
149,13,13149-lower,149,lower,StateDistrict,state,149
150,13,13150-lower,150,lower,StateDistrict,state,150
158,13,13158-lower,158,lower,StateDistrict,state,158
160,13,13160-lower,160,lower,StateDistrict,state,160
016,13,13016-lower,16,lower,StateDistrict,state,16
021,13,13021-lower,21,lower,StateDistrict,state,21
017,13,13017-lower,17,lower,StateDistrict,state,17
002,13,13002-lower,2,lower,StateDistrict,state,2
175,13,13175-lower,175,lower,StateDistrict,state,175
180,13,13180-lower,180,lower,StateDistrict,state,180
018,13,13018-lower,18,lower,StateDistrict,state,18
022,13,13022-lower,22,lower,StateDistrict,state,22
024,13,13024-lower,24,lower,StateDistrict,state,24
026,13,13026-lower,26,lower,StateDistrict,state,26
027,13,13027-lower,27,lower,StateDistrict,state,27
028,13,13028-lower,28,lower,StateDistrict,state,28
029,13,13029-lower,29,lower,StateDistrict,state,29
031,13,13031-lower,31,lower,StateDistrict,state,31
003,13,13003-lower,3,lower,StateDistrict,state,3
033,13,13033-lower,33,lower,StateDistrict,state,33
036,13,13036-lower,36,lower,StateDistrict,state,36
038,13,13038-lower,38,lower,StateDistrict,state,38
039,13,13039-lower,39,lower,StateDistrict,state,39
041,13,13041-lower,41,lower,StateDistrict,state,41
004,13,13004-lower,4,lower,StateDistrict,state,4
050,13,13050-lower,50,lower,StateDistrict,state,50
052,13,13052-lower,52,lower,StateDistrict,state,52
054,13,13054-lower,54,lower,StateDistrict,state,54
056,13,13056-lower,56,lower,StateDistrict,state,56
060,13,13060-lower,60,lower,StateDistrict,state,60
062,13,13062-lower,62,lower,StateDistrict,state,62
104,13,13104-lower,104,lower,StateDistrict,state,104
006,13,13006-lower,6,lower,StateDistrict,state,6
134,13,13134-lower,134,lower,StateDistrict,state,134
063,13,13063-lower,63,lower,StateDistrict,state,63
067,13,13067-lower,67,lower,StateDistrict,state,67
070,13,13070-lower,70,lower,StateDistrict,state,70
071,13,13071-lower,71,lower,StateDistrict,state,71
075,13,13075-lower,75,lower,StateDistrict,state,75
076,13,13076-lower,76,lower,StateDistrict,state,76
079,13,13079-lower,79,lower,StateDistrict,state,79
081,13,13081-lower,81,lower,StateDistrict,state,81
082,13,13082-lower,82,lower,StateDistrict,state,82
084,13,13084-lower,84,lower,StateDistrict,state,84
085,13,13085-lower,85,lower,StateDistrict,state,85
090,13,13090-lower,90,lower,StateDistrict,state,90
091,13,13091-lower,91,lower,StateDistrict,state,91
092,13,13092-lower,92,lower,StateDistrict,state,92
093,13,13093-lower,93,lower,StateDistrict,state,93
096,13,13096-lower,96,lower,StateDistrict,state,96
098,13,13098-lower,98,lower,StateDistrict,state,98
165,13,13165-lower,165,lower,StateDistrict,state,165
113,13,13113-lower,113,lower,StateDistrict,state,113
118,13,13118-lower,118,lower,StateDistrict,state,118
001,13,13001-lower,1,lower,StateDistrict,state,1
123,13,13123-lower,123,lower,StateDistrict,state,123
136,13,13136-lower,136,lower,StateDistrict,state,136
142,13,13142-lower,142,lower,StateDistrict,state,142
143,13,13143-lower,143,lower,StateDistrict,state,143
015,13,13015-lower,15,lower,StateDistrict,state,15
153,13,13153-lower,153,lower,StateDistrict,state,153
166,13,13166-lower,166,lower,StateDistrict,state,166
177,13,13177-lower,177,lower,StateDistrict,state,177
019,13,13019-lower,19,lower,StateDistrict,state,19
034,13,13034-lower,34,lower,StateDistrict,state,34
042,13,13042-lower,42,lower,StateDistrict,state,42
046,13,13046-lower,46,lower,StateDistrict,state,46
047,13,13047-lower,47,lower,StateDistrict,state,47
049,13,13049-lower,49,lower,StateDistrict,state,49
051,13,13051-lower,51,lower,StateDistrict,state,51
053,13,13053-lower,53,lower,StateDistrict,state,53
057,13,13057-lower,57,lower,StateDistrict,state,57
058,13,13058-lower,58,lower,StateDistrict,state,58
059,13,13059-lower,59,lower,StateDistrict,state,59
065,13,13065-lower,65,lower,StateDistrict,state,65
074,13,13074-lower,74,lower,StateDistrict,state,74
078,13,13078-lower,78,lower,StateDistrict,state,78
080,13,13080-lower,80,lower,StateDistrict,state,80
083,13,13083-lower,83,lower,StateDistrict,state,83
086,13,13086-lower,86,lower,StateDistrict,state,86
089,13,13089-lower,89,lower,StateDistrict,state,89
095,13,13095-lower,95,lower,StateDistrict,state,95
097,13,13097-lower,97,lower,StateDistrict,state,97
099,13,13099-lower,99,lower,StateDistrict,state,99
043,13,13043-lower,43,lower,StateDistrict,state,43
103,13,13103-lower,103,lower,StateDistrict,state,103
100,13,13100-lower,100,lower,StateDistrict,state,100
101,13,13101-lower,101,lower,StateDistrict,state,101
102,13,13102-lower,102,lower,StateDistrict,state,102
105,13,13105-lower,105,lower,StateDistrict,state,105
110,13,13110-lower,110,lower,StateDistrict,state,110
011,13,13011-lower,11,lower,StateDistrict,state,11
012,13,13012-lower,12,lower,StateDistrict,state,12
122,13,13122-lower,122,lower,StateDistrict,state,122
124,13,13124-lower,124,lower,StateDistrict,state,124
132,13,13132-lower,132,lower,StateDistrict,state,132
137,13,13137-lower,137,lower,StateDistrict,state,137
145,13,13145-lower,145,lower,StateDistrict,state,145
151,13,13151-lower,151,lower,StateDistrict,state,151
155,13,13155-lower,155,lower,StateDistrict,state,155
161,13,13161-lower,161,lower,StateDistrict,state,161
163,13,13163-lower,163,lower,StateDistrict,state,163
169,13,13169-lower,169,lower,StateDistrict,state,169
172,13,13172-lower,172,lower,StateDistrict,state,172
178,13,13178-lower,178,lower,StateDistrict,state,178
020,13,13020-lower,20,lower,StateDistrict,state,20
025,13,13025-lower,25,lower,StateDistrict,state,25
030,13,13030-lower,30,lower,StateDistrict,state,30
045,13,13045-lower,45,lower,StateDistrict,state,45
035,13,13035-lower,35,lower,StateDistrict,state,35
037,13,13037-lower,37,lower,StateDistrict,state,37
044,13,13044-lower,44,lower,StateDistrict,state,44
048,13,13048-lower,48,lower,StateDistrict,state,48
055,13,13055-lower,55,lower,StateDistrict,state,55
061,13,13061-lower,61,lower,StateDistrict,state,61
064,13,13064-lower,64,lower,StateDistrict,state,64
066,13,13066-lower,66,lower,StateDistrict,state,66
068,13,13068-lower,68,lower,StateDistrict,state,68
077,13,13077-lower,77,lower,StateDistrict,state,77
008,13,13008-lower,8,lower,StateDistrict,state,8
087,13,13087-lower,87,lower,StateDistrict,state,87
088,13,13088-lower,88,lower,StateDistrict,state,88
094,13,13094-lower,94,lower,StateDistrict,state,94
010,13,13010-lower,10,lower,StateDistrict,state,10
040,13,13040-lower,40,lower,StateDistrict,state,40
