code,state_code,full_code,name,chamber,type,level,open_states_name
001,13,13001-upper,1,upper,StateDistrict,state,1
014,13,13014-upper,14,upper,StateDistrict,state,14
046,13,13046-upper,46,upper,StateDistrict,state,46
047,13,13047-upper,47,upper,StateDistrict,state,47
011,13,13011-upper,11,upper,StateDistrict,state,11
013,13,13013-upper,13,upper,StateDistrict,state,13
016,13,13016-upper,16,upper,StateDistrict,state,16
020,13,13020-upper,20,upper,StateDistrict,state,20
002,13,13002-upper,2,upper,StateDistrict,state,2
003,13,13003-upper,3,upper,StateDistrict,state,3
035,13,13035-upper,35,upper,StateDistrict,state,35
038,13,13038-upper,38,upper,StateDistrict,state,38
049,13,13049-upper,49,upper,StateDistrict,state,49
051,13,13051-upper,51,upper,StateDistrict,state,51
005,13,13005-upper,5,upper,StateDistrict,state,5
054,13,13054-upper,54,upper,StateDistrict,state,54
009,13,13009-upper,9,upper,StateDistrict,state,9
015,13,13015-upper,15,upper,StateDistrict,state,15
017,13,13017-upper,17,upper,StateDistrict,state,17
018,13,13018-upper,18,upper,StateDistrict,state,18
019,13,13019-upper,19,upper,StateDistrict,state,19
022,13,13022-upper,22,upper,StateDistrict,state,22
023,13,13023-upper,23,upper,StateDistrict,state,23
024,13,13024-upper,24,upper,StateDistrict,state,24
028,13,13028-upper,28,upper,StateDistrict,state,28
029,13,13029-upper,29,upper,StateDistrict,state,29
030,13,13030-upper,30,upper,StateDistrict,state,30
032,13,13032-upper,32,upper,StateDistrict,state,32
034,13,13034-upper,34,upper,StateDistrict,state,34
039,13,13039-upper,39,upper,StateDistrict,state,39
041,13,13041-upper,41,upper,StateDistrict,state,41
004,13,13004-upper,4,upper,StateDistrict,state,4
043,13,13043-upper,43,upper,StateDistrict,state,43
052,13,13052-upper,52,upper,StateDistrict,state,52
053,13,13053-upper,53,upper,StateDistrict,state,53
056,13,13056-upper,56,upper,StateDistrict,state,56
008,13,13008-upper,8,upper,StateDistrict,state,8
040,13,13040-upper,40,upper,StateDistrict,state,40
055,13,13055-upper,55,upper,StateDistrict,state,55
007,13,13007-upper,7,upper,StateDistrict,state,7
027,13,13027-upper,27,upper,StateDistrict,state,27
031,13,13031-upper,31,upper,StateDistrict,state,31
036,13,13036-upper,36,upper,StateDistrict,state,36
037,13,13037-upper,37,upper,StateDistrict,state,37
044,13,13044-upper,44,upper,StateDistrict,state,44
045,13,13045-upper,45,upper,StateDistrict,state,45
010,13,13010-upper,10,upper,StateDistrict,state,10
012,13,13012-upper,12,upper,StateDistrict,state,12
025,13,13025-upper,25,upper,StateDistrict,state,25
048,13,13048-upper,48,upper,StateDistrict,state,48
021,13,13021-upper,21,upper,StateDistrict,state,21
026,13,13026-upper,26,upper,StateDistrict,state,26
033,13,13033-upper,33,upper,StateDistrict,state,33
042,13,13042-upper,42,upper,StateDistrict,state,42
050,13,13050-upper,50,upper,StateDistrict,state,50
006,13,13006-upper,6,upper,StateDistrict,state,6
