code,state_code,full_code,name,chamber,type,level,open_states_name
011,15,15011-lower,11,lower,StateDistrict,state,11
001,15,15001-lower,1,lower,StateDistrict,state,1
013,15,15013-lower,13,lower,StateDistrict,state,13
014,15,15014-lower,14,lower,StateDistrict,state,14
015,15,15015-lower,15,lower,StateDistrict,state,15
016,15,15016-lower,16,lower,StateDistrict,state,16
018,15,15018-lower,18,lower,StateDistrict,state,18
019,15,15019-lower,19,lower,StateDistrict,state,19
020,15,15020-lower,20,lower,StateDistrict,state,20
021,15,15021-lower,21,lower,StateDistrict,state,21
022,15,15022-lower,22,lower,StateDistrict,state,22
023,15,15023-lower,23,lower,StateDistrict,state,23
024,15,15024-lower,24,lower,StateDistrict,state,24
025,15,15025-lower,25,lower,StateDistrict,state,25
027,15,15027-lower,27,lower,StateDistrict,state,27
028,15,15028-lower,28,lower,StateDistrict,state,28
029,15,15029-lower,29,lower,StateDistrict,state,29
030,15,15030-lower,30,lower,StateDistrict,state,30
031,15,15031-lower,31,lower,StateDistrict,state,31
032,15,15032-lower,32,lower,StateDistrict,state,32
033,15,15033-lower,33,lower,StateDistrict,state,33
034,15,15034-lower,34,lower,StateDistrict,state,34
035,15,15035-lower,35,lower,StateDistrict,state,35
037,15,15037-lower,37,lower,StateDistrict,state,37
038,15,15038-lower,38,lower,StateDistrict,state,38
039,15,15039-lower,39,lower,StateDistrict,state,39
040,15,15040-lower,40,lower,StateDistrict,state,40
004,15,15004-lower,4,lower,StateDistrict,state,4
042,15,15042-lower,42,lower,StateDistrict,state,42
043,15,15043-lower,43,lower,StateDistrict,state,43
044,15,15044-lower,44,lower,StateDistrict,state,44
046,15,15046-lower,46,lower,StateDistrict,state,46
047,15,15047-lower,47,lower,StateDistrict,state,47
048,15,15048-lower,48,lower,StateDistrict,state,48
049,15,15049-lower,49,lower,StateDistrict,state,49
050,15,15050-lower,50,lower,StateDistrict,state,50
005,15,15005-lower,5,lower,StateDistrict,state,5
006,15,15006-lower,6,lower,StateDistrict,state,6
007,15,15007-lower,7,lower,StateDistrict,state,7
009,15,15009-lower,9,lower,StateDistrict,state,9
010,15,15010-lower,10,lower,StateDistrict,state,10
012,15,15012-lower,12,lower,StateDistrict,state,12
017,15,15017-lower,17,lower,StateDistrict,state,17
002,15,15002-lower,2,lower,StateDistrict,state,2
026,15,15026-lower,26,lower,StateDistrict,state,26
003,15,15003-lower,3,lower,StateDistrict,state,3
036,15,15036-lower,36,lower,StateDistrict,state,36
041,15,15041-lower,41,lower,StateDistrict,state,41
045,15,15045-lower,45,lower,StateDistrict,state,45
051,15,15051-lower,51,lower,StateDistrict,state,51
008,15,15008-lower,8,lower,StateDistrict,state,8
