code,state_code,full_code,name,chamber,type,level,open_states_name
010,15,15010-upper,10,upper,StateDistrict,state,10
011,15,15011-upper,11,upper,StateDistrict,state,11
012,15,15012-upper,12,upper,StateDistrict,state,12
013,15,15013-upper,13,upper,StateDistrict,state,13
014,15,15014-upper,14,upper,StateDistrict,state,14
015,15,15015-upper,15,upper,StateDistrict,state,15
017,15,15017-upper,17,upper,StateDistrict,state,17
018,15,15018-upper,18,upper,StateDistrict,state,18
019,15,15019-upper,19,upper,StateDistrict,state,19
020,15,15020-upper,20,upper,StateDistrict,state,20
021,15,15021-upper,21,upper,StateDistrict,state,21
022,15,15022-upper,22,upper,StateDistrict,state,22
023,15,15023-upper,23,upper,StateDistrict,state,23
024,15,15024-upper,24,upper,StateDistrict,state,24
025,15,15025-upper,25,upper,StateDistrict,state,25
004,15,15004-upper,4,upper,StateDistrict,state,4
005,15,15005-upper,5,upper,StateDistrict,state,5
006,15,15006-upper,6,upper,StateDistrict,state,6
008,15,15008-upper,8,upper,StateDistrict,state,8
009,15,15009-upper,9,upper,StateDistrict,state,9
001,15,15001-upper,1,upper,StateDistrict,state,1
016,15,15016-upper,16,upper,StateDistrict,state,16
002,15,15002-upper,2,upper,StateDistrict,state,2
003,15,15003-upper,3,upper,StateDistrict,state,3
007,15,15007-upper,7,upper,StateDistrict,state,7
