code,state_code,full_code,name,chamber,type,level,open_states_name
001,16,16001-lower,1,lower,StateDistrict,state,1
013,16,16013-lower,13,lower,StateDistrict,state,13
014,16,16014-lower,14,lower,StateDistrict,state,14
015,16,16015-lower,15,lower,StateDistrict,state,15
016,16,16016-lower,16,lower,StateDistrict,state,16
018,16,16018-lower,18,lower,StateDistrict,state,18
019,16,16019-lower,19,lower,StateDistrict,state,19
020,16,16020-lower,20,lower,StateDistrict,state,20
021,16,16021-lower,21,lower,StateDistrict,state,21
022,16,16022-lower,22,lower,StateDistrict,state,22
023,16,16023-lower,23,lower,StateDistrict,state,23
024,16,16024-lower,24,lower,StateDistrict,state,24
026,16,16026-lower,26,lower,StateDistrict,state,26
028,16,16028-lower,28,lower,StateDistrict,state,28
029,16,16029-lower,29,lower,StateDistrict,state,29
030,16,16030-lower,30,lower,StateDistrict,state,30
031,16,16031-lower,31,lower,StateDistrict,state,31
032,16,16032-lower,32,lower,StateDistrict,state,32
033,16,16033-lower,33,lower,StateDistrict,state,33
034,16,16034-lower,34,lower,StateDistrict,state,34
035,16,16035-lower,35,lower,StateDistrict,state,35
005,16,16005-lower,5,lower,StateDistrict,state,5
006,16,16006-lower,6,lower,StateDistrict,state,6
007,16,16007-lower,7,lower,StateDistrict,state,7
009,16,16009-lower,9,lower,StateDistrict,state,9
011,16,16011-lower,11,lower,StateDistrict,state,11
027,16,16027-lower,27,lower,StateDistrict,state,27
010,16,16010-lower,10,lower,StateDistrict,state,10
012,16,16012-lower,12,lower,StateDistrict,state,12
017,16,16017-lower,17,lower,StateDistrict,state,17
002,16,16002-lower,2,lower,StateDistrict,state,2
025,16,16025-lower,25,lower,StateDistrict,state,25
003,16,16003-lower,3,lower,StateDistrict,state,3
004,16,16004-lower,4,lower,StateDistrict,state,4
008,16,16008-lower,8,lower,StateDistrict,state,8
