code,state_code,full_code,name,chamber,type,level,open_states_name
010,16,16010-upper,10,upper,StateDistrict,state,10
011,16,16011-upper,11,upper,StateDistrict,state,11
001,16,16001-upper,1,upper,StateDistrict,state,1
013,16,16013-upper,13,upper,StateDistrict,state,13
014,16,16014-upper,14,upper,StateDistrict,state,14
015,16,16015-upper,15,upper,StateDistrict,state,15
016,16,16016-upper,16,upper,StateDistrict,state,16
018,16,16018-upper,18,upper,StateDistrict,state,18
019,16,16019-upper,19,upper,StateDistrict,state,19
020,16,16020-upper,20,upper,StateDistrict,state,20
021,16,16021-upper,21,upper,StateDistrict,state,21
022,16,16022-upper,22,upper,StateDistrict,state,22
023,16,16023-upper,23,upper,StateDistrict,state,23
024,16,16024-upper,24,upper,StateDistrict,state,24
025,16,16025-upper,25,upper,StateDistrict,state,25
028,16,16028-upper,28,upper,StateDistrict,state,28
029,16,16029-upper,29,upper,StateDistrict,state,29
030,16,16030-upper,30,upper,StateDistrict,state,30
031,16,16031-upper,31,upper,StateDistrict,state,31
003,16,16003-upper,3,upper,StateDistrict,state,3
033,16,16033-upper,33,upper,StateDistrict,state,33
034,16,16034-upper,34,upper,StateDistrict,state,34
035,16,16035-upper,35,upper,StateDistrict,state,35
004,16,16004-upper,4,upper,StateDistrict,state,4
006,16,16006-upper,6,upper,StateDistrict,state,6
007,16,16007-upper,7,upper,StateDistrict,state,7
009,16,16009-upper,9,upper,StateDistrict,state,9
026,16,16026-upper,26,upper,StateDistrict,state,26
012,16,16012-upper,12,upper,StateDistrict,state,12
017,16,16017-upper,17,upper,StateDistrict,state,17
002,16,16002-upper,2,upper,StateDistrict,state,2
027,16,16027-upper,27,upper,StateDistrict,state,27
032,16,16032-upper,32,upper,StateDistrict,state,32
005,16,16005-upper,5,upper,StateDistrict,state,5
008,16,16008-upper,8,upper,StateDistrict,state,8
