code,state_code,full_code,name,chamber,type,level,open_states_name
106,17,17106-lower,106,lower,StateDistrict,state,106
109,17,17109-lower,109,lower,StateDistrict,state,109
111,17,17111-lower,111,lower,StateDistrict,state,111
114,17,17114-lower,114,lower,StateDistrict,state,114
115,17,17115-lower,115,lower,StateDistrict,state,115
116,17,17116-lower,116,lower,StateDistrict,state,116
117,17,17117-lower,117,lower,StateDistrict,state,117
029,17,17029-lower,29,lower,StateDistrict,state,29
050,17,17050-lower,50,lower,StateDistrict,state,50
061,17,17061-lower,61,lower,StateDistrict,state,61
064,17,17064-lower,64,lower,StateDistrict,state,64
071,17,17071-lower,71,lower,StateDistrict,state,71
074,17,17074-lower,74,lower,StateDistrict,state,74
089,17,17089-lower,89,lower,StateDistrict,state,89
093,17,17093-lower,93,lower,StateDistrict,state,93
045,17,17045-lower,45,lower,StateDistrict,state,45
004,17,17004-lower,4,lower,StateDistrict,state,4
102,17,17102-lower,102,lower,StateDistrict,state,102
103,17,17103-lower,103,lower,StateDistrict,state,103
104,17,17104-lower,104,lower,StateDistrict,state,104
105,17,17105-lower,105,lower,StateDistrict,state,105
107,17,17107-lower,107,lower,StateDistrict,state,107
110,17,17110-lower,110,lower,StateDistrict,state,110
011,17,17011-lower,11,lower,StateDistrict,state,11
014,17,17014-lower,14,lower,StateDistrict,state,14
118,17,17118-lower,118,lower,StateDistrict,state,118
012,17,17012-lower,12,lower,StateDistrict,state,12
015,17,17015-lower,15,lower,StateDistrict,state,15
017,17,17017-lower,17,lower,StateDistrict,state,17
018,17,17018-lower,18,lower,StateDistrict,state,18
019,17,17019-lower,19,lower,StateDistrict,state,19
020,17,17020-lower,20,lower,StateDistrict,state,20
021,17,17021-lower,21,lower,StateDistrict,state,21
024,17,17024-lower,24,lower,StateDistrict,state,24
025,17,17025-lower,25,lower,StateDistrict,state,25
026,17,17026-lower,26,lower,StateDistrict,state,26
028,17,17028-lower,28,lower,StateDistrict,state,28
031,17,17031-lower,31,lower,StateDistrict,state,31
003,17,17003-lower,3,lower,StateDistrict,state,3
032,17,17032-lower,32,lower,StateDistrict,state,32
033,17,17033-lower,33,lower,StateDistrict,state,33
035,17,17035-lower,35,lower,StateDistrict,state,35
036,17,17036-lower,36,lower,StateDistrict,state,36
037,17,17037-lower,37,lower,StateDistrict,state,37
