code,state_code,full_code,name,chamber,type,level,open_states_name
010,17,17010-upper,10,upper,StateDistrict,state,10
011,17,17011-upper,11,upper,StateDistrict,state,11
017,17,17017-upper,17,upper,StateDistrict,state,17
022,17,17022-upper,22,upper,StateDistrict,state,22
024,17,17024-upper,24,upper,StateDistrict,state,24
028,17,17028-upper,28,upper,StateDistrict,state,28
031,17,17031-upper,31,upper,StateDistrict,state,31
036,17,17036-upper,36,upper,StateDistrict,state,36
039,17,17039-upper,39,upper,StateDistrict,state,39
041,17,17041-upper,41,upper,StateDistrict,state,41
005,17,17005-upper,5,upper,StateDistrict,state,5
053,17,17053-upper,53,upper,StateDistrict,state,53
057,17,17057-upper,57,upper,StateDistrict,state,57
059,17,17059-upper,59,upper,StateDistrict,state,59
012,17,17012-upper,12,upper,StateDistrict,state,12
013,17,17013-upper,13,upper,StateDistrict,state,13
014,17,17014-upper,14,upper,StateDistrict,state,14
016,17,17016-upper,16,upper,StateDistrict,state,16
018,17,17018-upper,18,upper,StateDistrict,state,18
019,17,17019-upper,19,upper,StateDistrict,state,19
020,17,17020-upper,20,upper,StateDistrict,state,20
002,17,17002-upper,2,upper,StateDistrict,state,2
025,17,17025-upper,25,upper,StateDistrict,state,25
026,17,17026-upper,26,upper,StateDistrict,state,26
027,17,17027-upper,27,upper,StateDistrict,state,27
030,17,17030-upper,30,upper,StateDistrict,state,30
003,17,17003-upper,3,upper,StateDistrict,state,3
032,17,17032-upper,32,upper,StateDistrict,state,32
033,17,17033-upper,33,upper,StateDistrict,state,33
034,17,17034-upper,34,upper,StateDistrict,state,34
037,17,17037-upper,37,upper,StateDistrict,state,37
038,17,17038-upper,38,upper,StateDistrict,state,38
040,17,17040-upper,40,upper,StateDistrict,state,40
004,17,17004-upper,4,upper,StateDistrict,state,4
043,17,17043-upper,43,upper,StateDistrict,state,43
044,17,17044-upper,44,upper,StateDistrict,state,44
045,17,17045-upper,45,upper,StateDistrict,state,45
047,17,17047-upper,47,upper,StateDistrict,state,47
049,17,17049-upper,49,upper,StateDistrict,state,49
050,17,17050-upper,50,upper,StateDistrict,state,50
051,17,17051-upper,51,upper,StateDistrict,state,51
052,17,17052-upper,52,upper,StateDistrict,state,52
055,17,17055-upper,55,upper,StateDistrict,state,55
056,17,17056-upper,56,upper,StateDistrict,state,56
058,17,17058-upper,58,upper,StateDistrict,state,58
006,17,17006-upper,6,upper,StateDistrict,state,6
009,17,17009-upper,9,upper,StateDistrict,state,9
001,17,17001-upper,1,upper,StateDistrict,state,1
023,17,17023-upper,23,upper,StateDistrict,state,23
046,17,17046-upper,46,upper,StateDistrict,state,46
008,17,17008-upper,8,upper,StateDistrict,state,8
015,17,17015-upper,15,upper,StateDistrict,state,15
021,17,17021-upper,21,upper,StateDistrict,state,21
029,17,17029-upper,29,upper,StateDistrict,state,29
035,17,17035-upper,35,upper,StateDistrict,state,35
042,17,17042-upper,42,upper,StateDistrict,state,42
048,17,17048-upper,48,upper,StateDistrict,state,48
054,17,17054-upper,54,upper,StateDistrict,state,54
007,17,17007-upper,7,upper,StateDistrict,state,7
