code,state_code,full_code,name,chamber,type,level,open_states_name
034,18,18034-lower,34,lower,StateDistrict,state,34
045,18,18045-lower,45,lower,StateDistrict,state,45
060,18,18060-lower,60,lower,StateDistrict,state,60
062,18,18062-lower,62,lower,StateDistrict,state,62
063,18,18063-lower,63,lower,StateDistrict,state,63
065,18,18065-lower,65,lower,StateDistrict,state,65
066,18,18066-lower,66,lower,StateDistrict,state,66
067,18,18067-lower,67,lower,StateDistrict,state,67
069,18,18069-lower,69,lower,StateDistrict,state,69
070,18,18070-lower,70,lower,StateDistrict,state,70
074,18,18074-lower,74,lower,StateDistrict,state,74
076,18,18076-lower,76,lower,StateDistrict,state,76
077,18,18077-lower,77,lower,StateDistrict,state,77
094,18,18094-lower,94,lower,StateDistrict,state,94
097,18,18097-lower,97,lower,StateDistrict,state,97
021,18,18021-lower,21,lower,StateDistrict,state,21
013,18,18013-lower,13,lower,StateDistrict,state,13
019,18,18019-lower,19,lower,StateDistrict,state,19
001,18,18001-lower,1,lower,StateDistrict,state,1
016,18,18016-lower,16,lower,StateDistrict,state,16
017,18,18017-lower,17,lower,StateDistrict,state,17
020,18,18020-lower,20,lower,StateDistrict,state,20
002,18,18002-lower,2,lower,StateDistrict,state,2
022,18,18022-lower,22,lower,StateDistrict,state,22
023,18,18023-lower,23,lower,StateDistrict,state,23
025,18,18025-lower,25,lower,StateDistrict,state,25
026,18,18026-lower,26,lower,StateDistrict,state,26
027,18,18027-lower,27,lower,StateDistrict,state,27
030,18,18030-lower,30,lower,StateDistrict,state,30
028,18,18028-lower,28,lower,StateDistrict,state,28
003,18,18003-lower,3,lower,StateDistrict,state,3
035,18,18035-lower,35,lower,StateDistrict,state,35
037,18,18037-lower,37,lower,StateDistrict,state,37
038,18,18038-lower,38,lower,StateDistrict,state,38
039,18,18039-lower,39,lower,StateDistrict,state,39
004,18,18004-lower,4,lower,StateDistrict,state,4
041,18,18041-lower,41,lower,StateDistrict,state,41
043,18,18043-lower,43,lower,StateDistrict,state,43
047,18,18047-lower,47,lower,StateDistrict,state,47
046,18,18046-lower,46,lower,StateDistrict,state,46
048,18,18048-lower,48,lower,StateDistrict,state,48
049,18,18049-lower,49,lower,StateDistrict,state,49
050,18,18050-lower,50,lower,StateDistrict,state,50
068,18,18068-lower,68,lower,StateDistrict,state,68
082,18,18082-lower,82,lower,StateDistrict,state,82
053,18,18053-lower,53,lower,StateDistrict,state,53
054,18,18054-lower,54,lower,StateDistrict,state,54
056,18,18056-lower,56,lower,StateDistrict,state,56
057,18,18057-lower,57,lower,StateDistrict,state,57
058,18,18058-lower,58,lower,StateDistrict,state,58
059,18,18059-lower,59,lower,StateDistrict,state,59
006,18,18006-lower,6,lower,StateDistrict,state,6
071,18,18071-lower,71,lower,StateDistrict,state,71
007,18,18007-lower,7,lower,StateDistrict,state,7
075,18,18075-lower,75,lower,StateDistrict,state,75
078,18,18078-lower,78,lower,StateDistrict,state,78
079,18,18079-lower,79,lower,StateDistrict,state,79
080,18,18080-lower,80,lower,StateDistrict,state,80
008,18,18008-lower,8,lower,StateDistrict,state,8
083,18,18083-lower,83,lower,StateDistrict,state,83
084,18,18084-lower,84,lower,StateDistrict,state,84
086,18,18086-lower,86,lower,StateDistrict,state,86
087,18,18087-lower,87,lower,StateDistrict,state,87
088,18,18088-lower,88,lower,StateDistrict,state,88
089,18,18089-lower,89,lower,StateDistrict,state,89
090,18,18090-lower,90,lower,StateDistrict,state,90
009,18,18009-lower,9,lower,StateDistrict,state,9
011,18,18011-lower,11,lower,StateDistrict,state,11
093,18,18093-lower,93,lower,StateDistrict,state,93
096,18,18096-lower,96,lower,StateDistrict,state,96
099,18,18099-lower,99,lower,StateDistrict,state,99
014,18,18014-lower,14,lower,StateDistrict,state,14
015,18,18015-lower,15,lower,StateDistrict,state,15
032,18,18032-lower,32,lower,StateDistrict,state,32
042,18,18042-lower,42,lower,StateDistrict,state,42
005,18,18005-lower,5,lower,StateDistrict,state,5
052,18,18052-lower,52,lower,StateDistrict,state,52
092,18,18092-lower,92,lower,StateDistrict,state,92
010,18,18010-lower,10,lower,StateDistrict,state,10
100,18,18100-lower,100,lower,StateDistrict,state,100
012,18,18012-lower,12,lower,StateDistrict,state,12
018,18,18018-lower,18,lower,StateDistrict,state,18
024,18,18024-lower,24,lower,StateDistrict,state,24
029,18,18029-lower,29,lower,StateDistrict,state,29
033,18,18033-lower,33,lower,StateDistrict,state,33
036,18,18036-lower,36,lower,StateDistrict,state,36
040,18,18040-lower,40,lower,StateDistrict,state,40
044,18,18044-lower,44,lower,StateDistrict,state,44
051,18,18051-lower,51,lower,StateDistrict,state,51
055,18,18055-lower,55,lower,StateDistrict,state,55
061,18,18061-lower,61,lower,StateDistrict,state,61
064,18,18064-lower,64,lower,StateDistrict,state,64
072,18,18072-lower,72,lower,StateDistrict,state,72
073,18,18073-lower,73,lower,StateDistrict,state,73
081,18,18081-lower,81,lower,StateDistrict,state,81
085,18,18085-lower,85,lower,StateDistrict,state,85
091,18,18091-lower,91,lower,StateDistrict,state,91
095,18,18095-lower,95,lower,StateDistrict,state,95
098,18,18098-lower,98,lower,StateDistrict,state,98
031,18,18031-lower,31,lower,StateDistrict,state,31
