code,state_code,full_code,name,chamber,type,level,open_states_name
027,18,18027-upper,27,upper,StateDistrict,state,27
030,18,18030-upper,30,upper,StateDistrict,state,30
039,18,18039-upper,39,upper,StateDistrict,state,39
043,18,18043-upper,43,upper,StateDistrict,state,43
044,18,18044-upper,44,upper,StateDistrict,state,44
048,18,18048-upper,48,upper,StateDistrict,state,48
047,18,18047-upper,47,upper,StateDistrict,state,47
011,18,18011-upper,11,upper,StateDistrict,state,11
045,18,18045-upper,45,upper,StateDistrict,state,45
007,18,18007-upper,7,upper,StateDistrict,state,7
019,18,18019-upper,19,upper,StateDistrict,state,19
025,18,18025-upper,25,upper,StateDistrict,state,25
031,18,18031-upper,31,upper,StateDistrict,state,31
037,18,18037-upper,37,upper,StateDistrict,state,37
041,18,18041-upper,41,upper,StateDistrict,state,41
010,18,18010-upper,10,upper,StateDistrict,state,10
001,18,18001-upper,1,upper,StateDistrict,state,1
013,18,18013-upper,13,upper,StateDistrict,state,13
014,18,18014-upper,14,upper,StateDistrict,state,14
015,18,18015-upper,15,upper,StateDistrict,state,15
016,18,18016-upper,16,upper,StateDistrict,state,16
017,18,18017-upper,17,upper,StateDistrict,state,17
018,18,18018-upper,18,upper,StateDistrict,state,18
020,18,18020-upper,20,upper,StateDistrict,state,20
021,18,18021-upper,21,upper,StateDistrict,state,21
002,18,18002-upper,2,upper,StateDistrict,state,2
022,18,18022-upper,22,upper,StateDistrict,state,22
023,18,18023-upper,23,upper,StateDistrict,state,23
024,18,18024-upper,24,upper,StateDistrict,state,24
026,18,18026-upper,26,upper,StateDistrict,state,26
028,18,18028-upper,28,upper,StateDistrict,state,28
029,18,18029-upper,29,upper,StateDistrict,state,29
003,18,18003-upper,3,upper,StateDistrict,state,3
032,18,18032-upper,32,upper,StateDistrict,state,32
034,18,18034-upper,34,upper,StateDistrict,state,34
035,18,18035-upper,35,upper,StateDistrict,state,35
036,18,18036-upper,36,upper,StateDistrict,state,36
038,18,18038-upper,38,upper,StateDistrict,state,38
040,18,18040-upper,40,upper,StateDistrict,state,40
004,18,18004-upper,4,upper,StateDistrict,state,4
042,18,18042-upper,42,upper,StateDistrict,state,42
046,18,18046-upper,46,upper,StateDistrict,state,46
050,18,18050-upper,50,upper,StateDistrict,state,50
005,18,18005-upper,5,upper,StateDistrict,state,5
006,18,18006-upper,6,upper,StateDistrict,state,6
008,18,18008-upper,8,upper,StateDistrict,state,8
009,18,18009-upper,9,upper,StateDistrict,state,9
012,18,18012-upper,12,upper,StateDistrict,state,12
033,18,18033-upper,33,upper,StateDistrict,state,33
049,18,18049-upper,49,upper,StateDistrict,state,49
