code,state_code,full_code,name,chamber,type,level,open_states_name
015,19,19015-lower,15,lower,StateDistrict,state,15
030,19,19030-lower,30,lower,StateDistrict,state,30
003,19,19003-lower,3,lower,StateDistrict,state,3
033,19,19033-lower,33,lower,StateDistrict,state,33
035,19,19035-lower,35,lower,StateDistrict,state,35
038,19,19038-lower,38,lower,StateDistrict,state,38
039,19,19039-lower,39,lower,StateDistrict,state,39
041,19,19041-lower,41,lower,StateDistrict,state,41
042,19,19042-lower,42,lower,StateDistrict,state,42
044,19,19044-lower,44,lower,StateDistrict,state,44
077,19,19077-lower,77,lower,StateDistrict,state,77
079,19,19079-lower,79,lower,StateDistrict,state,79
080,19,19080-lower,80,lower,StateDistrict,state,80
085,19,19085-lower,85,lower,StateDistrict,state,85
087,19,19087-lower,87,lower,StateDistrict,state,87
088,19,19088-lower,88,lower,StateDistrict,state,88
089,19,19089-lower,89,lower,StateDistrict,state,89
090,19,19090-lower,90,lower,StateDistrict,state,90
091,19,19091-lower,91,lower,StateDistrict,state,91
095,19,19095-lower,95,lower,StateDistrict,state,95
098,19,19098-lower,98,lower,StateDistrict,state,98
014,19,19014-lower,14,lower,StateDistrict,state,14
017,19,19017-lower,17,lower,StateDistrict,state,17
019,19,19019-lower,19,lower,StateDistrict,state,19
023,19,19023-lower,23,lower,StateDistrict,state,23
025,19,19025-lower,25,lower,StateDistrict,state,25
001,19,19001-lower,1,lower,StateDistrict,state,1
012,19,19012-lower,12,lower,StateDistrict,state,12
028,19,19028-lower,28,lower,StateDistrict,state,28
081,19,19081-lower,81,lower,StateDistrict,state,81
011,19,19011-lower,11,lower,StateDistrict,state,11
016,19,19016-lower,16,lower,StateDistrict,state,16
021,19,19021-lower,21,lower,StateDistrict,state,21
002,19,19002-lower,2,lower,StateDistrict,state,2
022,19,19022-lower,22,lower,StateDistrict,state,22
026,19,19026-lower,26,lower,StateDistrict,state,26
029,19,19029-lower,29,lower,StateDistrict,state,29
031,19,19031-lower,31,lower,StateDistrict,state,31
036,19,19036-lower,36,lower,StateDistrict,state,36
004,19,19004-lower,4,lower,StateDistrict,state,4
043,19,19043-lower,43,lower,StateDistrict,state,43
075,19,19075-lower,75,lower,StateDistrict,state,75
076,19,19076-lower,76,lower,StateDistrict,state,76
078,19,19078-lower,78,lower,StateDistrict,state,78
008,19,19008-lower,8,lower,StateDistrict,state,8
083,19,19083-lower,83,lower,StateDistrict,state,83
084,19,19084-lower,84,lower,StateDistrict,state,84
086,19,19086-lower,86,lower,StateDistrict,state,86
009,19,19009-lower,9,lower,StateDistrict,state,9
092,19,19092-lower,92,lower,StateDistrict,state,92
093,19,19093-lower,93,lower,StateDistrict,state,93
094,19,19094-lower,94,lower,StateDistrict,state,94
096,19,19096-lower,96,lower,StateDistrict,state,96
097,19,19097-lower,97,lower,StateDistrict,state,97
099,19,19099-lower,99,lower,StateDistrict,state,99
034,19,19034-lower,34,lower,StateDistrict,state,34
082,19,19082-lower,82,lower,StateDistrict,state,82
018,19,19018-lower,18,lower,StateDistrict,state,18
010,19,19010-lower,10,lower,StateDistrict,state,10
100,19,19100-lower,100,lower,StateDistrict,state,100
013,19,19013-lower,13,lower,StateDistrict,state,13
020,19,19020-lower,20,lower,StateDistrict,state,20
024,19,19024-lower,24,lower,StateDistrict,state,24
027,19,19027-lower,27,lower,StateDistrict,state,27
032,19,19032-lower,32,lower,StateDistrict,state,32
037,19,19037-lower,37,lower,StateDistrict,state,37
040,19,19040-lower,40,lower,StateDistrict,state,40
045,19,19045-lower,45,lower,StateDistrict,state,45
046,19,19046-lower,46,lower,StateDistrict,state,46
047,19,19047-lower,47,lower,StateDistrict,state,47
048,19,19048-lower,48,lower,StateDistrict,state,48
049,19,19049-lower,49,lower,StateDistrict,state,49
050,19,19050-lower,50,lower,StateDistrict,state,50
051,19,19051-lower,51,lower,StateDistrict,state,51
005,19,19005-lower,5,lower,StateDistrict,state,5
052,19,19052-lower,52,lower,StateDistrict,state,52
053,19,19053-lower,53,lower,StateDistrict,state,53
054,19,19054-lower,54,lower,StateDistrict,state,54
055,19,19055-lower,55,lower,StateDistrict,state,55
056,19,19056-lower,56,lower,StateDistrict,state,56
057,19,19057-lower,57,lower,StateDistrict,state,57
058,19,19058-lower,58,lower,StateDistrict,state,58
059,19,19059-lower,59,lower,StateDistrict,state,59
060,19,19060-lower,60,lower,StateDistrict,state,60
061,19,19061-lower,61,lower,StateDistrict,state,61
006,19,19006-lower,6,lower,StateDistrict,state,6
062,19,19062-lower,62,lower,StateDistrict,state,62
063,19,19063-lower,63,lower,StateDistrict,state,63
064,19,19064-lower,64,lower,StateDistrict,state,64
065,19,19065-lower,65,lower,StateDistrict,state,65
066,19,19066-lower,66,lower,StateDistrict,state,66
067,19,19067-lower,67,lower,StateDistrict,state,67
068,19,19068-lower,68,lower,StateDistrict,state,68
069,19,19069-lower,69,lower,StateDistrict,state,69
070,19,19070-lower,70,lower,StateDistrict,state,70
071,19,19071-lower,71,lower,StateDistrict,state,71
007,19,19007-lower,7,lower,StateDistrict,state,7
072,19,19072-lower,72,lower,StateDistrict,state,72
073,19,19073-lower,73,lower,StateDistrict,state,73
074,19,19074-lower,74,lower,StateDistrict,state,74
