code,state_code,full_code,name,chamber,type,level,open_states_name
010,19,19010-upper,10,upper,StateDistrict,state,10
011,19,19011-upper,11,upper,StateDistrict,state,11
001,19,19001-upper,1,upper,StateDistrict,state,1
019,19,19019-upper,19,upper,StateDistrict,state,19
022,19,19022-upper,22,upper,StateDistrict,state,22
024,19,19024-upper,24,upper,StateDistrict,state,24
025,19,19025-upper,25,upper,StateDistrict,state,25
028,19,19028-upper,28,upper,StateDistrict,state,28
003,19,19003-upper,3,upper,StateDistrict,state,3
033,19,19033-upper,33,upper,StateDistrict,state,33
037,19,19037-upper,37,upper,StateDistrict,state,37
039,19,19039-upper,39,upper,StateDistrict,state,39
041,19,19041-upper,41,upper,StateDistrict,state,41
042,19,19042-upper,42,upper,StateDistrict,state,42
044,19,19044-upper,44,upper,StateDistrict,state,44
048,19,19048-upper,48,upper,StateDistrict,state,48
050,19,19050-upper,50,upper,StateDistrict,state,50
005,19,19005-upper,5,upper,StateDistrict,state,5
006,19,19006-upper,6,upper,StateDistrict,state,6
007,19,19007-upper,7,upper,StateDistrict,state,7
009,19,19009-upper,9,upper,StateDistrict,state,9
012,19,19012-upper,12,upper,StateDistrict,state,12
014,19,19014-upper,14,upper,StateDistrict,state,14
015,19,19015-upper,15,upper,StateDistrict,state,15
017,19,19017-upper,17,upper,StateDistrict,state,17
018,19,19018-upper,18,upper,StateDistrict,state,18
021,19,19021-upper,21,upper,StateDistrict,state,21
026,19,19026-upper,26,upper,StateDistrict,state,26
029,19,19029-upper,29,upper,StateDistrict,state,29
032,19,19032-upper,32,upper,StateDistrict,state,32
034,19,19034-upper,34,upper,StateDistrict,state,34
036,19,19036-upper,36,upper,StateDistrict,state,36
040,19,19040-upper,40,upper,StateDistrict,state,40
004,19,19004-upper,4,upper,StateDistrict,state,4
046,19,19046-upper,46,upper,StateDistrict,state,46
049,19,19049-upper,49,upper,StateDistrict,state,49
043,19,19043-upper,43,upper,StateDistrict,state,43
023,19,19023-upper,23,upper,StateDistrict,state,23
047,19,19047-upper,47,upper,StateDistrict,state,47
008,19,19008-upper,8,upper,StateDistrict,state,8
016,19,19016-upper,16,upper,StateDistrict,state,16
020,19,19020-upper,20,upper,StateDistrict,state,20
030,19,19030-upper,30,upper,StateDistrict,state,30
038,19,19038-upper,38,upper,StateDistrict,state,38
045,19,19045-upper,45,upper,StateDistrict,state,45
013,19,19013-upper,13,upper,StateDistrict,state,13
027,19,19027-upper,27,upper,StateDistrict,state,27
031,19,19031-upper,31,upper,StateDistrict,state,31
002,19,19002-upper,2,upper,StateDistrict,state,2
035,19,19035-upper,35,upper,StateDistrict,state,35
