code,state_code,full_code,name,chamber,type,level,open_states_name
019,20,20019-lower,19,lower,StateDistrict,state,19
106,20,20106-lower,106,lower,StateDistrict,state,106
107,20,20107-lower,107,lower,StateDistrict,state,107
109,20,20109-lower,109,lower,StateDistrict,state,109
110,20,20110-lower,110,lower,StateDistrict,state,110
111,20,20111-lower,111,lower,StateDistrict,state,111
113,20,20113-lower,113,lower,StateDistrict,state,113
116,20,20116-lower,116,lower,StateDistrict,state,116
118,20,20118-lower,118,lower,StateDistrict,state,118
120,20,20120-lower,120,lower,StateDistrict,state,120
125,20,20125-lower,125,lower,StateDistrict,state,125
016,20,20016-lower,16,lower,StateDistrict,state,16
020,20,20020-lower,20,lower,StateDistrict,state,20
002,20,20002-lower,2,lower,StateDistrict,state,2
022,20,20022-lower,22,lower,StateDistrict,state,22
023,20,20023-lower,23,lower,StateDistrict,state,23
024,20,20024-lower,24,lower,StateDistrict,state,24
027,20,20027-lower,27,lower,StateDistrict,state,27
028,20,20028-lower,28,lower,StateDistrict,state,28
029,20,20029-lower,29,lower,StateDistrict,state,29
030,20,20030-lower,30,lower,StateDistrict,state,30
037,20,20037-lower,37,lower,StateDistrict,state,37
038,20,20038-lower,38,lower,StateDistrict,state,38
039,20,20039-lower,39,lower,StateDistrict,state,39
004,20,20004-lower,4,lower,StateDistrict,state,4
043,20,20043-lower,43,lower,StateDistrict,state,43
052,20,20052-lower,52,lower,StateDistrict,state,52
064,20,20064-lower,64,lower,StateDistrict,state,64
047,20,20047-lower,47,lower,StateDistrict,state,47
049,20,20049-lower,49,lower,StateDistrict,state,49
050,20,20050-lower,50,lower,StateDistrict,state,50
005,20,20005-lower,5,lower,StateDistrict,state,5
054,20,20054-lower,54,lower,StateDistrict,state,54
055,20,20055-lower,55,lower,StateDistrict,state,55
058,20,20058-lower,58,lower,StateDistrict,state,58
059,20,20059-lower,59,lower,StateDistrict,state,59
060,20,20060-lower,60,lower,StateDistrict,state,60
061,20,20061-lower,61,lower,StateDistrict,state,61
006,20,20006-lower,6,lower,StateDistrict,state,6
071,20,20071-lower,71,lower,StateDistrict,state,71
072,20,20072-lower,72,lower,StateDistrict,state,72
073,20,20073-lower,73,lower,StateDistrict,state,73
076,20,20076-lower,76,lower,StateDistrict,state,76
077,20,20077-lower,77,lower,StateDistrict,state,77
079,20,20079-lower,79,lower,StateDistrict,state,79
081,20,20081-lower,81,lower,StateDistrict,state,81
082,20,20082-lower,82,lower,StateDistrict,state,82
083,20,20083-lower,83,lower,StateDistrict,state,83
084,20,20084-lower,84,lower,StateDistrict,state,84
085,20,20085-lower,85,lower,StateDistrict,state,85
087,20,20087-lower,87,lower,StateDistrict,state,87
088,20,20088-lower,88,lower,StateDistrict,state,88
089,20,20089-lower,89,lower,StateDistrict,state,89
090,20,20090-lower,90,lower,StateDistrict,state,90
091,20,20091-lower,91,lower,StateDistrict,state,91
093,20,20093-lower,93,lower,StateDistrict,state,93
094,20,20094-lower,94,lower,StateDistrict,state,94
095,20,20095-lower,95,lower,StateDistrict,state,95
096,20,20096-lower,96,lower,StateDistrict,state,96
098,20,20098-lower,98,lower,StateDistrict,state,98
018,20,20018-lower,18,lower,StateDistrict,state,18
010,20,20010-lower,10,lower,StateDistrict,state,10
102,20,20102-lower,102,lower,StateDistrict,state,102
103,20,20103-lower,103,lower,StateDistrict,state,103
104,20,20104-lower,104,lower,StateDistrict,state,104
108,20,20108-lower,108,lower,StateDistrict,state,108
114,20,20114-lower,114,lower,StateDistrict,state,114
115,20,20115-lower,115,lower,StateDistrict,state,115
117,20,20117-lower,117,lower,StateDistrict,state,117
119,20,20119-lower,119,lower,StateDistrict,state,119
121,20,20121-lower,121,lower,StateDistrict,state,121
122,20,20122-lower,122,lower,StateDistrict,state,122
123,20,20123-lower,123,lower,StateDistrict,state,123
124,20,20124-lower,124,lower,StateDistrict,state,124
014,20,20014-lower,14,lower,StateDistrict,state,14
015,20,20015-lower,15,lower,StateDistrict,state,15
017,20,20017-lower,17,lower,StateDistrict,state,17
026,20,20026-lower,26,lower,StateDistrict,state,26
003,20,20003-lower,3,lower,StateDistrict,state,3
033,20,20033-lower,33,lower,StateDistrict,state,33
034,20,20034-lower,34,lower,StateDistrict,state,34
035,20,20035-lower,35,lower,StateDistrict,state,35
036,20,20036-lower,36,lower,StateDistrict,state,36
041,20,20041-lower,41,lower,StateDistrict,state,41
044,20,20044-lower,44,lower,StateDistrict,state,44
045,20,20045-lower,45,lower,StateDistrict,state,45
046,20,20046-lower,46,lower,StateDistrict,state,46
053,20,20053-lower,53,lower,StateDistrict,state,53
057,20,20057-lower,57,lower,StateDistrict,state,57
062,20,20062-lower,62,lower,StateDistrict,state,62
065,20,20065-lower,65,lower,StateDistrict,state,65
067,20,20067-lower,67,lower,StateDistrict,state,67
068,20,20068-lower,68,lower,StateDistrict,state,68
069,20,20069-lower,69,lower,StateDistrict,state,69
070,20,20070-lower,70,lower,StateDistrict,state,70
007,20,20007-lower,7,lower,StateDistrict,state,7
078,20,20078-lower,78,lower,StateDistrict,state,78
080,20,20080-lower,80,lower,StateDistrict,state,80
009,20,20009-lower,9,lower,StateDistrict,state,9
101,20,20101-lower,101,lower,StateDistrict,state,101
100,20,20100-lower,100,lower,StateDistrict,state,100
105,20,20105-lower,105,lower,StateDistrict,state,105
011,20,20011-lower,11,lower,StateDistrict,state,11
112,20,20112-lower,112,lower,StateDistrict,state,112
001,20,20001-lower,1,lower,StateDistrict,state,1
012,20,20012-lower,12,lower,StateDistrict,state,12
