code,state_code,full_code,name,chamber,type,level,open_states_name
010,20,20010-upper,10,upper,StateDistrict,state,10
001,20,20001-upper,1,upper,StateDistrict,state,1
012,20,20012-upper,12,upper,StateDistrict,state,12
013,20,20013-upper,13,upper,StateDistrict,state,13
015,20,20015-upper,15,upper,StateDistrict,state,15
017,20,20017-upper,17,upper,StateDistrict,state,17
018,20,20018-upper,18,upper,StateDistrict,state,18
002,20,20002-upper,2,upper,StateDistrict,state,2
026,20,20026-upper,26,upper,StateDistrict,state,26
027,20,20027-upper,27,upper,StateDistrict,state,27
032,20,20032-upper,32,upper,StateDistrict,state,32
033,20,20033-upper,33,upper,StateDistrict,state,33
034,20,20034-upper,34,upper,StateDistrict,state,34
036,20,20036-upper,36,upper,StateDistrict,state,36
037,20,20037-upper,37,upper,StateDistrict,state,37
004,20,20004-upper,4,upper,StateDistrict,state,4
008,20,20008-upper,8,upper,StateDistrict,state,8
011,20,20011-upper,11,upper,StateDistrict,state,11
019,20,20019-upper,19,upper,StateDistrict,state,19
020,20,20020-upper,20,upper,StateDistrict,state,20
021,20,20021-upper,21,upper,StateDistrict,state,21
023,20,20023-upper,23,upper,StateDistrict,state,23
024,20,20024-upper,24,upper,StateDistrict,state,24
025,20,20025-upper,25,upper,StateDistrict,state,25
028,20,20028-upper,28,upper,StateDistrict,state,28
029,20,20029-upper,29,upper,StateDistrict,state,29
003,20,20003-upper,3,upper,StateDistrict,state,3
038,20,20038-upper,38,upper,StateDistrict,state,38
039,20,20039-upper,39,upper,StateDistrict,state,39
040,20,20040-upper,40,upper,StateDistrict,state,40
006,20,20006-upper,6,upper,StateDistrict,state,6
007,20,20007-upper,7,upper,StateDistrict,state,7
014,20,20014-upper,14,upper,StateDistrict,state,14
031,20,20031-upper,31,upper,StateDistrict,state,31
035,20,20035-upper,35,upper,StateDistrict,state,35
009,20,20009-upper,9,upper,StateDistrict,state,9
016,20,20016-upper,16,upper,StateDistrict,state,16
022,20,20022-upper,22,upper,StateDistrict,state,22
030,20,20030-upper,30,upper,StateDistrict,state,30
005,20,20005-upper,5,upper,StateDistrict,state,5
