code,state_code,full_code,name,chamber,type,level,open_states_name
071,21,21071-lower,71,lower,StateDistrict,state,71
087,21,21087-lower,87,lower,StateDistrict,state,87
013,21,21013-lower,13,lower,StateDistrict,state,13
014,21,21014-lower,14,lower,StateDistrict,state,14
015,21,21015-lower,15,lower,StateDistrict,state,15
017,21,21017-lower,17,lower,StateDistrict,state,17
018,21,21018-lower,18,lower,StateDistrict,state,18
019,21,21019-lower,19,lower,StateDistrict,state,19
020,21,21020-lower,20,lower,StateDistrict,state,20
021,21,21021-lower,21,lower,StateDistrict,state,21
022,21,21022-lower,22,lower,StateDistrict,state,22
024,21,21024-lower,24,lower,StateDistrict,state,24
025,21,21025-lower,25,lower,StateDistrict,state,25
026,21,21026-lower,26,lower,StateDistrict,state,26
028,21,21028-lower,28,lower,StateDistrict,state,28
029,21,21029-lower,29,lower,StateDistrict,state,29
031,21,21031-lower,31,lower,StateDistrict,state,31
003,21,21003-lower,3,lower,StateDistrict,state,3
033,21,21033-lower,33,lower,StateDistrict,state,33
034,21,21034-lower,34,lower,StateDistrict,state,34
035,21,21035-lower,35,lower,StateDistrict,state,35
036,21,21036-lower,36,lower,StateDistrict,state,36
039,21,21039-lower,39,lower,StateDistrict,state,39
043,21,21043-lower,43,lower,StateDistrict,state,43
052,21,21052-lower,52,lower,StateDistrict,state,52
040,21,21040-lower,40,lower,StateDistrict,state,40
004,21,21004-lower,4,lower,StateDistrict,state,4
062,21,21062-lower,62,lower,StateDistrict,state,62
045,21,21045-lower,45,lower,StateDistrict,state,45
046,21,21046-lower,46,lower,StateDistrict,state,46
047,21,21047-lower,47,lower,StateDistrict,state,47
048,21,21048-lower,48,lower,StateDistrict,state,48
050,21,21050-lower,50,lower,StateDistrict,state,50
051,21,21051-lower,51,lower,StateDistrict,state,51
005,21,21005-lower,5,lower,StateDistrict,state,5
083,21,21083-lower,83,lower,StateDistrict,state,83
054,21,21054-lower,54,lower,StateDistrict,state,54
055,21,21055-lower,55,lower,StateDistrict,state,55
056,21,21056-lower,56,lower,StateDistrict,state,56
058,21,21058-lower,58,lower,StateDistrict,state,58
059,21,21059-lower,59,lower,StateDistrict,state,59
061,21,21061-lower,61,lower,StateDistrict,state,61
006,21,21006-lower,6,lower,StateDistrict,state,6
093,21,21093-lower,93,lower,StateDistrict,state,93
063,21,21063-lower,63,lower,StateDistrict,state,63
065,21,21065-lower,65,lower,StateDistrict,state,65
067,21,21067-lower,67,lower,StateDistrict,state,67
068,21,21068-lower,68,lower,StateDistrict,state,68
070,21,21070-lower,70,lower,StateDistrict,state,70
072,21,21072-lower,72,lower,StateDistrict,state,72
073,21,21073-lower,73,lower,StateDistrict,state,73
074,21,21074-lower,74,lower,StateDistrict,state,74
075,21,21075-lower,75,lower,StateDistrict,state,75
078,21,21078-lower,78,lower,StateDistrict,state,78
079,21,21079-lower,79,lower,StateDistrict,state,79
080,21,21080-lower,80,lower,StateDistrict,state,80
081,21,21081-lower,81,lower,StateDistrict,state,81
008,21,21008-lower,8,lower,StateDistrict,state,8
010,21,21010-lower,10,lower,StateDistrict,state,10
084,21,21084-lower,84,lower,StateDistrict,state,84
085,21,21085-lower,85,lower,StateDistrict,state,85
086,21,21086-lower,86,lower,StateDistrict,state,86
089,21,21089-lower,89,lower,StateDistrict,state,89
090,21,21090-lower,90,lower,StateDistrict,state,90
091,21,21091-lower,91,lower,StateDistrict,state,91
009,21,21009-lower,9,lower,StateDistrict,state,9
011,21,21011-lower,11,lower,StateDistrict,state,11
094,21,21094-lower,94,lower,StateDistrict,state,94
095,21,21095-lower,95,lower,StateDistrict,state,95
096,21,21096-lower,96,lower,StateDistrict,state,96
098,21,21098-lower,98,lower,StateDistrict,state,98
099,21,21099-lower,99,lower,StateDistrict,state,99
012,21,21012-lower,12,lower,StateDistrict,state,12
038,21,21038-lower,38,lower,StateDistrict,state,38
042,21,21042-lower,42,lower,StateDistrict,state,42
057,21,21057-lower,57,lower,StateDistrict,state,57
066,21,21066-lower,66,lower,StateDistrict,state,66
069,21,21069-lower,69,lower,StateDistrict,state,69
030,21,21030-lower,30,lower,StateDistrict,state,30
100,21,21100-lower,100,lower,StateDistrict,state,100
001,21,21001-lower,1,lower,StateDistrict,state,1
016,21,21016-lower,16,lower,StateDistrict,state,16
002,21,21002-lower,2,lower,StateDistrict,state,2
023,21,21023-lower,23,lower,StateDistrict,state,23
027,21,21027-lower,27,lower,StateDistrict,state,27
032,21,21032-lower,32,lower,StateDistrict,state,32
037,21,21037-lower,37,lower,StateDistrict,state,37
041,21,21041-lower,41,lower,StateDistrict,state,41
044,21,21044-lower,44,lower,StateDistrict,state,44
049,21,21049-lower,49,lower,StateDistrict,state,49
053,21,21053-lower,53,lower,StateDistrict,state,53
060,21,21060-lower,60,lower,StateDistrict,state,60
064,21,21064-lower,64,lower,StateDistrict,state,64
007,21,21007-lower,7,lower,StateDistrict,state,7
076,21,21076-lower,76,lower,StateDistrict,state,76
077,21,21077-lower,77,lower,StateDistrict,state,77
082,21,21082-lower,82,lower,StateDistrict,state,82
088,21,21088-lower,88,lower,StateDistrict,state,88
092,21,21092-lower,92,lower,StateDistrict,state,92
097,21,21097-lower,97,lower,StateDistrict,state,97
