code,state_code,full_code,name,chamber,type,level,open_states_name
010,21,21010-upper,10,upper,StateDistrict,state,10
012,21,21012-upper,12,upper,StateDistrict,state,12
018,21,21018-upper,18,upper,StateDistrict,state,18
023,21,21023-upper,23,upper,StateDistrict,state,23
024,21,21024-upper,24,upper,StateDistrict,state,24
031,21,21031-upper,31,upper,StateDistrict,state,31
033,21,21033-upper,33,upper,StateDistrict,state,33
038,21,21038-upper,38,upper,StateDistrict,state,38
004,21,21004-upper,4,upper,StateDistrict,state,4
011,21,21011-upper,11,upper,StateDistrict,state,11
001,21,21001-upper,1,upper,StateDistrict,state,1
013,21,21013-upper,13,upper,StateDistrict,state,13
014,21,21014-upper,14,upper,StateDistrict,state,14
015,21,21015-upper,15,upper,StateDistrict,state,15
016,21,21016-upper,16,upper,StateDistrict,state,16
019,21,21019-upper,19,upper,StateDistrict,state,19
020,21,21020-upper,20,upper,StateDistrict,state,20
021,21,21021-upper,21,upper,StateDistrict,state,21
002,21,21002-upper,2,upper,StateDistrict,state,2
025,21,21025-upper,25,upper,StateDistrict,state,25
026,21,21026-upper,26,upper,StateDistrict,state,26
028,21,21028-upper,28,upper,StateDistrict,state,28
030,21,21030-upper,30,upper,StateDistrict,state,30
003,21,21003-upper,3,upper,StateDistrict,state,3
032,21,21032-upper,32,upper,StateDistrict,state,32
034,21,21034-upper,34,upper,StateDistrict,state,34
036,21,21036-upper,36,upper,StateDistrict,state,36
037,21,21037-upper,37,upper,StateDistrict,state,37
005,21,21005-upper,5,upper,StateDistrict,state,5
006,21,21006-upper,6,upper,StateDistrict,state,6
009,21,21009-upper,9,upper,StateDistrict,state,9
027,21,21027-upper,27,upper,StateDistrict,state,27
007,21,21007-upper,7,upper,StateDistrict,state,7
017,21,21017-upper,17,upper,StateDistrict,state,17
022,21,21022-upper,22,upper,StateDistrict,state,22
029,21,21029-upper,29,upper,StateDistrict,state,29
035,21,21035-upper,35,upper,StateDistrict,state,35
008,21,21008-upper,8,upper,StateDistrict,state,8
