code,state_code,full_code,name,chamber,type,level,open_states_name
012,22,22012-lower,12,lower,StateDistrict,state,12
019,22,22019-lower,19,lower,StateDistrict,state,19
020,22,22020-lower,20,lower,StateDistrict,state,20
022,22,22022-lower,22,lower,StateDistrict,state,22
024,22,22024-lower,24,lower,StateDistrict,state,24
027,22,22027-lower,27,lower,StateDistrict,state,27
028,22,22028-lower,28,lower,StateDistrict,state,28
030,22,22030-lower,30,lower,StateDistrict,state,30
031,22,22031-lower,31,lower,StateDistrict,state,31
032,22,22032-lower,32,lower,StateDistrict,state,32
035,22,22035-lower,35,lower,StateDistrict,state,35
037,22,22037-lower,37,lower,StateDistrict,state,37
038,22,22038-lower,38,lower,StateDistrict,state,38
040,22,22040-lower,40,lower,StateDistrict,state,40
095,22,22095-lower,95,lower,StateDistrict,state,95
047,22,22047-lower,47,lower,StateDistrict,state,47
048,22,22048-lower,48,lower,StateDistrict,state,48
049,22,22049-lower,49,lower,StateDistrict,state,49
051,22,22051-lower,51,lower,StateDistrict,state,51
054,22,22054-lower,54,lower,StateDistrict,state,54
056,22,22056-lower,56,lower,StateDistrict,state,56
057,22,22057-lower,57,lower,StateDistrict,state,57
062,22,22062-lower,62,lower,StateDistrict,state,62
064,22,22064-lower,64,lower,StateDistrict,state,64
071,22,22071-lower,71,lower,StateDistrict,state,71
072,22,22072-lower,72,lower,StateDistrict,state,72
074,22,22074-lower,74,lower,StateDistrict,state,74
081,22,22081-lower,81,lower,StateDistrict,state,81
086,22,22086-lower,86,lower,StateDistrict,state,86
009,22,22009-lower,9,lower,StateDistrict,state,9
096,22,22096-lower,96,lower,StateDistrict,state,96
105,22,22105-lower,105,lower,StateDistrict,state,105
013,22,22013-lower,13,lower,StateDistrict,state,13
102,22,22102-lower,102,lower,StateDistrict,state,102
103,22,22103-lower,103,lower,StateDistrict,state,103
104,22,22104-lower,104,lower,StateDistrict,state,104
011,22,22011-lower,11,lower,StateDistrict,state,11
016,22,22016-lower,16,lower,StateDistrict,state,16
018,22,22018-lower,18,lower,StateDistrict,state,18
021,22,22021-lower,21,lower,StateDistrict,state,21
055,22,22055-lower,55,lower,StateDistrict,state,55
003,22,22003-lower,3,lower,StateDistrict,state,3
036,22,22036-lower,36,lower,StateDistrict,state,36
039,22,22039-lower,39,lower,StateDistrict,state,39
041,22,22041-lower,41,lower,StateDistrict,state,41
004,22,22004-lower,4,lower,StateDistrict,state,4
043,22,22043-lower,43,lower,StateDistrict,state,43
044,22,22044-lower,44,lower,StateDistrict,state,44
045,22,22045-lower,45,lower,StateDistrict,state,45
050,22,22050-lower,50,lower,StateDistrict,state,50
005,22,22005-lower,5,lower,StateDistrict,state,5
058,22,22058-lower,58,lower,StateDistrict,state,58
059,22,22059-lower,59,lower,StateDistrict,state,59
060,22,22060-lower,60,lower,StateDistrict,state,60
006,22,22006-lower,6,lower,StateDistrict,state,6
063,22,22063-lower,63,lower,StateDistrict,state,63
065,22,22065-lower,65,lower,StateDistrict,state,65
067,22,22067-lower,67,lower,StateDistrict,state,67
069,22,22069-lower,69,lower,StateDistrict,state,69
070,22,22070-lower,70,lower,StateDistrict,state,70
007,22,22007-lower,7,lower,StateDistrict,state,7
076,22,22076-lower,76,lower,StateDistrict,state,76
077,22,22077-lower,77,lower,StateDistrict,state,77
078,22,22078-lower,78,lower,StateDistrict,state,78
079,22,22079-lower,79,lower,StateDistrict,state,79
008,22,22008-lower,8,lower,StateDistrict,state,8
017,22,22017-lower,17,lower,StateDistrict,state,17
083,22,22083-lower,83,lower,StateDistrict,state,83
085,22,22085-lower,85,lower,StateDistrict,state,85
088,22,22088-lower,88,lower,StateDistrict,state,88
089,22,22089-lower,89,lower,StateDistrict,state,89
090,22,22090-lower,90,lower,StateDistrict,state,90
091,22,22091-lower,91,lower,StateDistrict,state,91
092,22,22092-lower,92,lower,StateDistrict,state,92
094,22,22094-lower,94,lower,StateDistrict,state,94
097,22,22097-lower,97,lower,StateDistrict,state,97
098,22,22098-lower,98,lower,StateDistrict,state,98
099,22,22099-lower,99,lower,StateDistrict,state,99
002,22,22002-lower,2,lower,StateDistrict,state,2
029,22,22029-lower,29,lower,StateDistrict,state,29
073,22,22073-lower,73,lower,StateDistrict,state,73
082,22,22082-lower,82,lower,StateDistrict,state,82
101,22,22101-lower,101,lower,StateDistrict,state,101
033,22,22033-lower,33,lower,StateDistrict,state,33
100,22,22100-lower,100,lower,StateDistrict,state,100
010,22,22010-lower,10,lower,StateDistrict,state,10
014,22,22014-lower,14,lower,StateDistrict,state,14
015,22,22015-lower,15,lower,StateDistrict,state,15
023,22,22023-lower,23,lower,StateDistrict,state,23
025,22,22025-lower,25,lower,StateDistrict,state,25
026,22,22026-lower,26,lower,StateDistrict,state,26
034,22,22034-lower,34,lower,StateDistrict,state,34
042,22,22042-lower,42,lower,StateDistrict,state,42
046,22,22046-lower,46,lower,StateDistrict,state,46
052,22,22052-lower,52,lower,StateDistrict,state,52
053,22,22053-lower,53,lower,StateDistrict,state,53
061,22,22061-lower,61,lower,StateDistrict,state,61
066,22,22066-lower,66,lower,StateDistrict,state,66
068,22,22068-lower,68,lower,StateDistrict,state,68
075,22,22075-lower,75,lower,StateDistrict,state,75
080,22,22080-lower,80,lower,StateDistrict,state,80
084,22,22084-lower,84,lower,StateDistrict,state,84
087,22,22087-lower,87,lower,StateDistrict,state,87
093,22,22093-lower,93,lower,StateDistrict,state,93
001,22,22001-lower,1,lower,StateDistrict,state,1
