code,state_code,full_code,name,chamber,type,level,open_states_name
018,22,22018-upper,18,upper,StateDistrict,state,18
027,22,22027-upper,27,upper,StateDistrict,state,27
030,22,22030-upper,30,upper,StateDistrict,state,30
015,22,22015-upper,15,upper,StateDistrict,state,15
013,22,22013-upper,13,upper,StateDistrict,state,13
017,22,22017-upper,17,upper,StateDistrict,state,17
019,22,22019-upper,19,upper,StateDistrict,state,19
032,22,22032-upper,32,upper,StateDistrict,state,32
036,22,22036-upper,36,upper,StateDistrict,state,36
037,22,22037-upper,37,upper,StateDistrict,state,37
006,22,22006-upper,6,upper,StateDistrict,state,6
020,22,22020-upper,20,upper,StateDistrict,state,20
024,22,22024-upper,24,upper,StateDistrict,state,24
025,22,22025-upper,25,upper,StateDistrict,state,25
028,22,22028-upper,28,upper,StateDistrict,state,28
029,22,22029-upper,29,upper,StateDistrict,state,29
003,22,22003-upper,3,upper,StateDistrict,state,3
033,22,22033-upper,33,upper,StateDistrict,state,33
038,22,22038-upper,38,upper,StateDistrict,state,38
039,22,22039-upper,39,upper,StateDistrict,state,39
016,22,22016-upper,16,upper,StateDistrict,state,16
035,22,22035-upper,35,upper,StateDistrict,state,35
001,22,22001-upper,1,upper,StateDistrict,state,1
012,22,22012-upper,12,upper,StateDistrict,state,12
014,22,22014-upper,14,upper,StateDistrict,state,14
021,22,22021-upper,21,upper,StateDistrict,state,21
002,22,22002-upper,2,upper,StateDistrict,state,2
023,22,22023-upper,23,upper,StateDistrict,state,23
005,22,22005-upper,5,upper,StateDistrict,state,5
007,22,22007-upper,7,upper,StateDistrict,state,7
009,22,22009-upper,9,upper,StateDistrict,state,9
010,22,22010-upper,10,upper,StateDistrict,state,10
011,22,22011-upper,11,upper,StateDistrict,state,11
034,22,22034-upper,34,upper,StateDistrict,state,34
004,22,22004-upper,4,upper,StateDistrict,state,4
022,22,22022-upper,22,upper,StateDistrict,state,22
026,22,22026-upper,26,upper,StateDistrict,state,26
031,22,22031-upper,31,upper,StateDistrict,state,31
008,22,22008-upper,8,upper,StateDistrict,state,8
