code,state_code,full_code,name,chamber,type,level,open_states_name
102,23,23102-lower,102,lower,StateDistrict,state,102
103,23,23103-lower,103,lower,StateDistrict,state,103
104,23,23104-lower,104,lower,StateDistrict,state,104
109,23,23109-lower,109,lower,StateDistrict,state,109
110,23,23110-lower,110,lower,StateDistrict,state,110
115,23,23115-lower,115,lower,StateDistrict,state,115
117,23,23117-lower,117,lower,StateDistrict,state,117
118,23,23118-lower,118,lower,StateDistrict,state,118
120,23,23120-lower,120,lower,StateDistrict,state,120
122,23,23122-lower,122,lower,StateDistrict,state,122
019,23,23019-lower,19,lower,StateDistrict,state,19
123,23,23123-lower,123,lower,StateDistrict,state,123
128,23,23128-lower,128,lower,StateDistrict,state,128
129,23,23129-lower,129,lower,StateDistrict,state,129
131,23,23131-lower,131,lower,StateDistrict,state,131
013,23,23013-lower,13,lower,StateDistrict,state,13
021,23,23021-lower,21,lower,StateDistrict,state,21
136,23,23136-lower,136,lower,StateDistrict,state,136
137,23,23137-lower,137,lower,StateDistrict,state,137
138,23,23138-lower,138,lower,StateDistrict,state,138
139,23,23139-lower,139,lower,StateDistrict,state,139
141,23,23141-lower,141,lower,StateDistrict,state,141
142,23,23142-lower,142,lower,StateDistrict,state,142
143,23,23143-lower,143,lower,StateDistrict,state,143
144,23,23144-lower,144,lower,StateDistrict,state,144
148,23,23148-lower,148,lower,StateDistrict,state,148
149,23,23149-lower,149,lower,StateDistrict,state,149
150,23,23150-lower,150,lower,StateDistrict,state,150
151,23,23151-lower,151,lower,StateDistrict,state,151
015,23,23015-lower,15,lower,StateDistrict,state,15
002,23,23002-lower,2,lower,StateDistrict,state,2
022,23,23022-lower,22,lower,StateDistrict,state,22
024,23,23024-lower,24,lower,StateDistrict,state,24
025,23,23025-lower,25,lower,StateDistrict,state,25
030,23,23030-lower,30,lower,StateDistrict,state,30
031,23,23031-lower,31,lower,StateDistrict,state,31
034,23,23034-lower,34,lower,StateDistrict,state,34
036,23,23036-lower,36,lower,StateDistrict,state,36
094,23,23094-lower,94,lower,StateDistrict,state,94
041,23,23041-lower,41,lower,StateDistrict,state,41
044,23,23044-lower,44,lower,StateDistrict,state,44
054,23,23054-lower,54,lower,StateDistrict,state,54
059,23,23059-lower,59,lower,StateDistrict,state,59
060,23,23060-lower,60,lower,StateDistrict,state,60
064,23,23064-lower,64,lower,StateDistrict,state,64
065,23,23065-lower,65,lower,StateDistrict,state,65
068,23,23068-lower,68,lower,StateDistrict,state,68
070,23,23070-lower,70,lower,StateDistrict,state,70
071,23,23071-lower,71,lower,StateDistrict,state,71
074,23,23074-lower,74,lower,StateDistrict,state,74
079,23,23079-lower,79,lower,StateDistrict,state,79
082,23,23082-lower,82,lower,StateDistrict,state,82
083,23,23083-lower,83,lower,StateDistrict,state,83
087,23,23087-lower,87,lower,StateDistrict,state,87
009,23,23009-lower,9,lower,StateDistrict,state,9
095,23,23095-lower,95,lower,StateDistrict,state,95
097,23,23097-lower,97,lower,StateDistrict,state,97
098,23,23098-lower,98,lower,StateDistrict,state,98
100,23,23100-lower,100,lower,StateDistrict,state,100
135,23,23135-lower,135,lower,StateDistrict,state,135
121,23,23121-lower,121,lower,StateDistrict,state,121
106,23,23106-lower,106,lower,StateDistrict,state,106
111,23,23111-lower,111,lower,StateDistrict,state,111
011,23,23011-lower,11,lower,StateDistrict,state,11
147,23,23147-lower,147,lower,StateDistrict,state,147
113,23,23113-lower,113,lower,StateDistrict,state,113
114,23,23114-lower,114,lower,StateDistrict,state,114
001,23,23001-lower,1,lower,StateDistrict,state,1
018,23,23018-lower,18,lower,StateDistrict,state,18
124,23,23124-lower,124,lower,StateDistrict,state,124
125,23,23125-lower,125,lower,StateDistrict,state,125
130,23,23130-lower,130,lower,StateDistrict,state,130
132,23,23132-lower,132,lower,StateDistrict,state,132
134,23,23134-lower,134,lower,StateDistrict,state,134
014,23,23014-lower,14,lower,StateDistrict,state,14
026,23,23026-lower,26,lower,StateDistrict,state,26
017,23,23017-lower,17,lower,StateDistrict,state,17
020,23,23020-lower,20,lower,StateDistrict,state,20
003,23,23003-lower,3,lower,StateDistrict,state,3
072,23,23072-lower,72,lower,StateDistrict,state,72
033,23,23033-lower,33,lower,StateDistrict,state,33
037,23,23037-lower,37,lower,StateDistrict,state,37
038,23,23038-lower,38,lower,StateDistrict,state,38
039,23,23039-lower,39,lower,StateDistrict,state,39
040,23,23040-lower,40,lower,StateDistrict,state,40
042,23,23042-lower,42,lower,StateDistrict,state,42
043,23,23043-lower,43,lower,StateDistrict,state,43
045,23,23045-lower,45,lower,StateDistrict,state,45
046,23,23046-lower,46,lower,StateDistrict,state,46
048,23,23048-lower,48,lower,StateDistrict,state,48
050,23,23050-lower,50,lower,StateDistrict,state,50
051,23,23051-lower,51,lower,StateDistrict,state,51
005,23,23005-lower,5,lower,StateDistrict,state,5
053,23,23053-lower,53,lower,StateDistrict,state,53
055,23,23055-lower,55,lower,StateDistrict,state,55
056,23,23056-lower,56,lower,StateDistrict,state,56
057,23,23057-lower,57,lower,StateDistrict,state,57
061,23,23061-lower,61,lower,StateDistrict,state,61
006,23,23006-lower,6,lower,StateDistrict,state,6
062,23,23062-lower,62,lower,StateDistrict,state,62
063,23,23063-lower,63,lower,StateDistrict,state,63
069,23,23069-lower,69,lower,StateDistrict,state,69
007,23,23007-lower,7,lower,StateDistrict,state,7
073,23,23073-lower,73,lower,StateDistrict,state,73
076,23,23076-lower,76,lower,StateDistrict,state,76
078,23,23078-lower,78,lower,StateDistrict,state,78
080,23,23080-lower,80,lower,StateDistrict,state,80
081,23,23081-lower,81,lower,StateDistrict,state,81
008,23,23008-lower,8,lower,StateDistrict,state,8
085,23,23085-lower,85,lower,StateDistrict,state,85
086,23,23086-lower,86,lower,StateDistrict,state,86
088,23,23088-lower,88,lower,StateDistrict,state,88
089,23,23089-lower,89,lower,StateDistrict,state,89
091,23,23091-lower,91,lower,StateDistrict,state,91
093,23,23093-lower,93,lower,StateDistrict,state,93
096,23,23096-lower,96,lower,StateDistrict,state,96
099,23,23099-lower,99,lower,StateDistrict,state,99
028,23,23028-lower,28,lower,StateDistrict,state,28
029,23,23029-lower,29,lower,StateDistrict,state,29
112,23,23112-lower,112,lower,StateDistrict,state,112
105,23,23105-lower,105,lower,StateDistrict,state,105
101,23,23101-lower,101,lower,StateDistrict,state,101
107,23,23107-lower,107,lower,StateDistrict,state,107
108,23,23108-lower,108,lower,StateDistrict,state,108
126,23,23126-lower,126,lower,StateDistrict,state,126
010,23,23010-lower,10,lower,StateDistrict,state,10
116,23,23116-lower,116,lower,StateDistrict,state,116
119,23,23119-lower,119,lower,StateDistrict,state,119
012,23,23012-lower,12,lower,StateDistrict,state,12
127,23,23127-lower,127,lower,StateDistrict,state,127
133,23,23133-lower,133,lower,StateDistrict,state,133
140,23,23140-lower,140,lower,StateDistrict,state,140
145,23,23145-lower,145,lower,StateDistrict,state,145
146,23,23146-lower,146,lower,StateDistrict,state,146
016,23,23016-lower,16,lower,StateDistrict,state,16
023,23,23023-lower,23,lower,StateDistrict,state,23
027,23,23027-lower,27,lower,StateDistrict,state,27
032,23,23032-lower,32,lower,StateDistrict,state,32
035,23,23035-lower,35,lower,StateDistrict,state,35
