code,state_code,full_code,name,chamber,type,level,open_states_name
023,23,23023-upper,23,upper,StateDistrict,state,23
024,23,23024-upper,24,upper,StateDistrict,state,24
033,23,23033-upper,33,upper,StateDistrict,state,33
012,23,23012-upper,12,upper,StateDistrict,state,12
034,23,23034-upper,34,upper,StateDistrict,state,34
006,23,23006-upper,6,upper,StateDistrict,state,6
008,23,23008-upper,8,upper,StateDistrict,state,8
018,23,23018-upper,18,upper,StateDistrict,state,18
003,23,23003-upper,3,upper,StateDistrict,state,3
004,23,23004-upper,4,upper,StateDistrict,state,4
028,23,23028-upper,28,upper,StateDistrict,state,28
009,23,23009-upper,9,upper,StateDistrict,state,9
010,23,23010-upper,10,upper,StateDistrict,state,10
001,23,23001-upper,1,upper,StateDistrict,state,1
013,23,23013-upper,13,upper,StateDistrict,state,13
014,23,23014-upper,14,upper,StateDistrict,state,14
015,23,23015-upper,15,upper,StateDistrict,state,15
020,23,23020-upper,20,upper,StateDistrict,state,20
021,23,23021-upper,21,upper,StateDistrict,state,21
002,23,23002-upper,2,upper,StateDistrict,state,2
022,23,23022-upper,22,upper,StateDistrict,state,22
026,23,23026-upper,26,upper,StateDistrict,state,26
027,23,23027-upper,27,upper,StateDistrict,state,27
029,23,23029-upper,29,upper,StateDistrict,state,29
030,23,23030-upper,30,upper,StateDistrict,state,30
031,23,23031-upper,31,upper,StateDistrict,state,31
035,23,23035-upper,35,upper,StateDistrict,state,35
016,23,23016-upper,16,upper,StateDistrict,state,16
032,23,23032-upper,32,upper,StateDistrict,state,32
005,23,23005-upper,5,upper,StateDistrict,state,5
011,23,23011-upper,11,upper,StateDistrict,state,11
017,23,23017-upper,17,upper,StateDistrict,state,17
019,23,23019-upper,19,upper,StateDistrict,state,19
025,23,23025-upper,25,upper,StateDistrict,state,25
007,23,23007-upper,7,upper,StateDistrict,state,7
