code,state_code,full_code,name,chamber,type,level,open_states_name
01B,24,2401B-lower,1B,lower,StateDistrict,state,1B
01C,24,2401C-lower,1C,lower,StateDistrict,state,1C
02B,24,2402B-lower,2B,lower,StateDistrict,state,2B
03A,24,2403A-lower,3A,lower,StateDistrict,state,3A
03B,24,2403B-lower,3B,lower,StateDistrict,state,3B
004,24,24004-lower,4,lower,StateDistrict,state,4
008,24,24008-lower,8,lower,StateDistrict,state,8
010,24,24010-lower,10,lower,StateDistrict,state,10
011,24,24011-lower,11,lower,StateDistrict,state,11
012,24,24012-lower,12,lower,StateDistrict,state,12
014,24,24014-lower,14,lower,StateDistrict,state,14
015,24,24015-lower,15,lower,StateDistrict,state,15
017,24,24017-lower,17,lower,StateDistrict,state,17
018,24,24018-lower,18,lower,StateDistrict,state,18
019,24,24019-lower,19,lower,StateDistrict,state,19
020,24,24020-lower,20,lower,StateDistrict,state,20
022,24,24022-lower,22,lower,StateDistrict,state,22
23A,24,2423A-lower,23A,lower,StateDistrict,state,23A
026,24,24026-lower,26,lower,StateDistrict,state,26
27A,24,2427A-lower,27A,lower,StateDistrict,state,27A
23B,24,2423B-lower,23B,lower,StateDistrict,state,23B
024,24,24024-lower,24,lower,StateDistrict,state,24
29B,24,2429B-lower,29B,lower,StateDistrict,state,29B
033,24,24033-lower,33,lower,StateDistrict,state,33
27B,24,2427B-lower,27B,lower,StateDistrict,state,27B
27C,24,2427C-lower,27C,lower,StateDistrict,state,27C
028,24,24028-lower,28,lower,StateDistrict,state,28
34A,24,2434A-lower,34A,lower,StateDistrict,state,34A
29C,24,2429C-lower,29C,lower,StateDistrict,state,29C
30A,24,2430A-lower,30A,lower,StateDistrict,state,30A
30B,24,2430B-lower,30B,lower,StateDistrict,state,30B
31B,24,2431B-lower,31B,lower,StateDistrict,state,31B
032,24,24032-lower,32,lower,StateDistrict,state,32
37A,24,2437A-lower,37A,lower,StateDistrict,state,37A
040,24,24040-lower,40,lower,StateDistrict,state,40
34B,24,2434B-lower,34B,lower,StateDistrict,state,34B
35B,24,2435B-lower,35B,lower,StateDistrict,state,35B
036,24,24036-lower,36,lower,StateDistrict,state,36
42A,24,2442A-lower,42A,lower,StateDistrict,state,42A
37B,24,2437B-lower,37B,lower,StateDistrict,state,37B
38B,24,2438B-lower,38B,lower,StateDistrict,state,38B
38C,24,2438C-lower,38C,lower,StateDistrict,state,38C
039,24,24039-lower,39,lower,StateDistrict,state,39
44A,24,2444A-lower,44A,lower,StateDistrict,state,44A
47A,24,2447A-lower,47A,lower,StateDistrict,state,47A
42B,24,2442B-lower,42B,lower,StateDistrict,state,42B
043,24,24043-lower,43,lower,StateDistrict,state,43
44B,24,2444B-lower,44B,lower,StateDistrict,state,44B
046,24,24046-lower,46,lower,StateDistrict,state,46
47B,24,2447B-lower,47B,lower,StateDistrict,state,47B
007,24,24007-lower,7,lower,StateDistrict,state,7
01A,24,2401A-lower,1A,lower,StateDistrict,state,1A
006,24,24006-lower,6,lower,StateDistrict,state,6
013,24,24013-lower,13,lower,StateDistrict,state,13
02A,24,2402A-lower,2A,lower,StateDistrict,state,2A
005,24,24005-lower,5,lower,StateDistrict,state,5
09A,24,2409A-lower,9A,lower,StateDistrict,state,9A
09B,24,2409B-lower,9B,lower,StateDistrict,state,9B
016,24,24016-lower,16,lower,StateDistrict,state,16
021,24,24021-lower,21,lower,StateDistrict,state,21
025,24,24025-lower,25,lower,StateDistrict,state,25
29A,24,2429A-lower,29A,lower,StateDistrict,state,29A
31A,24,2431A-lower,31A,lower,StateDistrict,state,31A
35A,24,2435A-lower,35A,lower,StateDistrict,state,35A
38A,24,2438A-lower,38A,lower,StateDistrict,state,38A
041,24,24041-lower,41,lower,StateDistrict,state,41
045,24,24045-lower,45,lower,StateDistrict,state,45
