code,state_code,full_code,name,chamber,type,level,open_states_name
001,24,24001-upper,1,upper,StateDistrict,state,1
002,24,24002-upper,2,upper,StateDistrict,state,2
005,24,24005-upper,5,upper,StateDistrict,state,5
006,24,24006-upper,6,upper,StateDistrict,state,6
011,24,24011-upper,11,upper,StateDistrict,state,11
014,24,24014-upper,14,upper,StateDistrict,state,14
018,24,24018-upper,18,upper,StateDistrict,state,18
025,24,24025-upper,25,upper,StateDistrict,state,25
026,24,24026-upper,26,upper,StateDistrict,state,26
028,24,24028-upper,28,upper,StateDistrict,state,28
031,24,24031-upper,31,upper,StateDistrict,state,31
032,24,24032-upper,32,upper,StateDistrict,state,32
035,24,24035-upper,35,upper,StateDistrict,state,35
036,24,24036-upper,36,upper,StateDistrict,state,36
040,24,24040-upper,40,upper,StateDistrict,state,40
042,24,24042-upper,42,upper,StateDistrict,state,42
043,24,24043-upper,43,upper,StateDistrict,state,43
045,24,24045-upper,45,upper,StateDistrict,state,45
046,24,24046-upper,46,upper,StateDistrict,state,46
007,24,24007-upper,7,upper,StateDistrict,state,7
008,24,24008-upper,8,upper,StateDistrict,state,8
009,24,24009-upper,9,upper,StateDistrict,state,9
012,24,24012-upper,12,upper,StateDistrict,state,12
013,24,24013-upper,13,upper,StateDistrict,state,13
015,24,24015-upper,15,upper,StateDistrict,state,15
016,24,24016-upper,16,upper,StateDistrict,state,16
019,24,24019-upper,19,upper,StateDistrict,state,19
020,24,24020-upper,20,upper,StateDistrict,state,20
022,24,24022-upper,22,upper,StateDistrict,state,22
023,24,24023-upper,23,upper,StateDistrict,state,23
027,24,24027-upper,27,upper,StateDistrict,state,27
029,24,24029-upper,29,upper,StateDistrict,state,29
033,24,24033-upper,33,upper,StateDistrict,state,33
034,24,24034-upper,34,upper,StateDistrict,state,34
037,24,24037-upper,37,upper,StateDistrict,state,37
041,24,24041-upper,41,upper,StateDistrict,state,41
044,24,24044-upper,44,upper,StateDistrict,state,44
047,24,24047-upper,47,upper,StateDistrict,state,47
003,24,24003-upper,3,upper,StateDistrict,state,3
021,24,24021-upper,21,upper,StateDistrict,state,21
030,24,24030-upper,30,upper,StateDistrict,state,30
038,24,24038-upper,38,upper,StateDistrict,state,38
004,24,24004-upper,4,upper,StateDistrict,state,4
010,24,24010-upper,10,upper,StateDistrict,state,10
017,24,24017-upper,17,upper,StateDistrict,state,17
024,24,24024-upper,24,upper,StateDistrict,state,24
039,24,24039-upper,39,upper,StateDistrict,state,39
