code,state_code,full_code,name,chamber,type,level,open_states_name
092,25,25092-lower,10th Essex,lower,StateDistrict,state,Tenth Essex
166,25,25166-lower,10th Norfolk,lower,StateDistrict,state,Tenth Norfolk
168,25,25168-lower,12th Norfolk,lower,StateDistrict,state,Twelfth Norfolk
171,25,25171-lower,15th Norfolk,lower,StateDistrict,state,Fifteenth Norfolk
218,25,25218-lower,16th Worcester,lower,StateDistrict,state,Sixteenth Worcester
219,25,25219-lower,17th Worcester,lower,StateDistrict,state,Seventeenth Worcester
060,25,25060-lower,1st Barnstable,lower,StateDistrict,state,First Barnstable
118,25,25118-lower,1st Middlesex,lower,StateDistrict,state,First Middlesex
140,25,25140-lower,23rd Middlesex,lower,StateDistrict,state,Twenty-Third Middlesex
145,25,25145-lower,28th Middlesex,lower,StateDistrict,state,Twenty-Eighth Middlesex
066,25,25066-lower,2nd Berkshire,lower,StateDistrict,state,Second Berkshire
148,25,25148-lower,31st Middlesex,lower,StateDistrict,state,Thirty-First Middlesex
152,25,25152-lower,35th Middlesex,lower,StateDistrict,state,Thirty-Fifth Middlesex
062,25,25062-lower,3rd Barnstable,lower,StateDistrict,state,Third Barnstable
067,25,25067-lower,3rd Berkshire,lower,StateDistrict,state,Third Berkshire
120,25,25120-lower,3rd Middlesex,lower,StateDistrict,state,Third Middlesex
159,25,25159-lower,3rd Norfolk,lower,StateDistrict,state,Third Norfolk
186,25,25186-lower,3rd Suffolk,lower,StateDistrict,state,Third Suffolk
205,25,25205-lower,3rd Worcester,lower,StateDistrict,state,Third Worcester
063,25,25063-lower,4th Barnstable,lower,StateDistrict,state,Fourth Barnstable
187,25,25187-lower,4th Suffolk,lower,StateDistrict,state,Fourth Suffolk
156,25,25156-lower,5th Barnstable,lower,StateDistrict,state,Fifth Barnstable
073,25,25073-lower,5th Bristol,lower,StateDistrict,state,Fifth Bristol
106,25,25106-lower,5th Hampden,lower,StateDistrict,state,Fifth Hampden
176,25,25176-lower,5th Plymouth,lower,StateDistrict,state,Fifth Plymouth
107,25,25107-lower,6th Hampden,lower,StateDistrict,state,Sixth Hampden
091,25,25091-lower,9th Essex,lower,StateDistrict,state,Ninth Essex
180,25,25180-lower,9th Plymouth,lower,StateDistrict,state,Ninth Plymouth
193,25,25193-lower,10th Suffolk,lower,StateDistrict,state,Tenth Suffolk
212,25,25212-lower,10th Worcester,lower,StateDistrict,state,Tenth Worcester
079,25,25079-lower,11th Bristol,lower,StateDistrict,state,Eleventh Bristol
093,25,25093-lower,11th Essex,lower,StateDistrict,state,Eleventh Essex
167,25,25167-lower,11th Norfolk,lower,StateDistrict,state,Eleventh Norfolk
182,25,25182-lower,11th Plymouth,lower,StateDistrict,state,Eleventh Plymouth
194,25,25194-lower,11th Suffolk,lower,StateDistrict,state,Eleventh Suffolk
094,25,25094-lower,12th Essex,lower,StateDistrict,state,Twelfth Essex
081,25,25081-lower,13th Bristol,lower,StateDistrict,state,Thirteenth Bristol
095,25,25095-lower,13th Essex,lower,StateDistrict,state,Thirteenth Essex
130,25,25130-lower,13th Middlesex,lower,StateDistrict,state,Thirteenth Middlesex
082,25,25082-lower,14th Bristol,lower,StateDistrict,state,Fourteenth Bristol
097,25,25097-lower,15th Essex,lower,StateDistrict,state,Fifteenth Essex
132,25,25132-lower,15th Middlesex,lower,StateDistrict,state,Fifteenth Middlesex
217,25,25217-lower,15th Worcester,lower,StateDistrict,state,Fifteenth Worcester
098,25,25098-lower,16th Essex,lower,StateDistrict,state,Sixteenth Essex
133,25,25133-lower,16th Middlesex,lower,StateDistrict,state,Sixteenth Middlesex
114,25,25114-lower,18th Essex,lower,StateDistrict,state,Eighteenth Essex
