state_code,code,full_code,name,chamber
25,001,25001-upper,First Suffolk,upper
25,020,25020-upper,First Essex & Middlesex,upper
25,039,25039-upper,Plymouth & Barnstable,upper
25,006,25006-upper,"Hampshire, Franklin & Worcester",upper
25,032,25032-upper,"Norfolk, Bristol & Plymouth",upper
25,017,25017-upper,"Norfolk, Bristol & Middlesex",upper
25,031,25031-upper,Bristol & Norfolk,upper
25,040,25040-upper,Cape & Islands,upper
25,030,25030-upper,Norfolk & Suffolk,upper
25,016,25016-upper,Third Middlesex,upper
25,012,25012-upper,Worcester & Norfolk,upper
25,007,25007-upper,First Hampden & Hampshire,upper
25,008,25008-upper,"Worcester, Hampden, Hampshire & Middlesex",upper
25,036,25036-upper,First Plymouth & Bristol,upper
25,026,25026-upper,Middlesex & Suffolk,upper
25,009,25009-upper,Worcester & Middlesex,upper
25,034,25034-upper,Plymouth & Norfolk,upper
25,019,25019-upper,First Essex,upper
25,022,25022-upper,Third Essex,upper
25,037,25037-upper,First Bristol & Plymouth,upper
25,033,25033-upper,Norfolk & Plymouth,upper
25,004,25004-upper,"Berkshire, Hampshire, Franklin & Hampden",upper
25,029,25029-upper,First Middlesex & Norfolk,upper
25,028,25028-upper,Second Suffolk & Middlesex,upper
25,014,25014-upper,Middlesex & Worcester,upper
25,025,25025-upper,Second Middlesex,upper
25,035,25035-upper,Second Plymouth & Bristol,upper
25,010,25010-upper,First Worcester,upper
25,038,25038-upper,Second Bristol & Plymouth,upper
25,021,25021-upper,Second Essex,upper
25,027,25027-upper,First Suffolk & Middlesex,upper
25,023,25023-upper,Fifth Middlesex,upper
25,005,25005-upper,Second Hampden & Hampshire,upper
25,024,25024-upper,Fourth Middlesex,upper
25,013,25013-upper,First Middlesex,upper
25,002,25002-upper,Second Suffolk,upper
25,018,25018-upper,Second Essex & Middlesex,upper
25,011,25011-upper,Second Worcester,upper
25,003,25003-upper,Hampden,upper
25,015,25015-upper,Second Middlesex & Norfolk,upper
