code,state_code,full_code,name,chamber,type,level,open_states_name
101,26,26101-lower,101,lower,StateDistrict,state,101
100,26,26100-lower,100,lower,StateDistrict,state,100
010,26,26010-lower,10,lower,StateDistrict,state,10
013,26,26013-lower,13,lower,StateDistrict,state,13
104,26,26104-lower,104,lower,StateDistrict,state,104
105,26,26105-lower,105,lower,StateDistrict,state,105
106,26,26106-lower,106,lower,StateDistrict,state,106
108,26,26108-lower,108,lower,StateDistrict,state,108
109,26,26109-lower,109,lower,StateDistrict,state,109
110,26,26110-lower,110,lower,StateDistrict,state,110
011,26,26011-lower,11,lower,StateDistrict,state,11
014,26,26014-lower,14,lower,StateDistrict,state,14
015,26,26015-lower,15,lower,StateDistrict,state,15
019,26,26019-lower,19,lower,StateDistrict,state,19
020,26,26020-lower,20,lower,StateDistrict,state,20
021,26,26021-lower,21,lower,StateDistrict,state,21
022,26,26022-lower,22,lower,StateDistrict,state,22
026,26,26026-lower,26,lower,StateDistrict,state,26
027,26,26027-lower,27,lower,StateDistrict,state,27
028,26,26028-lower,28,lower,StateDistrict,state,28
029,26,26029-lower,29,lower,StateDistrict,state,29
030,26,26030-lower,30,lower,StateDistrict,state,30
033,26,26033-lower,33,lower,StateDistrict,state,33
035,26,26035-lower,35,lower,StateDistrict,state,35
037,26,26037-lower,37,lower,StateDistrict,state,37
039,26,26039-lower,39,lower,StateDistrict,state,39
042,26,26042-lower,42,lower,StateDistrict,state,42
054,26,26054-lower,54,lower,StateDistrict,state,54
041,26,26041-lower,41,lower,StateDistrict,state,41
004,26,26004-lower,4,lower,StateDistrict,state,4
082,26,26082-lower,82,lower,StateDistrict,state,82
043,26,26043-lower,43,lower,StateDistrict,state,43
047,26,26047-lower,47,lower,StateDistrict,state,47
048,26,26048-lower,48,lower,StateDistrict,state,48
051,26,26051-lower,51,lower,StateDistrict,state,51
005,26,26005-lower,5,lower,StateDistrict,state,5
092,26,26092-lower,92,lower,StateDistrict,state,92
056,26,26056-lower,56,lower,StateDistrict,state,56
057,26,26057-lower,57,lower,StateDistrict,state,57
060,26,26060-lower,60,lower,StateDistrict,state,60
061,26,26061-lower,61,lower,StateDistrict,state,61
062,26,26062-lower,62,lower,StateDistrict,state,62
063,26,26063-lower,63,lower,StateDistrict,state,63
064,26,26064-lower,64,lower,StateDistrict,state,64
065,26,26065-lower,65,lower,StateDistrict,state,65
067,26,26067-lower,67,lower,StateDistrict,state,67
068,26,26068-lower,68,lower,StateDistrict,state,68
070,26,26070-lower,70,lower,StateDistrict,state,70
071,26,26071-lower,71,lower,StateDistrict,state,71
073,26,26073-lower,73,lower,StateDistrict,state,73
074,26,26074-lower,74,lower,StateDistrict,state,74
076,26,26076-lower,76,lower,StateDistrict,state,76
078,26,26078-lower,78,lower,StateDistrict,state,78
080,26,26080-lower,80,lower,StateDistrict,state,80
081,26,26081-lower,81,lower,StateDistrict,state,81
008,26,26008-lower,8,lower,StateDistrict,state,8
084,26,26084-lower,84,lower,StateDistrict,state,84
085,26,26085-lower,85,lower,StateDistrict,state,85
086,26,26086-lower,86,lower,StateDistrict,state,86
087,26,26087-lower,87,lower,StateDistrict,state,87
088,26,26088-lower,88,lower,StateDistrict,state,88
009,26,26009-lower,9,lower,StateDistrict,state,9
102,26,26102-lower,102,lower,StateDistrict,state,102
093,26,26093-lower,93,lower,StateDistrict,state,93
095,26,26095-lower,95,lower,StateDistrict,state,95
097,26,26097-lower,97,lower,StateDistrict,state,97
098,26,26098-lower,98,lower,StateDistrict,state,98
012,26,26012-lower,12,lower,StateDistrict,state,12
018,26,26018-lower,18,lower,StateDistrict,state,18
023,26,26023-lower,23,lower,StateDistrict,state,23
025,26,26025-lower,25,lower,StateDistrict,state,25
003,26,26003-lower,3,lower,StateDistrict,state,3
032,26,26032-lower,32,lower,StateDistrict,state,32
036,26,26036-lower,36,lower,StateDistrict,state,36
038,26,26038-lower,38,lower,StateDistrict,state,38
045,26,26045-lower,45,lower,StateDistrict,state,45
046,26,26046-lower,46,lower,StateDistrict,state,46
050,26,26050-lower,50,lower,StateDistrict,state,50
053,26,26053-lower,53,lower,StateDistrict,state,53
055,26,26055-lower,55,lower,StateDistrict,state,55
058,26,26058-lower,58,lower,StateDistrict,state,58
059,26,26059-lower,59,lower,StateDistrict,state,59
007,26,26007-lower,7,lower,StateDistrict,state,7
075,26,26075-lower,75,lower,StateDistrict,state,75
077,26,26077-lower,77,lower,StateDistrict,state,77
089,26,26089-lower,89,lower,StateDistrict,state,89
094,26,26094-lower,94,lower,StateDistrict,state,94
099,26,26099-lower,99,lower,StateDistrict,state,99
016,26,26016-lower,16,lower,StateDistrict,state,16
103,26,26103-lower,103,lower,StateDistrict,state,103
107,26,26107-lower,107,lower,StateDistrict,state,107
001,26,26001-lower,1,lower,StateDistrict,state,1
017,26,26017-lower,17,lower,StateDistrict,state,17
002,26,26002-lower,2,lower,StateDistrict,state,2
024,26,26024-lower,24,lower,StateDistrict,state,24
031,26,26031-lower,31,lower,StateDistrict,state,31
034,26,26034-lower,34,lower,StateDistrict,state,34
040,26,26040-lower,40,lower,StateDistrict,state,40
044,26,26044-lower,44,lower,StateDistrict,state,44
049,26,26049-lower,49,lower,StateDistrict,state,49
052,26,26052-lower,52,lower,StateDistrict,state,52
006,26,26006-lower,6,lower,StateDistrict,state,6
066,26,26066-lower,66,lower,StateDistrict,state,66
072,26,26072-lower,72,lower,StateDistrict,state,72
079,26,26079-lower,79,lower,StateDistrict,state,79
083,26,26083-lower,83,lower,StateDistrict,state,83
090,26,26090-lower,90,lower,StateDistrict,state,90
091,26,26091-lower,91,lower,StateDistrict,state,91
096,26,26096-lower,96,lower,StateDistrict,state,96
069,26,26069-lower,69,lower,StateDistrict,state,69
