code,state_code,full_code,name,chamber,type,level,open_states_name
010,26,26010-upper,10,upper,StateDistrict,state,10
012,26,26012-upper,12,upper,StateDistrict,state,12
018,26,26018-upper,18,upper,StateDistrict,state,18
019,26,26019-upper,19,upper,StateDistrict,state,19
022,26,26022-upper,22,upper,StateDistrict,state,22
024,26,26024-upper,24,upper,StateDistrict,state,24
027,26,26027-upper,27,upper,StateDistrict,state,27
003,26,26003-upper,3,upper,StateDistrict,state,3
032,26,26032-upper,32,upper,StateDistrict,state,32
033,26,26033-upper,33,upper,StateDistrict,state,33
037,26,26037-upper,37,upper,StateDistrict,state,37
004,26,26004-upper,4,upper,StateDistrict,state,4
007,26,26007-upper,7,upper,StateDistrict,state,7
009,26,26009-upper,9,upper,StateDistrict,state,9
011,26,26011-upper,11,upper,StateDistrict,state,11
001,26,26001-upper,1,upper,StateDistrict,state,1
013,26,26013-upper,13,upper,StateDistrict,state,13
014,26,26014-upper,14,upper,StateDistrict,state,14
016,26,26016-upper,16,upper,StateDistrict,state,16
020,26,26020-upper,20,upper,StateDistrict,state,20
021,26,26021-upper,21,upper,StateDistrict,state,21
002,26,26002-upper,2,upper,StateDistrict,state,2
023,26,26023-upper,23,upper,StateDistrict,state,23
028,26,26028-upper,28,upper,StateDistrict,state,28
029,26,26029-upper,29,upper,StateDistrict,state,29
030,26,26030-upper,30,upper,StateDistrict,state,30
031,26,26031-upper,31,upper,StateDistrict,state,31
034,26,26034-upper,34,upper,StateDistrict,state,34
038,26,26038-upper,38,upper,StateDistrict,state,38
005,26,26005-upper,5,upper,StateDistrict,state,5
006,26,26006-upper,6,upper,StateDistrict,state,6
017,26,26017-upper,17,upper,StateDistrict,state,17
025,26,26025-upper,25,upper,StateDistrict,state,25
036,26,26036-upper,36,upper,StateDistrict,state,36
015,26,26015-upper,15,upper,StateDistrict,state,15
026,26,26026-upper,26,upper,StateDistrict,state,26
035,26,26035-upper,35,upper,StateDistrict,state,35
008,26,26008-upper,8,upper,StateDistrict,state,8
