code,state_code,full_code,name,chamber,type,level,open_states_name
12A,27,2712A-lower,12A,lower,StateDistrict,state,12A
13A,27,2713A-lower,13A,lower,StateDistrict,state,13A
15B,27,2715B-lower,15B,lower,StateDistrict,state,15B
16B,27,2716B-lower,16B,lower,StateDistrict,state,16B
18B,27,2718B-lower,18B,lower,StateDistrict,state,18B
19A,27,2719A-lower,19A,lower,StateDistrict,state,19A
20A,27,2720A-lower,20A,lower,StateDistrict,state,20A
21B,27,2721B-lower,21B,lower,StateDistrict,state,21B
42B,27,2742B-lower,42B,lower,StateDistrict,state,42B
45B,27,2745B-lower,45B,lower,StateDistrict,state,45B
62B,27,2762B-lower,62B,lower,StateDistrict,state,62B
66A,27,2766A-lower,66A,lower,StateDistrict,state,66A
01A,27,2701A-lower,01A,lower,StateDistrict,state,1A
11B,27,2711B-lower,11B,lower,StateDistrict,state,11B
01B,27,2701B-lower,01B,lower,StateDistrict,state,1B
02A,27,2702A-lower,02A,lower,StateDistrict,state,2A
03A,27,2703A-lower,03A,lower,StateDistrict,state,3A
04B,27,2704B-lower,04B,lower,StateDistrict,state,4B
08B,27,2708B-lower,08B,lower,StateDistrict,state,8B
14A,27,2714A-lower,14A,lower,StateDistrict,state,14A
14B,27,2714B-lower,14B,lower,StateDistrict,state,14B
17B,27,2717B-lower,17B,lower,StateDistrict,state,17B
19B,27,2719B-lower,19B,lower,StateDistrict,state,19B
20B,27,2720B-lower,20B,lower,StateDistrict,state,20B
22B,27,2722B-lower,22B,lower,StateDistrict,state,22B
23A,27,2723A-lower,23A,lower,StateDistrict,state,23A
24A,27,2724A-lower,24A,lower,StateDistrict,state,24A
24B,27,2724B-lower,24B,lower,StateDistrict,state,24B
25A,27,2725A-lower,25A,lower,StateDistrict,state,25A
25B,27,2725B-lower,25B,lower,StateDistrict,state,25B
26B,27,2726B-lower,26B,lower,StateDistrict,state,26B
27A,27,2727A-lower,27A,lower,StateDistrict,state,27A
28A,27,2728A-lower,28A,lower,StateDistrict,state,28A
28B,27,2728B-lower,28B,lower,StateDistrict,state,28B
29B,27,2729B-lower,29B,lower,StateDistrict,state,29B
30A,27,2730A-lower,30A,lower,StateDistrict,state,30A
31B,27,2731B-lower,31B,lower,StateDistrict,state,31B
32A,27,2732A-lower,32A,lower,StateDistrict,state,32A
33A,27,2733A-lower,33A,lower,StateDistrict,state,33A
34B,27,2734B-lower,34B,lower,StateDistrict,state,34B
35B,27,2735B-lower,35B,lower,StateDistrict,state,35B
36B,27,2736B-lower,36B,lower,StateDistrict,state,36B
37A,27,2737A-lower,37A,lower,StateDistrict,state,37A
38A,27,2738A-lower,38A,lower,StateDistrict,state,38A
38B,27,2738B-lower,38B,lower,StateDistrict,state,38B
39A,27,2739A-lower,39A,lower,StateDistrict,state,39A
39B,27,2739B-lower,39B,lower,StateDistrict,state,39B
40A,27,2740A-lower,40A,lower,StateDistrict,state,40A
41A,27,2741A-lower,41A,lower,StateDistrict,state,41A
41B,27,2741B-lower,41B,lower,StateDistrict,state,41B
42A,27,2742A-lower,42A,lower,StateDistrict,state,42A
43A,27,2743A-lower,43A,lower,StateDistrict,state,43A
44A,27,2744A-lower,44A,lower,StateDistrict,state,44A
46A,27,2746A-lower,46A,lower,StateDistrict,state,46A
46B,27,2746B-lower,46B,lower,StateDistrict,state,46B
47A,27,2747A-lower,47A,lower,StateDistrict,state,47A
48A,27,2748A-lower,48A,lower,StateDistrict,state,48A
48B,27,2748B-lower,48B,lower,StateDistrict,state,48B
49A,27,2749A-lower,49A,lower,StateDistrict,state,49A
49B,27,2749B-lower,49B,lower,StateDistrict,state,49B
50A,27,2750A-lower,50A,lower,StateDistrict,state,50A
52B,27,2752B-lower,52B,lower,StateDistrict,state,52B
53A,27,2753A-lower,53A,lower,StateDistrict,state,53A
53B,27,2753B-lower,53B,lower,StateDistrict,state,53B
54A,27,2754A-lower,54A,lower,StateDistrict,state,54A
55A,27,2755A-lower,55A,lower,StateDistrict,state,55A
56A,27,2756A-lower,56A,lower,StateDistrict,state,56A
56B,27,2756B-lower,56B,lower,StateDistrict,state,56B
57B,27,2757B-lower,57B,lower,StateDistrict,state,57B
58A,27,2758A-lower,58A,lower,StateDistrict,state,58A
59A,27,2759A-lower,59A,lower,StateDistrict,state,59A
59B,27,2759B-lower,59B,lower,StateDistrict,state,59B
60B,27,2760B-lower,60B,lower,StateDistrict,state,60B
61A,27,2761A-lower,61A,lower,StateDistrict,state,61A
62A,27,2762A-lower,62A,lower,StateDistrict,state,62A
63B,27,2763B-lower,63B,lower,StateDistrict,state,63B
64A,27,2764A-lower,64A,lower,StateDistrict,state,64A
64B,27,2764B-lower,64B,lower,StateDistrict,state,64B
65B,27,2765B-lower,65B,lower,StateDistrict,state,65B
66B,27,2766B-lower,66B,lower,StateDistrict,state,66B
67B,27,2767B-lower,67B,lower,StateDistrict,state,67B
02B,27,2702B-lower,02B,lower,StateDistrict,state,2B
12B,27,2712B-lower,12B,lower,StateDistrict,state,12B
03B,27,2703B-lower,03B,lower,StateDistrict,state,3B
05A,27,2705A-lower,05A,lower,StateDistrict,state,5A
05B,27,2705B-lower,05B,lower,StateDistrict,state,5B
06A,27,2706A-lower,06A,lower,StateDistrict,state,6A
06B,27,2706B-lower,06B,lower,StateDistrict,state,6B
07B,27,2707B-lower,07B,lower,StateDistrict,state,7B
08A,27,2708A-lower,08A,lower,StateDistrict,state,8A
09A,27,2709A-lower,09A,lower,StateDistrict,state,9A
09B,27,2709B-lower,09B,lower,StateDistrict,state,9B
15A,27,2715A-lower,15A,lower,StateDistrict,state,15A
18A,27,2718A-lower,18A,lower,StateDistrict,state,18A
27B,27,2727B-lower,27B,lower,StateDistrict,state,27B
30B,27,2730B-lower,30B,lower,StateDistrict,state,30B
31A,27,2731A-lower,31A,lower,StateDistrict,state,31A
32B,27,2732B-lower,32B,lower,StateDistrict,state,32B
33B,27,2733B-lower,33B,lower,StateDistrict,state,33B
36A,27,2736A-lower,36A,lower,StateDistrict,state,36A
44B,27,2744B-lower,44B,lower,StateDistrict,state,44B
45A,27,2745A-lower,45A,lower,StateDistrict,state,45A
51A,27,2751A-lower,51A,lower,StateDistrict,state,51A
52A,27,2752A-lower,52A,lower,StateDistrict,state,52A
55B,27,2755B-lower,55B,lower,StateDistrict,state,55B
57A,27,2757A-lower,57A,lower,StateDistrict,state,57A
60A,27,2760A-lower,60A,lower,StateDistrict,state,60A
04A,27,2704A-lower,04A,lower,StateDistrict,state,4A
13B,27,2713B-lower,13B,lower,StateDistrict,state,13B
07A,27,2707A-lower,07A,lower,StateDistrict,state,7A
10A,27,2710A-lower,10A,lower,StateDistrict,state,10A
10B,27,2710B-lower,10B,lower,StateDistrict,state,10B
11A,27,2711A-lower,11A,lower,StateDistrict,state,11A
16A,27,2716A-lower,16A,lower,StateDistrict,state,16A
17A,27,2717A-lower,17A,lower,StateDistrict,state,17A
21A,27,2721A-lower,21A,lower,StateDistrict,state,21A
22A,27,2722A-lower,22A,lower,StateDistrict,state,22A
23B,27,2723B-lower,23B,lower,StateDistrict,state,23B
26A,27,2726A-lower,26A,lower,StateDistrict,state,26A
29A,27,2729A-lower,29A,lower,StateDistrict,state,29A
34A,27,2734A-lower,34A,lower,StateDistrict,state,34A
35A,27,2735A-lower,35A,lower,StateDistrict,state,35A
37B,27,2737B-lower,37B,lower,StateDistrict,state,37B
40B,27,2740B-lower,40B,lower,StateDistrict,state,40B
43B,27,2743B-lower,43B,lower,StateDistrict,state,43B
47B,27,2747B-lower,47B,lower,StateDistrict,state,47B
50B,27,2750B-lower,50B,lower,StateDistrict,state,50B
51B,27,2751B-lower,51B,lower,StateDistrict,state,51B
54B,27,2754B-lower,54B,lower,StateDistrict,state,54B
58B,27,2758B-lower,58B,lower,StateDistrict,state,58B
61B,27,2761B-lower,61B,lower,StateDistrict,state,61B
63A,27,2763A-lower,63A,lower,StateDistrict,state,63A
65A,27,2765A-lower,65A,lower,StateDistrict,state,65A
67A,27,2767A-lower,67A,lower,StateDistrict,state,67A
