code,state_code,full_code,name,chamber,type,level,open_states_name
010,27,27010-upper,10,upper,StateDistrict,state,10
011,27,27011-upper,11,upper,StateDistrict,state,11
012,27,27012-upper,12,upper,StateDistrict,state,12
013,27,27013-upper,13,upper,StateDistrict,state,13
014,27,27014-upper,14,upper,StateDistrict,state,14
016,27,27016-upper,16,upper,StateDistrict,state,16
017,27,27017-upper,17,upper,StateDistrict,state,17
018,27,27018-upper,18,upper,StateDistrict,state,18
019,27,27019-upper,19,upper,StateDistrict,state,19
021,27,27021-upper,21,upper,StateDistrict,state,21
022,27,27022-upper,22,upper,StateDistrict,state,22
023,27,27023-upper,23,upper,StateDistrict,state,23
024,27,27024-upper,24,upper,StateDistrict,state,24
025,27,27025-upper,25,upper,StateDistrict,state,25
027,27,27027-upper,27,upper,StateDistrict,state,27
028,27,27028-upper,28,upper,StateDistrict,state,28
029,27,27029-upper,29,upper,StateDistrict,state,29
030,27,27030-upper,30,upper,StateDistrict,state,30
032,27,27032-upper,32,upper,StateDistrict,state,32
033,27,27033-upper,33,upper,StateDistrict,state,33
034,27,27034-upper,34,upper,StateDistrict,state,34
035,27,27035-upper,35,upper,StateDistrict,state,35
037,27,27037-upper,37,upper,StateDistrict,state,37
038,27,27038-upper,38,upper,StateDistrict,state,38
039,27,27039-upper,39,upper,StateDistrict,state,39
040,27,27040-upper,40,upper,StateDistrict,state,40
041,27,27041-upper,41,upper,StateDistrict,state,41
043,27,27043-upper,43,upper,StateDistrict,state,43
044,27,27044-upper,44,upper,StateDistrict,state,44
045,27,27045-upper,45,upper,StateDistrict,state,45
046,27,27046-upper,46,upper,StateDistrict,state,46
048,27,27048-upper,48,upper,StateDistrict,state,48
050,27,27050-upper,50,upper,StateDistrict,state,50
051,27,27051-upper,51,upper,StateDistrict,state,51
052,27,27052-upper,52,upper,StateDistrict,state,52
053,27,27053-upper,53,upper,StateDistrict,state,53
055,27,27055-upper,55,upper,StateDistrict,state,55
056,27,27056-upper,56,upper,StateDistrict,state,56
057,27,27057-upper,57,upper,StateDistrict,state,57
058,27,27058-upper,58,upper,StateDistrict,state,58
060,27,27060-upper,60,upper,StateDistrict,state,60
061,27,27061-upper,61,upper,StateDistrict,state,61
062,27,27062-upper,62,upper,StateDistrict,state,62
063,27,27063-upper,63,upper,StateDistrict,state,63
066,27,27066-upper,66,upper,StateDistrict,state,66
067,27,27067-upper,67,upper,StateDistrict,state,67
001,27,27001-upper,01,upper,StateDistrict,state,1
002,27,27002-upper,02,upper,StateDistrict,state,2
003,27,27003-upper,03,upper,StateDistrict,state,3
004,27,27004-upper,04,upper,StateDistrict,state,4
005,27,27005-upper,05,upper,StateDistrict,state,5
006,27,27006-upper,06,upper,StateDistrict,state,6
007,27,27007-upper,07,upper,StateDistrict,state,7
008,27,27008-upper,08,upper,StateDistrict,state,8
009,27,27009-upper,09,upper,StateDistrict,state,9
064,27,27064-upper,64,upper,StateDistrict,state,64
015,27,27015-upper,15,upper,StateDistrict,state,15
020,27,27020-upper,20,upper,StateDistrict,state,20
026,27,27026-upper,26,upper,StateDistrict,state,26
031,27,27031-upper,31,upper,StateDistrict,state,31
036,27,27036-upper,36,upper,StateDistrict,state,36
042,27,27042-upper,42,upper,StateDistrict,state,42
047,27,27047-upper,47,upper,StateDistrict,state,47
049,27,27049-upper,49,upper,StateDistrict,state,49
054,27,27054-upper,54,upper,StateDistrict,state,54
059,27,27059-upper,59,upper,StateDistrict,state,59
065,27,27065-upper,65,upper,StateDistrict,state,65
