code,state_code,full_code,name,chamber,type,level,open_states_name
010,28,28010-lower,10,lower,StateDistrict,state,10
015,28,28015-lower,15,lower,StateDistrict,state,15
105,28,28105-lower,105,lower,StateDistrict,state,105
106,28,28106-lower,106,lower,StateDistrict,state,106
109,28,28109-lower,109,lower,StateDistrict,state,109
111,28,28111-lower,111,lower,StateDistrict,state,111
113,28,28113-lower,113,lower,StateDistrict,state,113
116,28,28116-lower,116,lower,StateDistrict,state,116
118,28,28118-lower,118,lower,StateDistrict,state,118
122,28,28122-lower,122,lower,StateDistrict,state,122
013,28,28013-lower,13,lower,StateDistrict,state,13
018,28,28018-lower,18,lower,StateDistrict,state,18
019,28,28019-lower,19,lower,StateDistrict,state,19
020,28,28020-lower,20,lower,StateDistrict,state,20
002,28,28002-lower,2,lower,StateDistrict,state,2
025,28,28025-lower,25,lower,StateDistrict,state,25
027,28,28027-lower,27,lower,StateDistrict,state,27
028,28,28028-lower,28,lower,StateDistrict,state,28
029,28,28029-lower,29,lower,StateDistrict,state,29
030,28,28030-lower,30,lower,StateDistrict,state,30
032,28,28032-lower,32,lower,StateDistrict,state,32
033,28,28033-lower,33,lower,StateDistrict,state,33
034,28,28034-lower,34,lower,StateDistrict,state,34
035,28,28035-lower,35,lower,StateDistrict,state,35
037,28,28037-lower,37,lower,StateDistrict,state,37
038,28,28038-lower,38,lower,StateDistrict,state,38
039,28,28039-lower,39,lower,StateDistrict,state,39
042,28,28042-lower,42,lower,StateDistrict,state,42
044,28,28044-lower,44,lower,StateDistrict,state,44
045,28,28045-lower,45,lower,StateDistrict,state,45
046,28,28046-lower,46,lower,StateDistrict,state,46
047,28,28047-lower,47,lower,StateDistrict,state,47
050,28,28050-lower,50,lower,StateDistrict,state,50
051,28,28051-lower,51,lower,StateDistrict,state,51
005,28,28005-lower,5,lower,StateDistrict,state,5
052,28,28052-lower,52,lower,StateDistrict,state,52
054,28,28054-lower,54,lower,StateDistrict,state,54
072,28,28072-lower,72,lower,StateDistrict,state,72
084,28,28084-lower,84,lower,StateDistrict,state,84
055,28,28055-lower,55,lower,StateDistrict,state,55
056,28,28056-lower,56,lower,StateDistrict,state,56
057,28,28057-lower,57,lower,StateDistrict,state,57
059,28,28059-lower,59,lower,StateDistrict,state,59
062,28,28062-lower,62,lower,StateDistrict,state,62
063,28,28063-lower,63,lower,StateDistrict,state,63
064,28,28064-lower,64,lower,StateDistrict,state,64
065,28,28065-lower,65,lower,StateDistrict,state,65
068,28,28068-lower,68,lower,StateDistrict,state,68
071,28,28071-lower,71,lower,StateDistrict,state,71
007,28,28007-lower,7,lower,StateDistrict,state,7
093,28,28093-lower,93,lower,StateDistrict,state,93
075,28,28075-lower,75,lower,StateDistrict,state,75
076,28,28076-lower,76,lower,StateDistrict,state,76
077,28,28077-lower,77,lower,StateDistrict,state,77
078,28,28078-lower,78,lower,StateDistrict,state,78
080,28,28080-lower,80,lower,StateDistrict,state,80
008,28,28008-lower,8,lower,StateDistrict,state,8
085,28,28085-lower,85,lower,StateDistrict,state,85
086,28,28086-lower,86,lower,StateDistrict,state,86
089,28,28089-lower,89,lower,StateDistrict,state,89
090,28,28090-lower,90,lower,StateDistrict,state,90
091,28,28091-lower,91,lower,StateDistrict,state,91
009,28,28009-lower,9,lower,StateDistrict,state,9
102,28,28102-lower,102,lower,StateDistrict,state,102
094,28,28094-lower,94,lower,StateDistrict,state,94
095,28,28095-lower,95,lower,StateDistrict,state,95
096,28,28096-lower,96,lower,StateDistrict,state,96
098,28,28098-lower,98,lower,StateDistrict,state,98
099,28,28099-lower,99,lower,StateDistrict,state,99
014,28,28014-lower,14,lower,StateDistrict,state,14
104,28,28104-lower,104,lower,StateDistrict,state,104
107,28,28107-lower,107,lower,StateDistrict,state,107
011,28,28011-lower,11,lower,StateDistrict,state,11
112,28,28112-lower,112,lower,StateDistrict,state,112
114,28,28114-lower,114,lower,StateDistrict,state,114
115,28,28115-lower,115,lower,StateDistrict,state,115
117,28,28117-lower,117,lower,StateDistrict,state,117
001,28,28001-lower,1,lower,StateDistrict,state,1
120,28,28120-lower,120,lower,StateDistrict,state,120
012,28,28012-lower,12,lower,StateDistrict,state,12
017,28,28017-lower,17,lower,StateDistrict,state,17
022,28,28022-lower,22,lower,StateDistrict,state,22
024,28,28024-lower,24,lower,StateDistrict,state,24
026,28,28026-lower,26,lower,StateDistrict,state,26
031,28,28031-lower,31,lower,StateDistrict,state,31
041,28,28041-lower,41,lower,StateDistrict,state,41
004,28,28004-lower,4,lower,StateDistrict,state,4
049,28,28049-lower,49,lower,StateDistrict,state,49
058,28,28058-lower,58,lower,StateDistrict,state,58
006,28,28006-lower,6,lower,StateDistrict,state,6
066,28,28066-lower,66,lower,StateDistrict,state,66
069,28,28069-lower,69,lower,StateDistrict,state,69
070,28,28070-lower,70,lower,StateDistrict,state,70
079,28,28079-lower,79,lower,StateDistrict,state,79
082,28,28082-lower,82,lower,StateDistrict,state,82
083,28,28083-lower,83,lower,StateDistrict,state,83
087,28,28087-lower,87,lower,StateDistrict,state,87
103,28,28103-lower,103,lower,StateDistrict,state,103
100,28,28100-lower,100,lower,StateDistrict,state,100
101,28,28101-lower,101,lower,StateDistrict,state,101
108,28,28108-lower,108,lower,StateDistrict,state,108
110,28,28110-lower,110,lower,StateDistrict,state,110
119,28,28119-lower,119,lower,StateDistrict,state,119
121,28,28121-lower,121,lower,StateDistrict,state,121
016,28,28016-lower,16,lower,StateDistrict,state,16
021,28,28021-lower,21,lower,StateDistrict,state,21
023,28,28023-lower,23,lower,StateDistrict,state,23
003,28,28003-lower,3,lower,StateDistrict,state,3
036,28,28036-lower,36,lower,StateDistrict,state,36
040,28,28040-lower,40,lower,StateDistrict,state,40
043,28,28043-lower,43,lower,StateDistrict,state,43
048,28,28048-lower,48,lower,StateDistrict,state,48
053,28,28053-lower,53,lower,StateDistrict,state,53
060,28,28060-lower,60,lower,StateDistrict,state,60
061,28,28061-lower,61,lower,StateDistrict,state,61
067,28,28067-lower,67,lower,StateDistrict,state,67
073,28,28073-lower,73,lower,StateDistrict,state,73
074,28,28074-lower,74,lower,StateDistrict,state,74
081,28,28081-lower,81,lower,StateDistrict,state,81
088,28,28088-lower,88,lower,StateDistrict,state,88
092,28,28092-lower,92,lower,StateDistrict,state,92
097,28,28097-lower,97,lower,StateDistrict,state,97
