code,state_code,full_code,name,chamber,type,level,open_states_name
010,28,28010-upper,10,upper,StateDistrict,state,10
012,28,28012-upper,12,upper,StateDistrict,state,12
013,28,28013-upper,13,upper,StateDistrict,state,13
017,28,28017-upper,17,upper,StateDistrict,state,17
019,28,28019-upper,19,upper,StateDistrict,state,19
002,28,28002-upper,2,upper,StateDistrict,state,2
024,28,28024-upper,24,upper,StateDistrict,state,24
025,28,28025-upper,25,upper,StateDistrict,state,25
028,28,28028-upper,28,upper,StateDistrict,state,28
032,28,28032-upper,32,upper,StateDistrict,state,32
037,28,28037-upper,37,upper,StateDistrict,state,37
041,28,28041-upper,41,upper,StateDistrict,state,41
004,28,28004-upper,4,upper,StateDistrict,state,4
044,28,28044-upper,44,upper,StateDistrict,state,44
049,28,28049-upper,49,upper,StateDistrict,state,49
051,28,28051-upper,51,upper,StateDistrict,state,51
007,28,28007-upper,7,upper,StateDistrict,state,7
011,28,28011-upper,11,upper,StateDistrict,state,11
014,28,28014-upper,14,upper,StateDistrict,state,14
015,28,28015-upper,15,upper,StateDistrict,state,15
016,28,28016-upper,16,upper,StateDistrict,state,16
020,28,28020-upper,20,upper,StateDistrict,state,20
021,28,28021-upper,21,upper,StateDistrict,state,21
023,28,28023-upper,23,upper,StateDistrict,state,23
026,28,28026-upper,26,upper,StateDistrict,state,26
029,28,28029-upper,29,upper,StateDistrict,state,29
030,28,28030-upper,30,upper,StateDistrict,state,30
031,28,28031-upper,31,upper,StateDistrict,state,31
034,28,28034-upper,34,upper,StateDistrict,state,34
035,28,28035-upper,35,upper,StateDistrict,state,35
036,28,28036-upper,36,upper,StateDistrict,state,36
038,28,28038-upper,38,upper,StateDistrict,state,38
039,28,28039-upper,39,upper,StateDistrict,state,39
040,28,28040-upper,40,upper,StateDistrict,state,40
045,28,28045-upper,45,upper,StateDistrict,state,45
046,28,28046-upper,46,upper,StateDistrict,state,46
047,28,28047-upper,47,upper,StateDistrict,state,47
048,28,28048-upper,48,upper,StateDistrict,state,48
005,28,28005-upper,5,upper,StateDistrict,state,5
052,28,28052-upper,52,upper,StateDistrict,state,52
006,28,28006-upper,6,upper,StateDistrict,state,6
009,28,28009-upper,9,upper,StateDistrict,state,9
001,28,28001-upper,1,upper,StateDistrict,state,1
022,28,28022-upper,22,upper,StateDistrict,state,22
003,28,28003-upper,3,upper,StateDistrict,state,3
043,28,28043-upper,43,upper,StateDistrict,state,43
018,28,28018-upper,18,upper,StateDistrict,state,18
027,28,28027-upper,27,upper,StateDistrict,state,27
033,28,28033-upper,33,upper,StateDistrict,state,33
042,28,28042-upper,42,upper,StateDistrict,state,42
050,28,28050-upper,50,upper,StateDistrict,state,50
008,28,28008-upper,8,upper,StateDistrict,state,8
