code,state_code,full_code,name,chamber,type,level,open_states_name
011,29,29011-lower,11,lower,StateDistrict,state,11
109,29,29109-lower,109,lower,StateDistrict,state,109
113,29,29113-lower,113,lower,StateDistrict,state,113
115,29,29115-lower,115,lower,StateDistrict,state,115
116,29,29116-lower,116,lower,StateDistrict,state,116
001,29,29001-lower,1,lower,StateDistrict,state,1
163,29,29163-lower,163,lower,StateDistrict,state,163
012,29,29012-lower,12,lower,StateDistrict,state,12
024,29,29024-lower,24,lower,StateDistrict,state,24
125,29,29125-lower,125,lower,StateDistrict,state,125
126,29,29126-lower,126,lower,StateDistrict,state,126
127,29,29127-lower,127,lower,StateDistrict,state,127
128,29,29128-lower,128,lower,StateDistrict,state,128
135,29,29135-lower,135,lower,StateDistrict,state,135
140,29,29140-lower,140,lower,StateDistrict,state,140
143,29,29143-lower,143,lower,StateDistrict,state,143
144,29,29144-lower,144,lower,StateDistrict,state,144
145,29,29145-lower,145,lower,StateDistrict,state,145
148,29,29148-lower,148,lower,StateDistrict,state,148
149,29,29149-lower,149,lower,StateDistrict,state,149
150,29,29150-lower,150,lower,StateDistrict,state,150
151,29,29151-lower,151,lower,StateDistrict,state,151
152,29,29152-lower,152,lower,StateDistrict,state,152
153,29,29153-lower,153,lower,StateDistrict,state,153
154,29,29154-lower,154,lower,StateDistrict,state,154
161,29,29161-lower,161,lower,StateDistrict,state,161
016,29,29016-lower,16,lower,StateDistrict,state,16
026,29,29026-lower,26,lower,StateDistrict,state,26
023,29,29023-lower,23,lower,StateDistrict,state,23
028,29,29028-lower,28,lower,StateDistrict,state,28
003,29,29003-lower,3,lower,StateDistrict,state,3
033,29,29033-lower,33,lower,StateDistrict,state,33
034,29,29034-lower,34,lower,StateDistrict,state,34
037,29,29037-lower,37,lower,StateDistrict,state,37
042,29,29042-lower,42,lower,StateDistrict,state,42
093,29,29093-lower,93,lower,StateDistrict,state,93
038,29,29038-lower,38,lower,StateDistrict,state,38
039,29,29039-lower,39,lower,StateDistrict,state,39
040,29,29040-lower,40,lower,StateDistrict,state,40
004,29,29004-lower,4,lower,StateDistrict,state,4
103,29,29103-lower,103,lower,StateDistrict,state,103
043,29,29043-lower,43,lower,StateDistrict,state,43
044,29,29044-lower,44,lower,StateDistrict,state,44
048,29,29048-lower,48,lower,StateDistrict,state,48
049,29,29049-lower,49,lower,StateDistrict,state,49
050,29,29050-lower,50,lower,StateDistrict,state,50
051,29,29051-lower,51,lower,StateDistrict,state,51
052,29,29052-lower,52,lower,StateDistrict,state,52
054,29,29054-lower,54,lower,StateDistrict,state,54
057,29,29057-lower,57,lower,StateDistrict,state,57
058,29,29058-lower,58,lower,StateDistrict,state,58
059,29,29059-lower,59,lower,StateDistrict,state,59
061,29,29061-lower,61,lower,StateDistrict,state,61
062,29,29062-lower,62,lower,StateDistrict,state,62
063,29,29063-lower,63,lower,StateDistrict,state,63
065,29,29065-lower,65,lower,StateDistrict,state,65
067,29,29067-lower,67,lower,StateDistrict,state,67
069,29,29069-lower,69,lower,StateDistrict,state,69
071,29,29071-lower,71,lower,StateDistrict,state,71
073,29,29073-lower,73,lower,StateDistrict,state,73
076,29,29076-lower,76,lower,StateDistrict,state,76
078,29,29078-lower,78,lower,StateDistrict,state,78
079,29,29079-lower,79,lower,StateDistrict,state,79
080,29,29080-lower,80,lower,StateDistrict,state,80
081,29,29081-lower,81,lower,StateDistrict,state,81
084,29,29084-lower,84,lower,StateDistrict,state,84
088,29,29088-lower,88,lower,StateDistrict,state,88
009,29,29009-lower,9,lower,StateDistrict,state,9
121,29,29121-lower,121,lower,StateDistrict,state,121
097,29,29097-lower,97,lower,StateDistrict,state,97
098,29,29098-lower,98,lower,StateDistrict,state,98
123,29,29123-lower,123,lower,StateDistrict,state,123
104,29,29104-lower,104,lower,StateDistrict,state,104
106,29,29106-lower,106,lower,StateDistrict,state,106
107,29,29107-lower,107,lower,StateDistrict,state,107
108,29,29108-lower,108,lower,StateDistrict,state,108
111,29,29111-lower,111,lower,StateDistrict,state,111
112,29,29112-lower,112,lower,StateDistrict,state,112
