code,state_code,full_code,name,chamber,type,level,open_states_name
016,29,29016-upper,16,upper,StateDistrict,state,16
021,29,29021-upper,21,upper,StateDistrict,state,21
023,29,29023-upper,23,upper,StateDistrict,state,23
026,29,29026-upper,26,upper,StateDistrict,state,26
031,29,29031-upper,31,upper,StateDistrict,state,31
010,29,29010-upper,10,upper,StateDistrict,state,10
012,29,29012-upper,12,upper,StateDistrict,state,12
030,29,29030-upper,30,upper,StateDistrict,state,30
034,29,29034-upper,34,upper,StateDistrict,state,34
015,29,29015-upper,15,upper,StateDistrict,state,15
019,29,29019-upper,19,upper,StateDistrict,state,19
024,29,29024-upper,24,upper,StateDistrict,state,24
025,29,29025-upper,25,upper,StateDistrict,state,25
027,29,29027-upper,27,upper,StateDistrict,state,27
004,29,29004-upper,4,upper,StateDistrict,state,4
006,29,29006-upper,6,upper,StateDistrict,state,6
008,29,29008-upper,8,upper,StateDistrict,state,8
009,29,29009-upper,9,upper,StateDistrict,state,9
011,29,29011-upper,11,upper,StateDistrict,state,11
001,29,29001-upper,1,upper,StateDistrict,state,1
014,29,29014-upper,14,upper,StateDistrict,state,14
017,29,29017-upper,17,upper,StateDistrict,state,17
018,29,29018-upper,18,upper,StateDistrict,state,18
020,29,29020-upper,20,upper,StateDistrict,state,20
028,29,29028-upper,28,upper,StateDistrict,state,28
029,29,29029-upper,29,upper,StateDistrict,state,29
003,29,29003-upper,3,upper,StateDistrict,state,3
032,29,29032-upper,32,upper,StateDistrict,state,32
005,29,29005-upper,5,upper,StateDistrict,state,5
002,29,29002-upper,2,upper,StateDistrict,state,2
013,29,29013-upper,13,upper,StateDistrict,state,13
022,29,29022-upper,22,upper,StateDistrict,state,22
033,29,29033-upper,33,upper,StateDistrict,state,33
007,29,29007-upper,7,upper,StateDistrict,state,7
