code,state_code,full_code,name,chamber,type,level,open_states_name
001,30,30001-lower,1,lower,StateDistrict,state,1
014,30,30014-lower,14,lower,StateDistrict,state,14
016,30,30016-lower,16,lower,StateDistrict,state,16
017,30,30017-lower,17,lower,StateDistrict,state,17
018,30,30018-lower,18,lower,StateDistrict,state,18
019,30,30019-lower,19,lower,StateDistrict,state,19
002,30,30002-lower,2,lower,StateDistrict,state,2
023,30,30023-lower,23,lower,StateDistrict,state,23
025,30,30025-lower,25,lower,StateDistrict,state,25
027,30,30027-lower,27,lower,StateDistrict,state,27
029,30,30029-lower,29,lower,StateDistrict,state,29
030,30,30030-lower,30,lower,StateDistrict,state,30
031,30,30031-lower,31,lower,StateDistrict,state,31
003,30,30003-lower,3,lower,StateDistrict,state,3
033,30,30033-lower,33,lower,StateDistrict,state,33
034,30,30034-lower,34,lower,StateDistrict,state,34
035,30,30035-lower,35,lower,StateDistrict,state,35
036,30,30036-lower,36,lower,StateDistrict,state,36
038,30,30038-lower,38,lower,StateDistrict,state,38
039,30,30039-lower,39,lower,StateDistrict,state,39
040,30,30040-lower,40,lower,StateDistrict,state,40
041,30,30041-lower,41,lower,StateDistrict,state,41
004,30,30004-lower,4,lower,StateDistrict,state,4
043,30,30043-lower,43,lower,StateDistrict,state,43
044,30,30044-lower,44,lower,StateDistrict,state,44
045,30,30045-lower,45,lower,StateDistrict,state,45
047,30,30047-lower,47,lower,StateDistrict,state,47
049,30,30049-lower,49,lower,StateDistrict,state,49
050,30,30050-lower,50,lower,StateDistrict,state,50
051,30,30051-lower,51,lower,StateDistrict,state,51
072,30,30072-lower,72,lower,StateDistrict,state,72
082,30,30082-lower,82,lower,StateDistrict,state,82
052,30,30052-lower,52,lower,StateDistrict,state,52
055,30,30055-lower,55,lower,StateDistrict,state,55
058,30,30058-lower,58,lower,StateDistrict,state,58
059,30,30059-lower,59,lower,StateDistrict,state,59
064,30,30064-lower,64,lower,StateDistrict,state,64
066,30,30066-lower,66,lower,StateDistrict,state,66
070,30,30070-lower,70,lower,StateDistrict,state,70
071,30,30071-lower,71,lower,StateDistrict,state,71
007,30,30007-lower,7,lower,StateDistrict,state,7
074,30,30074-lower,74,lower,StateDistrict,state,74
075,30,30075-lower,75,lower,StateDistrict,state,75
077,30,30077-lower,77,lower,StateDistrict,state,77
078,30,30078-lower,78,lower,StateDistrict,state,78
080,30,30080-lower,80,lower,StateDistrict,state,80
081,30,30081-lower,81,lower,StateDistrict,state,81
008,30,30008-lower,8,lower,StateDistrict,state,8
085,30,30085-lower,85,lower,StateDistrict,state,85
086,30,30086-lower,86,lower,StateDistrict,state,86
087,30,30087-lower,87,lower,StateDistrict,state,87
090,30,30090-lower,90,lower,StateDistrict,state,90
093,30,30093-lower,93,lower,StateDistrict,state,93
097,30,30097-lower,97,lower,StateDistrict,state,97
099,30,30099-lower,99,lower,StateDistrict,state,99
013,30,30013-lower,13,lower,StateDistrict,state,13
100,30,30100-lower,100,lower,StateDistrict,state,100
012,30,30012-lower,12,lower,StateDistrict,state,12
022,30,30022-lower,22,lower,StateDistrict,state,22
024,30,30024-lower,24,lower,StateDistrict,state,24
026,30,30026-lower,26,lower,StateDistrict,state,26
005,30,30005-lower,5,lower,StateDistrict,state,5
054,30,30054-lower,54,lower,StateDistrict,state,54
056,30,30056-lower,56,lower,StateDistrict,state,56
057,30,30057-lower,57,lower,StateDistrict,state,57
061,30,30061-lower,61,lower,StateDistrict,state,61
006,30,30006-lower,6,lower,StateDistrict,state,6
062,30,30062-lower,62,lower,StateDistrict,state,62
063,30,30063-lower,63,lower,StateDistrict,state,63
067,30,30067-lower,67,lower,StateDistrict,state,67
068,30,30068-lower,68,lower,StateDistrict,state,68
076,30,30076-lower,76,lower,StateDistrict,state,76
084,30,30084-lower,84,lower,StateDistrict,state,84
089,30,30089-lower,89,lower,StateDistrict,state,89
091,30,30091-lower,91,lower,StateDistrict,state,91
009,30,30009-lower,9,lower,StateDistrict,state,9
094,30,30094-lower,94,lower,StateDistrict,state,94
096,30,30096-lower,96,lower,StateDistrict,state,96
098,30,30098-lower,98,lower,StateDistrict,state,98
020,30,30020-lower,20,lower,StateDistrict,state,20
010,30,30010-lower,10,lower,StateDistrict,state,10
011,30,30011-lower,11,lower,StateDistrict,state,11
015,30,30015-lower,15,lower,StateDistrict,state,15
021,30,30021-lower,21,lower,StateDistrict,state,21
028,30,30028-lower,28,lower,StateDistrict,state,28
032,30,30032-lower,32,lower,StateDistrict,state,32
037,30,30037-lower,37,lower,StateDistrict,state,37
042,30,30042-lower,42,lower,StateDistrict,state,42
046,30,30046-lower,46,lower,StateDistrict,state,46
048,30,30048-lower,48,lower,StateDistrict,state,48
053,30,30053-lower,53,lower,StateDistrict,state,53
060,30,30060-lower,60,lower,StateDistrict,state,60
065,30,30065-lower,65,lower,StateDistrict,state,65
069,30,30069-lower,69,lower,StateDistrict,state,69
073,30,30073-lower,73,lower,StateDistrict,state,73
079,30,30079-lower,79,lower,StateDistrict,state,79
083,30,30083-lower,83,lower,StateDistrict,state,83
088,30,30088-lower,88,lower,StateDistrict,state,88
092,30,30092-lower,92,lower,StateDistrict,state,92
095,30,30095-lower,95,lower,StateDistrict,state,95
