code,state_code,full_code,name,chamber,type,level,open_states_name
010,30,30010-upper,10,upper,StateDistrict,state,10
011,30,30011-upper,11,upper,StateDistrict,state,11
012,30,30012-upper,12,upper,StateDistrict,state,12
016,30,30016-upper,16,upper,StateDistrict,state,16
002,30,30002-upper,2,upper,StateDistrict,state,2
023,30,30023-upper,23,upper,StateDistrict,state,23
026,30,30026-upper,26,upper,StateDistrict,state,26
027,30,30027-upper,27,upper,StateDistrict,state,27
033,30,30033-upper,33,upper,StateDistrict,state,33
039,30,30039-upper,39,upper,StateDistrict,state,39
044,30,30044-upper,44,upper,StateDistrict,state,44
047,30,30047-upper,47,upper,StateDistrict,state,47
006,30,30006-upper,6,upper,StateDistrict,state,6
008,30,30008-upper,8,upper,StateDistrict,state,8
013,30,30013-upper,13,upper,StateDistrict,state,13
014,30,30014-upper,14,upper,StateDistrict,state,14
015,30,30015-upper,15,upper,StateDistrict,state,15
018,30,30018-upper,18,upper,StateDistrict,state,18
019,30,30019-upper,19,upper,StateDistrict,state,19
021,30,30021-upper,21,upper,StateDistrict,state,21
022,30,30022-upper,22,upper,StateDistrict,state,22
024,30,30024-upper,24,upper,StateDistrict,state,24
029,30,30029-upper,29,upper,StateDistrict,state,29
030,30,30030-upper,30,upper,StateDistrict,state,30
031,30,30031-upper,31,upper,StateDistrict,state,31
032,30,30032-upper,32,upper,StateDistrict,state,32
034,30,30034-upper,34,upper,StateDistrict,state,34
035,30,30035-upper,35,upper,StateDistrict,state,35
036,30,30036-upper,36,upper,StateDistrict,state,36
037,30,30037-upper,37,upper,StateDistrict,state,37
040,30,30040-upper,40,upper,StateDistrict,state,40
041,30,30041-upper,41,upper,StateDistrict,state,41
004,30,30004-upper,4,upper,StateDistrict,state,4
042,30,30042-upper,42,upper,StateDistrict,state,42
045,30,30045-upper,45,upper,StateDistrict,state,45
046,30,30046-upper,46,upper,StateDistrict,state,46
049,30,30049-upper,49,upper,StateDistrict,state,49
050,30,30050-upper,50,upper,StateDistrict,state,50
005,30,30005-upper,5,upper,StateDistrict,state,5
009,30,30009-upper,9,upper,StateDistrict,state,9
020,30,30020-upper,20,upper,StateDistrict,state,20
028,30,30028-upper,28,upper,StateDistrict,state,28
048,30,30048-upper,48,upper,StateDistrict,state,48
001,30,30001-upper,1,upper,StateDistrict,state,1
017,30,30017-upper,17,upper,StateDistrict,state,17
025,30,30025-upper,25,upper,StateDistrict,state,25
003,30,30003-upper,3,upper,StateDistrict,state,3
038,30,30038-upper,38,upper,StateDistrict,state,38
043,30,30043-upper,43,upper,StateDistrict,state,43
007,30,30007-upper,7,upper,StateDistrict,state,7
