code,state_code,full_code,name,chamber,type,level,open_states_name
016,31,31016-upper,16,upper,StateDistrict,state,16
020,31,31020-upper,20,upper,StateDistrict,state,20
002,31,31002-upper,2,upper,StateDistrict,state,2
023,31,31023-upper,23,upper,StateDistrict,state,23
028,31,31028-upper,28,upper,StateDistrict,state,28
038,31,31038-upper,38,upper,StateDistrict,state,38
043,31,31043-upper,43,upper,StateDistrict,state,43
044,31,31044-upper,44,upper,StateDistrict,state,44
047,31,31047-upper,47,upper,StateDistrict,state,47
001,31,31001-upper,1,upper,StateDistrict,state,1
013,31,31013-upper,13,upper,StateDistrict,state,13
014,31,31014-upper,14,upper,StateDistrict,state,14
015,31,31015-upper,15,upper,StateDistrict,state,15
018,31,31018-upper,18,upper,StateDistrict,state,18
021,31,31021-upper,21,upper,StateDistrict,state,21
022,31,31022-upper,22,upper,StateDistrict,state,22
024,31,31024-upper,24,upper,StateDistrict,state,24
025,31,31025-upper,25,upper,StateDistrict,state,25
027,31,31027-upper,27,upper,StateDistrict,state,27
029,31,31029-upper,29,upper,StateDistrict,state,29
030,31,31030-upper,30,upper,StateDistrict,state,30
031,31,31031-upper,31,upper,StateDistrict,state,31
003,31,31003-upper,3,upper,StateDistrict,state,3
033,31,31033-upper,33,upper,StateDistrict,state,33
035,31,31035-upper,35,upper,StateDistrict,state,35
036,31,31036-upper,36,upper,StateDistrict,state,36
037,31,31037-upper,37,upper,StateDistrict,state,37
040,31,31040-upper,40,upper,StateDistrict,state,40
041,31,31041-upper,41,upper,StateDistrict,state,41
004,31,31004-upper,4,upper,StateDistrict,state,4
042,31,31042-upper,42,upper,StateDistrict,state,42
046,31,31046-upper,46,upper,StateDistrict,state,46
048,31,31048-upper,48,upper,StateDistrict,state,48
049,31,31049-upper,49,upper,StateDistrict,state,49
005,31,31005-upper,5,upper,StateDistrict,state,5
007,31,31007-upper,7,upper,StateDistrict,state,7
008,31,31008-upper,8,upper,StateDistrict,state,8
009,31,31009-upper,9,upper,StateDistrict,state,9
011,31,31011-upper,11,upper,StateDistrict,state,11
010,31,31010-upper,10,upper,StateDistrict,state,10
012,31,31012-upper,12,upper,StateDistrict,state,12
017,31,31017-upper,17,upper,StateDistrict,state,17
019,31,31019-upper,19,upper,StateDistrict,state,19
026,31,31026-upper,26,upper,StateDistrict,state,26
032,31,31032-upper,32,upper,StateDistrict,state,32
034,31,31034-upper,34,upper,StateDistrict,state,34
039,31,31039-upper,39,upper,StateDistrict,state,39
045,31,31045-upper,45,upper,StateDistrict,state,45
006,31,31006-upper,6,upper,StateDistrict,state,6
