code,state_code,full_code,name,chamber,type,level,open_states_name
011,32,32011-lower,11,lower,StateDistrict,state,11
015,32,32015-lower,15,lower,StateDistrict,state,15
013,32,32013-lower,13,lower,StateDistrict,state,13
016,32,32016-lower,16,lower,StateDistrict,state,16
017,32,32017-lower,17,lower,StateDistrict,state,17
018,32,32018-lower,18,lower,StateDistrict,state,18
021,32,32021-lower,21,lower,StateDistrict,state,21
022,32,32022-lower,22,lower,StateDistrict,state,22
024,32,32024-lower,24,lower,StateDistrict,state,24
025,32,32025-lower,25,lower,StateDistrict,state,25
026,32,32026-lower,26,lower,StateDistrict,state,26
027,32,32027-lower,27,lower,StateDistrict,state,27
029,32,32029-lower,29,lower,StateDistrict,state,29
030,32,32030-lower,30,lower,StateDistrict,state,30
031,32,32031-lower,31,lower,StateDistrict,state,31
003,32,32003-lower,3,lower,StateDistrict,state,3
033,32,32033-lower,33,lower,StateDistrict,state,33
034,32,32034-lower,34,lower,StateDistrict,state,34
035,32,32035-lower,35,lower,StateDistrict,state,35
036,32,32036-lower,36,lower,StateDistrict,state,36
037,32,32037-lower,37,lower,StateDistrict,state,37
039,32,32039-lower,39,lower,StateDistrict,state,39
040,32,32040-lower,40,lower,StateDistrict,state,40
041,32,32041-lower,41,lower,StateDistrict,state,41
004,32,32004-lower,4,lower,StateDistrict,state,4
005,32,32005-lower,5,lower,StateDistrict,state,5
009,32,32009-lower,9,lower,StateDistrict,state,9
001,32,32001-lower,1,lower,StateDistrict,state,1
012,32,32012-lower,12,lower,StateDistrict,state,12
020,32,32020-lower,20,lower,StateDistrict,state,20
002,32,32002-lower,2,lower,StateDistrict,state,2
006,32,32006-lower,6,lower,StateDistrict,state,6
007,32,32007-lower,7,lower,StateDistrict,state,7
010,32,32010-lower,10,lower,StateDistrict,state,10
014,32,32014-lower,14,lower,StateDistrict,state,14
019,32,32019-lower,19,lower,StateDistrict,state,19
023,32,32023-lower,23,lower,StateDistrict,state,23
028,32,32028-lower,28,lower,StateDistrict,state,28
032,32,32032-lower,32,lower,StateDistrict,state,32
038,32,32038-lower,38,lower,StateDistrict,state,38
042,32,32042-lower,42,lower,StateDistrict,state,42
008,32,32008-lower,8,lower,StateDistrict,state,8
