code,state_code,full_code,name,chamber,type,level,open_states_name
014,32,32014-upper,14,upper,StateDistrict,state,14
015,32,32015-upper,15,upper,StateDistrict,state,15
020,32,32020-upper,20,upper,StateDistrict,state,20
004,32,32004-upper,4,upper,StateDistrict,state,4
012,32,32012-upper,12,upper,StateDistrict,state,12
017,32,32017-upper,17,upper,StateDistrict,state,17
019,32,32019-upper,19,upper,StateDistrict,state,19
002,32,32002-upper,2,upper,StateDistrict,state,2
009,32,32009-upper,9,upper,StateDistrict,state,9
013,32,32013-upper,13,upper,StateDistrict,state,13
018,32,32018-upper,18,upper,StateDistrict,state,18
021,32,32021-upper,21,upper,StateDistrict,state,21
005,32,32005-upper,5,upper,StateDistrict,state,5
007,32,32007-upper,7,upper,StateDistrict,state,7
008,32,32008-upper,8,upper,StateDistrict,state,8
011,32,32011-upper,11,upper,StateDistrict,state,11
010,32,32010-upper,10,upper,StateDistrict,state,10
016,32,32016-upper,16,upper,StateDistrict,state,16
003,32,32003-upper,3,upper,StateDistrict,state,3
001,32,32001-upper,1,upper,StateDistrict,state,1
006,32,32006-upper,6,upper,StateDistrict,state,6
