code,state_code,full_code,name,chamber,type,level,open_states_name
007,33,33007-lower,Belknap County No. 7,lower,StateDistrict,state,Belknap 7
101,33,33101-lower,Carroll County No. 1,lower,StateDistrict,state,Carroll 1
103,33,33103-lower,Carroll County No. 3,lower,StateDistrict,state,Carroll 3
202,33,33202-lower,Cheshire County No. 2,lower,StateDistrict,state,Cheshire 2
207,33,33207-lower,Cheshire County No. 7,lower,StateDistrict,state,Cheshire 7
212,33,33212-lower,Cheshire County No. 12,lower,StateDistrict,state,Cheshire 12
213,33,33213-lower,Cheshire County No. 13,lower,StateDistrict,state,Cheshire 13
301,33,33301-lower,Coos County No. 1,lower,StateDistrict,state,Coos 1
305,33,33305-lower,Coos County No. 5,lower,StateDistrict,state,Coos 5
408,33,33408-lower,Grafton County No. 8,lower,StateDistrict,state,Grafton 8
410,33,33410-lower,Grafton County No. 10,lower,StateDistrict,state,Grafton 10
411,33,33411-lower,Grafton County No. 11,lower,StateDistrict,state,Grafton 11
413,33,33413-lower,Grafton County No. 13,lower,StateDistrict,state,Grafton 13
505,33,33505-lower,Hillsborough County No. 5,lower,StateDistrict,state,Hillsborough 5
507,33,33507-lower,Hillsborough County No. 7,lower,StateDistrict,state,Hillsborough 7
508,33,33508-lower,Hillsborough County No. 8,lower,StateDistrict,state,Hillsborough 8
512,33,33512-lower,Hillsborough County No. 12,lower,StateDistrict,state,Hillsborough 12
514,33,33514-lower,Hillsborough County No. 14,lower,StateDistrict,state,Hillsborough 14
515,33,33515-lower,Hillsborough County No. 15,lower,StateDistrict,state,Hillsborough 15
516,33,33516-lower,Hillsborough County No. 16,lower,StateDistrict,state,Hillsborough 16
518,33,33518-lower,Hillsborough County No. 18,lower,StateDistrict,state,Hillsborough 18
519,33,33519-lower,Hillsborough County No. 19,lower,StateDistrict,state,Hillsborough 19
520,33,33520-lower,Hillsborough County No. 20,lower,StateDistrict,state,Hillsborough 20
521,33,33521-lower,Hillsborough County No. 21,lower,StateDistrict,state,Hillsborough 21
524,33,33524-lower,Hillsborough County No. 24,lower,StateDistrict,state,Hillsborough 24
525,33,33525-lower,Hillsborough County No. 25,lower,StateDistrict,state,Hillsborough 25
526,33,33526-lower,Hillsborough County No. 26,lower,StateDistrict,state,Hillsborough 26
528,33,33528-lower,Hillsborough County No. 28,lower,StateDistrict,state,Hillsborough 28
532,33,33532-lower,Hillsborough County No. 32,lower,StateDistrict,state,Hillsborough 32
