code,state_code,full_code,name,chamber,type,level,open_states_name
001,33,33001-upper,1,upper,StateDistrict,state,1
013,33,33013-upper,13,upper,StateDistrict,state,13
014,33,33014-upper,14,upper,StateDistrict,state,14
015,33,33015-upper,15,upper,StateDistrict,state,15
016,33,33016-upper,16,upper,StateDistrict,state,16
018,33,33018-upper,18,upper,StateDistrict,state,18
019,33,33019-upper,19,upper,StateDistrict,state,19
020,33,33020-upper,20,upper,StateDistrict,state,20
021,33,33021-upper,21,upper,StateDistrict,state,21
022,33,33022-upper,22,upper,StateDistrict,state,22
023,33,33023-upper,23,upper,StateDistrict,state,23
024,33,33024-upper,24,upper,StateDistrict,state,24
003,33,33003-upper,3,upper,StateDistrict,state,3
005,33,33005-upper,5,upper,StateDistrict,state,5
006,33,33006-upper,6,upper,StateDistrict,state,6
007,33,33007-upper,7,upper,StateDistrict,state,7
009,33,33009-upper,9,upper,StateDistrict,state,9
011,33,33011-upper,11,upper,StateDistrict,state,11
010,33,33010-upper,10,upper,StateDistrict,state,10
012,33,33012-upper,12,upper,StateDistrict,state,12
017,33,33017-upper,17,upper,StateDistrict,state,17
002,33,33002-upper,2,upper,StateDistrict,state,2
004,33,33004-upper,4,upper,StateDistrict,state,4
008,33,33008-upper,8,upper,StateDistrict,state,8
