code,state_code,full_code,name,chamber,type,level,open_states_name
010,34,34010-lower,10,lower,StateDistrict,state,10
014,34,34014-lower,14,lower,StateDistrict,state,14
015,34,34015-lower,15,lower,StateDistrict,state,15
017,34,34017-lower,17,lower,StateDistrict,state,17
018,34,34018-lower,18,lower,StateDistrict,state,18
019,34,34019-lower,19,lower,StateDistrict,state,19
020,34,34020-lower,20,lower,StateDistrict,state,20
002,34,34002-lower,2,lower,StateDistrict,state,2
022,34,34022-lower,22,lower,StateDistrict,state,22
023,34,34023-lower,23,lower,StateDistrict,state,23
024,34,34024-lower,24,lower,StateDistrict,state,24
026,34,34026-lower,26,lower,StateDistrict,state,26
027,34,34027-lower,27,lower,StateDistrict,state,27
028,34,34028-lower,28,lower,StateDistrict,state,28
029,34,34029-lower,29,lower,StateDistrict,state,29
030,34,34030-lower,30,lower,StateDistrict,state,30
003,34,34003-lower,3,lower,StateDistrict,state,3
032,34,34032-lower,32,lower,StateDistrict,state,32
033,34,34033-lower,33,lower,StateDistrict,state,33
034,34,34034-lower,34,lower,StateDistrict,state,34
036,34,34036-lower,36,lower,StateDistrict,state,36
037,34,34037-lower,37,lower,StateDistrict,state,37
038,34,34038-lower,38,lower,StateDistrict,state,38
039,34,34039-lower,39,lower,StateDistrict,state,39
004,34,34004-lower,4,lower,StateDistrict,state,4
005,34,34005-lower,5,lower,StateDistrict,state,5
006,34,34006-lower,6,lower,StateDistrict,state,6
008,34,34008-lower,8,lower,StateDistrict,state,8
009,34,34009-lower,9,lower,StateDistrict,state,9
011,34,34011-lower,11,lower,StateDistrict,state,11
013,34,34013-lower,13,lower,StateDistrict,state,13
001,34,34001-lower,1,lower,StateDistrict,state,1
016,34,34016-lower,16,lower,StateDistrict,state,16
021,34,34021-lower,21,lower,StateDistrict,state,21
025,34,34025-lower,25,lower,StateDistrict,state,25
031,34,34031-lower,31,lower,StateDistrict,state,31
035,34,34035-lower,35,lower,StateDistrict,state,35
040,34,34040-lower,40,lower,StateDistrict,state,40
007,34,34007-lower,7,lower,StateDistrict,state,7
012,34,34012-lower,12,lower,StateDistrict,state,12
