code,state_code,full_code,name,chamber,type,level,open_states_name
001,34,34001-upper,1,upper,StateDistrict,state,1
026,34,34026-upper,26,upper,StateDistrict,state,26
003,34,34003-upper,3,upper,StateDistrict,state,3
036,34,34036-upper,36,upper,StateDistrict,state,36
004,34,34004-upper,4,upper,StateDistrict,state,4
010,34,34010-upper,10,upper,StateDistrict,state,10
011,34,34011-upper,11,upper,StateDistrict,state,11
012,34,34012-upper,12,upper,StateDistrict,state,12
013,34,34013-upper,13,upper,StateDistrict,state,13
014,34,34014-upper,14,upper,StateDistrict,state,14
017,34,34017-upper,17,upper,StateDistrict,state,17
018,34,34018-upper,18,upper,StateDistrict,state,18
019,34,34019-upper,19,upper,StateDistrict,state,19
020,34,34020-upper,20,upper,StateDistrict,state,20
022,34,34022-upper,22,upper,StateDistrict,state,22
023,34,34023-upper,23,upper,StateDistrict,state,23
024,34,34024-upper,24,upper,StateDistrict,state,24
025,34,34025-upper,25,upper,StateDistrict,state,25
028,34,34028-upper,28,upper,StateDistrict,state,28
029,34,34029-upper,29,upper,StateDistrict,state,29
030,34,34030-upper,30,upper,StateDistrict,state,30
031,34,34031-upper,31,upper,StateDistrict,state,31
033,34,34033-upper,33,upper,StateDistrict,state,33
034,34,34034-upper,34,upper,StateDistrict,state,34
035,34,34035-upper,35,upper,StateDistrict,state,35
037,34,34037-upper,37,upper,StateDistrict,state,37
039,34,34039-upper,39,upper,StateDistrict,state,39
040,34,34040-upper,40,upper,StateDistrict,state,40
005,34,34005-upper,5,upper,StateDistrict,state,5
006,34,34006-upper,6,upper,StateDistrict,state,6
009,34,34009-upper,9,upper,StateDistrict,state,9
016,34,34016-upper,16,upper,StateDistrict,state,16
021,34,34021-upper,21,upper,StateDistrict,state,21
007,34,34007-upper,7,upper,StateDistrict,state,7
002,34,34002-upper,2,upper,StateDistrict,state,2
027,34,34027-upper,27,upper,StateDistrict,state,27
032,34,34032-upper,32,upper,StateDistrict,state,32
038,34,34038-upper,38,upper,StateDistrict,state,38
008,34,34008-upper,8,upper,StateDistrict,state,8
015,34,34015-upper,15,upper,StateDistrict,state,15
