code,state_code,full_code,name,chamber,type,level,open_states_name
013,35,35013-lower,13,lower,StateDistrict,state,13
017,35,35017-lower,17,lower,StateDistrict,state,17
018,35,35018-lower,18,lower,StateDistrict,state,18
019,35,35019-lower,19,lower,StateDistrict,state,19
021,35,35021-lower,21,lower,StateDistrict,state,21
023,35,35023-lower,23,lower,StateDistrict,state,23
027,35,35027-lower,27,lower,StateDistrict,state,27
028,35,35028-lower,28,lower,StateDistrict,state,28
031,35,35031-lower,31,lower,StateDistrict,state,31
033,35,35033-lower,33,lower,StateDistrict,state,33
034,35,35034-lower,34,lower,StateDistrict,state,34
035,35,35035-lower,35,lower,StateDistrict,state,35
036,35,35036-lower,36,lower,StateDistrict,state,36
038,35,35038-lower,38,lower,StateDistrict,state,38
039,35,35039-lower,39,lower,StateDistrict,state,39
040,35,35040-lower,40,lower,StateDistrict,state,40
041,35,35041-lower,41,lower,StateDistrict,state,41
004,35,35004-lower,4,lower,StateDistrict,state,4
043,35,35043-lower,43,lower,StateDistrict,state,43
053,35,35053-lower,53,lower,StateDistrict,state,53
062,35,35062-lower,62,lower,StateDistrict,state,62
044,35,35044-lower,44,lower,StateDistrict,state,44
045,35,35045-lower,45,lower,StateDistrict,state,45
046,35,35046-lower,46,lower,StateDistrict,state,46
048,35,35048-lower,48,lower,StateDistrict,state,48
049,35,35049-lower,49,lower,StateDistrict,state,49
050,35,35050-lower,50,lower,StateDistrict,state,50
005,35,35005-lower,5,lower,StateDistrict,state,5
054,35,35054-lower,54,lower,StateDistrict,state,54
055,35,35055-lower,55,lower,StateDistrict,state,55
056,35,35056-lower,56,lower,StateDistrict,state,56
059,35,35059-lower,59,lower,StateDistrict,state,59
006,35,35006-lower,6,lower,StateDistrict,state,6
064,35,35064-lower,64,lower,StateDistrict,state,64
066,35,35066-lower,66,lower,StateDistrict,state,66
067,35,35067-lower,67,lower,StateDistrict,state,67
069,35,35069-lower,69,lower,StateDistrict,state,69
070,35,35070-lower,70,lower,StateDistrict,state,70
009,35,35009-lower,9,lower,StateDistrict,state,9
001,35,35001-lower,1,lower,StateDistrict,state,1
012,35,35012-lower,12,lower,StateDistrict,state,12
020,35,35020-lower,20,lower,StateDistrict,state,20
002,35,35002-lower,2,lower,StateDistrict,state,2
024,35,35024-lower,24,lower,StateDistrict,state,24
026,35,35026-lower,26,lower,StateDistrict,state,26
029,35,35029-lower,29,lower,StateDistrict,state,29
030,35,35030-lower,30,lower,StateDistrict,state,30
032,35,35032-lower,32,lower,StateDistrict,state,32
058,35,35058-lower,58,lower,StateDistrict,state,58
060,35,35060-lower,60,lower,StateDistrict,state,60
061,35,35061-lower,61,lower,StateDistrict,state,61
063,35,35063-lower,63,lower,StateDistrict,state,63
068,35,35068-lower,68,lower,StateDistrict,state,68
008,35,35008-lower,8,lower,StateDistrict,state,8
016,35,35016-lower,16,lower,StateDistrict,state,16
011,35,35011-lower,11,lower,StateDistrict,state,11
010,35,35010-lower,10,lower,StateDistrict,state,10
014,35,35014-lower,14,lower,StateDistrict,state,14
015,35,35015-lower,15,lower,StateDistrict,state,15
022,35,35022-lower,22,lower,StateDistrict,state,22
025,35,35025-lower,25,lower,StateDistrict,state,25
003,35,35003-lower,3,lower,StateDistrict,state,3
037,35,35037-lower,37,lower,StateDistrict,state,37
042,35,35042-lower,42,lower,StateDistrict,state,42
047,35,35047-lower,47,lower,StateDistrict,state,47
051,35,35051-lower,51,lower,StateDistrict,state,51
052,35,35052-lower,52,lower,StateDistrict,state,52
057,35,35057-lower,57,lower,StateDistrict,state,57
065,35,35065-lower,65,lower,StateDistrict,state,65
007,35,35007-lower,7,lower,StateDistrict,state,7
