code,state_code,full_code,name,chamber,type,level,open_states_name
010,35,35010-upper,10,upper,StateDistrict,state,10
012,35,35012-upper,12,upper,StateDistrict,state,12
016,35,35016-upper,16,upper,StateDistrict,state,16
017,35,35017-upper,17,upper,StateDistrict,state,17
021,35,35021-upper,21,upper,StateDistrict,state,21
022,35,35022-upper,22,upper,StateDistrict,state,22
023,35,35023-upper,23,upper,StateDistrict,state,23
026,35,35026-upper,26,upper,StateDistrict,state,26
027,35,35027-upper,27,upper,StateDistrict,state,27
030,35,35030-upper,30,upper,StateDistrict,state,30
031,35,35031-upper,31,upper,StateDistrict,state,31
034,35,35034-upper,34,upper,StateDistrict,state,34
038,35,35038-upper,38,upper,StateDistrict,state,38
005,35,35005-upper,5,upper,StateDistrict,state,5
009,35,35009-upper,9,upper,StateDistrict,state,9
011,35,35011-upper,11,upper,StateDistrict,state,11
013,35,35013-upper,13,upper,StateDistrict,state,13
014,35,35014-upper,14,upper,StateDistrict,state,14
018,35,35018-upper,18,upper,StateDistrict,state,18
020,35,35020-upper,20,upper,StateDistrict,state,20
002,35,35002-upper,2,upper,StateDistrict,state,2
025,35,35025-upper,25,upper,StateDistrict,state,25
028,35,35028-upper,28,upper,StateDistrict,state,28
029,35,35029-upper,29,upper,StateDistrict,state,29
003,35,35003-upper,3,upper,StateDistrict,state,3
035,35,35035-upper,35,upper,StateDistrict,state,35
036,35,35036-upper,36,upper,StateDistrict,state,36
037,35,35037-upper,37,upper,StateDistrict,state,37
040,35,35040-upper,40,upper,StateDistrict,state,40
041,35,35041-upper,41,upper,StateDistrict,state,41
004,35,35004-upper,4,upper,StateDistrict,state,4
042,35,35042-upper,42,upper,StateDistrict,state,42
007,35,35007-upper,7,upper,StateDistrict,state,7
015,35,35015-upper,15,upper,StateDistrict,state,15
024,35,35024-upper,24,upper,StateDistrict,state,24
032,35,35032-upper,32,upper,StateDistrict,state,32
008,35,35008-upper,8,upper,StateDistrict,state,8
001,35,35001-upper,1,upper,StateDistrict,state,1
019,35,35019-upper,19,upper,StateDistrict,state,19
033,35,35033-upper,33,upper,StateDistrict,state,33
039,35,35039-upper,39,upper,StateDistrict,state,39
006,35,35006-upper,6,upper,StateDistrict,state,6
