code,state_code,full_code,name,chamber,type,level,open_states_name
101,36,36101-lower,101,lower,StateDistrict,state,101
102,36,36102-lower,102,lower,StateDistrict,state,102
107,36,36107-lower,107,lower,StateDistrict,state,107
115,36,36115-lower,115,lower,StateDistrict,state,115
116,36,36116-lower,116,lower,StateDistrict,state,116
118,36,36118-lower,118,lower,StateDistrict,state,118
001,36,36001-lower,1,lower,StateDistrict,state,1
002,36,36002-lower,2,lower,StateDistrict,state,2
023,36,36023-lower,23,lower,StateDistrict,state,23
124,36,36124-lower,124,lower,StateDistrict,state,124
127,36,36127-lower,127,lower,StateDistrict,state,127
128,36,36128-lower,128,lower,StateDistrict,state,128
132,36,36132-lower,132,lower,StateDistrict,state,132
138,36,36138-lower,138,lower,StateDistrict,state,138
146,36,36146-lower,146,lower,StateDistrict,state,146
147,36,36147-lower,147,lower,StateDistrict,state,147
015,36,36015-lower,15,lower,StateDistrict,state,15
003,36,36003-lower,3,lower,StateDistrict,state,3
068,36,36068-lower,68,lower,StateDistrict,state,68
093,36,36093-lower,93,lower,StateDistrict,state,93
099,36,36099-lower,99,lower,StateDistrict,state,99
122,36,36122-lower,122,lower,StateDistrict,state,122
100,36,36100-lower,100,lower,StateDistrict,state,100
012,36,36012-lower,12,lower,StateDistrict,state,12
110,36,36110-lower,110,lower,StateDistrict,state,110
111,36,36111-lower,111,lower,StateDistrict,state,111
011,36,36011-lower,11,lower,StateDistrict,state,11
144,36,36144-lower,144,lower,StateDistrict,state,144
117,36,36117-lower,117,lower,StateDistrict,state,117
119,36,36119-lower,119,lower,StateDistrict,state,119
121,36,36121-lower,121,lower,StateDistrict,state,121
123,36,36123-lower,123,lower,StateDistrict,state,123
126,36,36126-lower,126,lower,StateDistrict,state,126
129,36,36129-lower,129,lower,StateDistrict,state,129
130,36,36130-lower,130,lower,StateDistrict,state,130
013,36,36013-lower,13,lower,StateDistrict,state,13
018,36,36018-lower,18,lower,StateDistrict,state,18
136,36,36136-lower,136,lower,StateDistrict,state,136
137,36,36137-lower,137,lower,StateDistrict,state,137
141,36,36141-lower,141,lower,StateDistrict,state,141
014,36,36014-lower,14,lower,StateDistrict,state,14
019,36,36019-lower,19,lower,StateDistrict,state,19
145,36,36145-lower,145,lower,StateDistrict,state,145
148,36,36148-lower,148,lower,StateDistrict,state,148
149,36,36149-lower,149,lower,StateDistrict,state,149
017,36,36017-lower,17,lower,StateDistrict,state,17
020,36,36020-lower,20,lower,StateDistrict,state,20
021,36,36021-lower,21,lower,StateDistrict,state,21
026,36,36026-lower,26,lower,StateDistrict,state,26
027,36,36027-lower,27,lower,StateDistrict,state,27
028,36,36028-lower,28,lower,StateDistrict,state,28
031,36,36031-lower,31,lower,StateDistrict,state,31
033,36,36033-lower,33,lower,StateDistrict,state,33
034,36,36034-lower,34,lower,StateDistrict,state,34
035,36,36035-lower,35,lower,StateDistrict,state,35
038,36,36038-lower,38,lower,StateDistrict,state,38
040,36,36040-lower,40,lower,StateDistrict,state,40
041,36,36041-lower,41,lower,StateDistrict,state,41
004,36,36004-lower,4,lower,StateDistrict,state,4
042,36,36042-lower,42,lower,StateDistrict,state,42
044,36,36044-lower,44,lower,StateDistrict,state,44
045,36,36045-lower,45,lower,StateDistrict,state,45
046,36,36046-lower,46,lower,StateDistrict,state,46
047,36,36047-lower,47,lower,StateDistrict,state,47
048,36,36048-lower,48,lower,StateDistrict,state,48
050,36,36050-lower,50,lower,StateDistrict,state,50
005,36,36005-lower,5,lower,StateDistrict,state,5
052,36,36052-lower,52,lower,StateDistrict,state,52
053,36,36053-lower,53,lower,StateDistrict,state,53
056,36,36056-lower,56,lower,StateDistrict,state,56
058,36,36058-lower,58,lower,StateDistrict,state,58
060,36,36060-lower,60,lower,StateDistrict,state,60
006,36,36006-lower,6,lower,StateDistrict,state,6
063,36,36063-lower,63,lower,StateDistrict,state,63
066,36,36066-lower,66,lower,StateDistrict,state,66
094,36,36094-lower,94,lower,StateDistrict,state,94
108,36,36108-lower,108,lower,StateDistrict,state,108
067,36,36067-lower,67,lower,StateDistrict,state,67
069,36,36069-lower,69,lower,StateDistrict,state,69
074,36,36074-lower,74,lower,StateDistrict,state,74
075,36,36075-lower,75,lower,StateDistrict,state,75
076,36,36076-lower,76,lower,StateDistrict,state,76
077,36,36077-lower,77,lower,StateDistrict,state,77
080,36,36080-lower,80,lower,StateDistrict,state,80
082,36,36082-lower,82,lower,StateDistrict,state,82
083,36,36083-lower,83,lower,StateDistrict,state,83
084,36,36084-lower,84,lower,StateDistrict,state,84
085,36,36085-lower,85,lower,StateDistrict,state,85
088,36,36088-lower,88,lower,StateDistrict,state,88
089,36,36089-lower,89,lower,StateDistrict,state,89
090,36,36090-lower,90,lower,StateDistrict,state,90
009,36,36009-lower,9,lower,StateDistrict,state,9
112,36,36112-lower,112,lower,StateDistrict,state,112
095,36,36095-lower,95,lower,StateDistrict,state,95
134,36,36134-lower,134,lower,StateDistrict,state,134
105,36,36105-lower,105,lower,StateDistrict,state,105
109,36,36109-lower,109,lower,StateDistrict,state,109
139,36,36139-lower,139,lower,StateDistrict,state,139
140,36,36140-lower,140,lower,StateDistrict,state,140
143,36,36143-lower,143,lower,StateDistrict,state,143
022,36,36022-lower,22,lower,StateDistrict,state,22
029,36,36029-lower,29,lower,StateDistrict,state,29
030,36,36030-lower,30,lower,StateDistrict,state,30
036,36,36036-lower,36,lower,StateDistrict,state,36
037,36,36037-lower,37,lower,StateDistrict,state,37
051,36,36051-lower,51,lower,StateDistrict,state,51
059,36,36059-lower,59,lower,StateDistrict,state,59
061,36,36061-lower,61,lower,StateDistrict,state,61
064,36,36064-lower,64,lower,StateDistrict,state,64
065,36,36065-lower,65,lower,StateDistrict,state,65
071,36,36071-lower,71,lower,StateDistrict,state,71
007,36,36007-lower,7,lower,StateDistrict,state,7
072,36,36072-lower,72,lower,StateDistrict,state,72
078,36,36078-lower,78,lower,StateDistrict,state,78
008,36,36008-lower,8,lower,StateDistrict,state,8
086,36,36086-lower,86,lower,StateDistrict,state,86
091,36,36091-lower,91,lower,StateDistrict,state,91
096,36,36096-lower,96,lower,StateDistrict,state,96
098,36,36098-lower,98,lower,StateDistrict,state,98
104,36,36104-lower,104,lower,StateDistrict,state,104
010,36,36010-lower,10,lower,StateDistrict,state,10
103,36,36103-lower,103,lower,StateDistrict,state,103
106,36,36106-lower,106,lower,StateDistrict,state,106
113,36,36113-lower,113,lower,StateDistrict,state,113
114,36,36114-lower,114,lower,StateDistrict,state,114
120,36,36120-lower,120,lower,StateDistrict,state,120
125,36,36125-lower,125,lower,StateDistrict,state,125
131,36,36131-lower,131,lower,StateDistrict,state,131
133,36,36133-lower,133,lower,StateDistrict,state,133
135,36,36135-lower,135,lower,StateDistrict,state,135
142,36,36142-lower,142,lower,StateDistrict,state,142
150,36,36150-lower,150,lower,StateDistrict,state,150
016,36,36016-lower,16,lower,StateDistrict,state,16
024,36,36024-lower,24,lower,StateDistrict,state,24
025,36,36025-lower,25,lower,StateDistrict,state,25
032,36,36032-lower,32,lower,StateDistrict,state,32
039,36,36039-lower,39,lower,StateDistrict,state,39
043,36,36043-lower,43,lower,StateDistrict,state,43
049,36,36049-lower,49,lower,StateDistrict,state,49
054,36,36054-lower,54,lower,StateDistrict,state,54
055,36,36055-lower,55,lower,StateDistrict,state,55
057,36,36057-lower,57,lower,StateDistrict,state,57
062,36,36062-lower,62,lower,StateDistrict,state,62
070,36,36070-lower,70,lower,StateDistrict,state,70
073,36,36073-lower,73,lower,StateDistrict,state,73
079,36,36079-lower,79,lower,StateDistrict,state,79
081,36,36081-lower,81,lower,StateDistrict,state,81
087,36,36087-lower,87,lower,StateDistrict,state,87
092,36,36092-lower,92,lower,StateDistrict,state,92
097,36,36097-lower,97,lower,StateDistrict,state,97
